Translation Key,Translated Value
ammo-vog-25,VOG-25 grenade
st_wpn_vz61_freedom,Skorpion vz.61 (Freedom camouflage)
st_letter_to_outside_name,A letter to Natalie
st_data_export_is_junk,Is junk
st_bolt_carrier_6,Sliding bolt carrier with locking bolt
st_itm_advancedkit_name,Advanced tools
st_data_export_ammo_types_alt,Alt. ammo
military_bandit_outfit_name,Looted Skat-9 armoured suit
ammo-7.92x33_ap,7.92x57 mm SA rounds
st_wpn_protecta,Armsel Protecta
st_upgr_w_muffle,Barrel external threading components
st_af_dragon_eye_name,Dragon's eye
st_wpn_protecta_nimble,Armsel Protecta (custom)
st_rank_novice,Rookie
mutant_psysucker_meat,Psysucker meat
st_af_frames_name,Aluminium frames
st_data_export_bonus_mutant_part_chance,Bonus mutant part chance
st_bolt_9,Rotating locking head [7 locks][À]
st_data_export_can_be_crafted,Can be crafted
st_data_export_eat_health_change,Health change
st_af_cristall_flower_name,Stone Flower
ui_inv_outfit_additional_weight,Weight carried
st_ration_ru,Russian IRP-B combat ration
st_prt_w_p_trigger_1,Single-action trigger mechanism
st_wpn_g36,G36
st_wpn_pm_actor,Ceremonial Makarov PM
st_wpn_fnx45_custom,FNX-45 Tactical (custom)
st_drug_booster,Hercules
merc_sun_outfit_name,"Twilight" tactical suit
st_grease,Industrial grease
st_ball_hammer,Ball-peen hammer
st_af_frames_up_name,Improved aluminium frames
st_gas_tube_3,Gas tube [V]
st_prt_i_resistors,A box of resistors
st_knife_swat,Spetsnaz switchblade
st_af_electra_flash_name,Flash
st_glue_a,"Tur" glue tube
st_army_bowler,Army kettle
st_wpn_ak74,AK-74N
st_prt_w_p_barrel_6,9x18mm barrel (enclosed)
trenchcoat_outfit_name,Overcoat
ammo-5.56x45-fmj,5.56x45 mm FMJ rounds
st_itm_mapkit_8,Anomaly map (Garbage)
st_prt_o_ballistic_4,Kevlar K129 plates w/ carbon fibre composite
st_prt_i_fasteners,Fasteners
st_headlamp,Old head lamp
st_upgr_w_firemode,Trigger mechanism set
st_prt_w_p_spring_1,9mm recoil spring assembly [Soviet]
light_freedom_outfit_name,Defender of Freedom
st_antirad_cystamine,Cystamine
st_tarpaulin,Camouflaged tarpaulin
st_af_plates_up_name,Improved carbon steel plates
st_wpn_ak74u_old,AKS-74U
st_wpn_bizon,PP-19 Bizon
st_wpn_hpsa,Browning Hi-Power
st_data_export_stash_type,Stash Type
st_af_tapeworm_name,Tapeworm
st_wpn_sig550,SIG SG550
st_wpn_usp_custom,USP45 (custom)
st_prt_o_retardant_1,Layered fire retardant fabrics
ammo-12x76-bull,12x76 Bull shells
st_wpn_glock,Glock 19
monolith_outfit_name,Monolith X-18 suit
st_hide_pseudodog_name,Pseudodog fur
st_wpn_ak74u_custom,AKS-74UN (custom)
st_wpn_sr25,SR-25
ui_inv_outfit_wound_protection,Rupture Res.
st_prt_o_retardant_3,Grade-B RPVC treated fabrics
st_af_cell_name,Cell
stalker_proto_exo_outfit_name,"Sunrise" proto-exoskeleton
st_af_fuzz_kolobok_name,Kolobok
ui_inv_damage,Damage
st_barrel_11,9mm barrel [AS/PP]
st_af_peas_name,Moon
st_hide_chimera_name,Chimera hide
st_roubles,Roubles
st_prt_o_retardant_9,Polymer sheets (bismuth-sulfate coating)
st_adrenalin,Epinephrine shot
st_wpn_mp7,MP7
st_freedom_manual_1_of_2_name,Interrogation techniques: the basics (part 1 of 2)
cs_scientific_outfit_good_name,CS-4a pathfinder
merc_wolven_outfit_name,Mercenary STS-W body armour
trenchcoat_dolg_brown_outfit_name,Heavy Duty overcoat
st_marijuana,Marijuana
st_antirad,Anti-radiation drugs
st_wpn_fn2000_nimble,FN F2000 EOTech
st_drink_crow,"The Beak"
st_wpn_colt1911_custom,Colt M1911 (custom)
st_wpn_kiparis,OTs-02 Kiparis
ui_inv_recoil,ui_inv_recoil
st_device_torch_nv_1_name,Headlamp w/ 1PN93-1 Nightvision\n
csky_novice_outfit_name,Clear Sky leather jacket
st_glucose,Large glucose shot
st_af_ice_name,Snowflake
novice_outfit_camo_name,Firearm enthusiast's jacket
st_flask,Purified water
stalker_drought_outfit_name,"Drought" stalker suit
st_af_blood_name,Stone Blood
mutant_psevdodog_meat,Pseudodog meat
svoboda_light_proto_exo_outfit_name,Freedom proto-exoskeleton
st_wpn_ak74m_pk-a,AK-74M PK-A
helm_spartan,Cz-M10 Spartan helmet
st_wpn_desert_eagle_nimble,Desert Eagle "Steppe Eagle"
ammo-7.62x54-ap,7.62x54 mm AP rounds
st_af_kislushka_name,Sourpuss
st_data_export_blast_power,st_data_export_blast_power
st_bolt_10,Rotating locking head [8 locks][À]
st_upgr_w_speed,Barrel Additional threaded canals
st_bolt_2,Rotating locking head [2 locks][P]
st_data_export_disassemble_amount,Amount
st_armor_repair_fa,Emergency armor repair set
st_data_export_stash_chance,Chance %
st_recipe_drug_4,Drug recipe #4
st_prt_w_p_trigger_2,Double-action trigger mechanism
st_upgr_o_health,Prototype of life support system
st_bolt_carrier_5,Half-free sliding bolt carrier
st_data_export_used_in_crafting,Used in crafting
ui_inv_outfit_explosion_protection,Explosive Res.
st_af_mincer_meat_name,Meat Chunk
st_prt_o_ballistic_5,Kevlar AP and steel plates
scientific_outfit_name,SEVA bodysuit
st_gas_tube_11,Gas tube [PP]
st_trigger_components_1,Single-mode hammer type trigger
st_af_cocoon_name,Cocoon
st_cards,Deck of cards
dolg_pantsir_outfit_name,PSZ-7p shell armour
st_wpn_glock_custom,Glock 19 (custom)
st_wpn_m4a1,M4A1
ui_inv_outfit_chemical_burn_protection,Chemical Res.
st_wpn_l85a2_alt,L85A2 (alternate)
st_af_itcher_name,Itcher
st_harmonica_name,Harmonica
st_af_cooler_name,Body cooler
st_af_spaika_name,Spike
st_upgr_w_scope,Optical scopes mounting set
st_wpn_toz34_bull,TOZ-34 "Bull"
mutant_flesh_meat,Flesh meat
st_wpn_ak102,AK-102
st_jar,Plastic jar
st_wpn_protecta_aim,Armsel Protecta (modern)
st_af_compass_name,Compass
