~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_data_export_ammo_box_size,st_upgr_cost,st_data_export_projectiles,ui_inv_damage,ui_inv_accuracy,ui_inv_wrange,st_data_export_falloff,ui_inv_bspeed,st_data_export_impulse,st_data_export_weapon_degradation,st_data_export_k_hit,st_data_export_k_ap,st_data_export_k_air_resistance
ammo_9x18_pmm,ammo-9x18-pmm,ammo-9x18-pmm_descr,0.15,16,960,1,1,66%,100%,80%,125%,70%,110%,1,0.15,0.8
ammo_7.62x51_fmj_bad,ammo-7.62x51_fmj,ammo-7.62x51_fmj_descr,0.38,15,1240,1,1,55%,100%,10%,95%,63%,110%,1,0.38,0.1
ammo_9x18_ap_verybad,ammo-9x18-ap,ammo-9x18-ap_descr,0.17,16,144,1,1,75%,100%,80%,90%,50%,130%,1,0.18,0.8
ammo_12.7x55_ap_bad,ammo_12.7x55_ap,ammo_12.7x55_ap_descr,0.85,10,6880,1,1,70%,100%,5%,95%,87%,110%,1,0.68,0.05
ammo_4.6x30_fmj,ammo-4.6x30-fmj,ammo-4.6x30-fmj_descr,0.09,15,1600,1,1,66%,100%,80%,100%,36%,100%,1,0.35,0.8
ammo_7.62x25_ps_bad,ammo-7.62x25-ps,ammo-7.62x25-ps_descr,0.17,16,624,1,1,70%,100%,80%,95%,46%,110%,1,0.24,0.8
ammo_7.62x39_fmj_bad,ammo-7.62x39_fmj,ammo-7.62x39_fmj_descr,0.24,15,855,1,1,80%,100%,25%,95%,62%,110%,1,0.43,0.25
ammo_9x39_pab9_verybad,ammo-9x39-pab9,ammo-9x39-pab9_descr,0.37,15,425,1,1,60%,100%,15%,90%,51%,130%,1,0.3,0.15
ammo_12x70_buck,ammo-12x70-buck,ammo-12x70-buck_descr,0.45,10,750,9,0.4,459%,75%,200%,100%,33%,100%,0.4,0.03,2
ammo_7.62x39_ap_bad,ammo-7.62x39_ap,ammo-7.62x39_ap_descr,0.24,15,1420,1,1,80%,100%,25%,95%,56%,110%,1,0.53,0.25
ammo_5.45x39_ep,ammo-5.45x39-ep,ammo-5.45x39-ep_descr,0.16,15,1800,1,1,66%,100%,25%,100%,55%,100%,1,0.5,0.25
ammo_5.56x45_ss190_bad,ammo-5.56x45-ss190,ammo-5.56x45-ss190_descr,0.18,15,1100,1,1,70%,100%,25%,95%,56%,110%,1,0.38,0.25
ammo_m209_bad,ammo-m209,ammo-m209_descr,0.20,1,665,0,1,66%,100%,100%,100%,130%,110%,1,0.305,1
ammo_7.62x54_7h1_verybad,ammo-7.62x54-7n1,ammo-7.62x54-7n1_descr,0.22,10,235,1,1,75%,100%,5%,90%,73%,130%,1,0.45,0.05
ammo_7.62x51_ap_verybad,ammo-7.62x51_ap,ammo-7.62x51_ap_descr,0.38,15,630,1,1,60%,100%,10%,90%,46%,130%,1,0.55,0.1
ammo_9x19_pbp_verybad,ammo-9x19-pbp,ammo-9x19-pbp_descr,0.17,15,188,1,1,75%,100%,80%,110%,90%,140%,1,0.13,0.8
ammo_357_hp_mag_verybad,ammo-357-hp,ammo-357-hp_descr,0.21,13,240,1,1,60%,100%,80%,90%,68%,130%,1,0.2,0.8
