~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,ui_st_rank,st_data_export_jump_height,st_data_export_is_junk,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,st_prop_restore_health,ui_inv_satiety,st_prop_restore_bleeding,st_data_export_restore_radiation,ui_inv_outfit_power_restore,ui_inv_outfit_additional_weight
af_monolith,st_af_monolith_name,st_af_monolith_descr,0.95,59850,5,0,0.5,N,-85,-85,408.8208%,2501.52,17.572%,0%,138.62%,-85,-85,0,0,0,0,0,0
af_generator,st_af_generator_name,st_af_generator_descr,4.07,20700,2,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_sandstone,st_af_sandstone_name,st_af_sandstone_descr,2.22,19800,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_dummy_dummy,st_af_dummy_dummy_name,st_af_dummy_dummy_descr,0.37,37200,3,2,0,N,0,-85,0%,0,-7.449%,0%,41.76%,0,0,0,0,0,11.75,42.6,0
af_sponge,st_af_sponge_name,st_af_sponge_descr,2.25,30320,2,1,0.6,N,0,0,-97.52%,1635.2,0%,0%,0%,0,85,0,0,0,11.75,0,0
af_spaika,st_af_spaika_name,st_af_spaika_descr,1.50,19200,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_mincer_meat,st_af_mincer_meat_name,st_af_mincer_meat_descr,1.24,31300,2,1,0.01,N,0,0,0%,498.4,10.887%,0%,-41.76%,0,0,0,0,0,11.75,0,0
af_eye,st_af_eye_name,st_af_eye_descr,3.12,36900,3,2,0.05,N,0,0,0%,-498.4,-4.011%,0%,41.76%,0,0,0,0,41.7,11.75,0,0
af_star_phantom,st_af_star_phantom_name,st_af_star_phantom_descr,4.09,19000,1,0,0.2,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_ice,st_af_ice_name,st_af_ice_descr,0.54,51400,4,3,0,N,0,0,-210.304%,0,-4.011%,0%,-41.76%,0,0,0,0,0,22.09,55.8,0
af_empty,st_af_empty_name,st_af_empty_descr,0.75,42760,3,2,0,N,395,412.5,0%,498.4,0%,0%,0%,400,380,0,0,0,11.75,-26.4,0
af_pin,st_af_pin_name,st_af_pin_descr,1,21100,2,1,0,N,0,0,329.024%,0,-4.011%,0%,41.76%,0,0,0,0,0,11.75,0,0
af_kogot,st_af_kogot_name,st_af_kogot_descr,0.64,7400,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_cocoon,st_af_cocoon_name,st_af_cocoon_descr,1.03,17400,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_ball,st_af_ball_name,st_af_ball_descr,0.78,9800,1,0,1,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_medallion,st_af_medallion_name,st_af_medallion_descr,2.96,26900,2,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_black_spray,st_af_black_spray_name,st_af_black_spray_descr,0.90,55320,4,3,0.4,N,0,-250,0%,0,-4.011%,0%,184.44%,85,0,0,0,0,22.09,0,0
af_fire,st_af_fire_name,st_af_fire_descr,3.18,46925,4,3,0.1,N,0,85,0%,0,0%,-1.5%,-41.76%,-85,0,0,0,65.25,22.09,-26.4,0
af_bracelet,st_af_bracelet_name,st_af_bracelet_descr,1,37940,3,2,0.01,N,0,0,0%,0,17.572%,0%,41.76%,0,-85,0,0,0,11.75,0,0
af_oasis_heart,st_af_oasis_heart_name,st_af_oasis_heart_descr,2.79,57200,5,0,0.2,N,0,0,-329.024%,-1635.2,-10.887%,0%,-109.62%,0,0,0.99,0,41.7,22.09,42.6,0
af_fire_loop,st_af_fire_loop_name,st_af_fire_loop_descr,1.68,17800,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_fountain,st_af_fountain_name,st_af_fountain_descr,1.32,17300,1,0,0.1,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_grapes,st_af_grapes_name,st_af_grapes_descr,4.78,18700,1,0,0.01,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_ring,st_af_ring_name,st_af_ring_descr,1.10,42220,3,2,0.1,N,0,0,-210.304%,2501.52,0%,0%,0%,0,0,0,0,0,11.75,26.4,0
af_peas,st_af_peas_name,st_af_peas_descr,0.80,8700,1,0,0.1,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
af_baloon,st_af_baloon_name,st_af_baloon_descr,1.44,47400,4,3,0.01,N,0,-85,97.52%,0,25.021%,0%,-80.04%,0,0,0,0,0,22.09,0,0
af_repei,st_af_repei_name,st_af_repei_descr,0.30,10560,1,0,0.05,Y,0,0,0%,0,0%,0%,0%,0,0,0,0,0,0,0,0
