~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
af_camelbak,st_af_camelbak_name,2,recipe_advanced_4,st_recipe_advanced_4,st_prt_i_scrap,x5,st_prt_o_ballistic_9,x4,st_prt_o_ballistic_13,x3,st_prt_o_retardant_13,x3
af_camelbak_up,st_af_camelbak_up_name,3,recipe_expert_2,st_recipe_expert_2,st_af_camelbak_name,x1,st_prt_o_ballistic_10,x6,st_prt_o_ballistic_14,x5,st_prt_o_retardant_14,x5
af_cooler,st_af_cooler_name,2,recipe_advanced_2,st_recipe_advanced_2,st_prt_o_retardant_7,x4,st_prt_i_scrap,x5,st_prt_i_fasteners,x4,st_prt_o_fabrics_4,x4
af_cooler_up,st_af_cooler_up_name,3,recipe_expert_1,st_recipe_expert_1,st_af_cooler_name,x1,st_prt_o_retardant_8,x6,st_prt_i_scrap,x8,st_prt_i_fasteners,x9
af_frames,st_af_frames_name,2,recipe_advanced_0,,st_prt_i_scrap,x6,st_prt_o_ballistic_15,x3,st_prt_i_fasteners,x4,st_prt_o_fabrics_3,x6
af_frames_up,st_af_frames_up_name,3,recipe_expert_0,,st_af_frames_name,x1,st_prt_o_ballistic_16,x5,st_prt_i_fasteners,x7,st_prt_o_fabrics_4,x8
af_freon,st_af_freon_name,2,recipe_advanced_1,st_recipe_advanced_1,st_prt_o_retardant_1,x4,st_prt_o_retardant_5,x5,st_prt_i_scrap,x3,st_prt_i_plastic,x3
af_freon_up,st_af_freon_up_name,3,recipe_expert_1,st_recipe_expert_1,st_af_freon_name,x1,st_prt_o_retardant_2,x6,st_prt_o_retardant_6,x8,st_prt_i_scrap,x6
af_grid,st_af_grid_name,2,recipe_advanced_0,,st_prt_o_ballistic_5,x2,st_prt_i_scrap,x4,st_prt_i_fasteners,x4,st_prt_o_fabrics_3,x4
af_grid_up,st_af_grid_up_name,3,recipe_expert_0,,st_af_grid_name,x1,st_prt_o_ballistic_6,x4,st_prt_i_fasteners,x8,st_prt_o_fabrics_4,x7
af_kevlar,st_af_kevlar_name,2,recipe_advanced_3,st_recipe_advanced_3,st_prt_o_ballistic_1,x2,st_prt_o_ballistic_3,x3,st_prt_o_ballistic_5,x3,st_prt_o_ballistic_7,x4
af_plates,st_af_plates_name,2,recipe_advanced_0,,st_prt_o_ballistic_13,x4,st_prt_o_ballistic_9,x3,st_prt_i_scrap,x3,st_prt_i_fasteners,x3
af_surge,st_af_surge_name,2,recipe_advanced_0,,st_prt_i_resistors,x6,st_prt_i_scrap,x4,st_prt_i_fasteners,x4,st_prt_o_retardant_17,x3
af_surge_up,st_af_surge_up_name,3,recipe_expert_3,st_recipe_expert_3,st_af_surge_name,x1,st_prt_i_resistors,x12,st_prt_i_scrap,x8,st_prt_o_retardant_18,x5
army_bowler,st_army_bowler,2,recipe_advanced_0,,st_cooking,x6,st_prt_i_scrap,x5,st_prt_i_fasteners,x3,st_cutlery,x3
compression_bag,st_compression_bag,1,recipe_basic_0,,st_sewing_thread,x3,st_prt_o_fabrics_4,x3,st_prt_o_fabrics_3,x4,,
cooking,st_cooking,1,recipe_basic_0,,st_cutlery,x3,st_prt_i_scrap,x4,,,,
equ_military_pack,st_equ_milpack_name,1,recipe_basic_3,st_recipe_basic_3,st_sewing_thread,x10,st_prt_o_fabrics_4,x13,st_prt_o_fabrics_2,x8,st_prt_o_fabrics_3,x12
equ_small_military_pack,st_equ_smilpack_name,1,recipe_basic_2,st_recipe_basic_2,st_sewing_thread,x8,st_prt_o_fabrics_4,x10,st_prt_o_fabrics_2,x6,st_prt_o_fabrics_3,x10
equ_small_pack,st_equ_smallpack_name,1,recipe_basic_1,st_recipe_basic_1,st_sewing_thread,x6,st_prt_o_fabrics_3,x8,st_prt_o_fabrics_1,x6,st_prt_o_fabrics_2,x8
equ_tourist_pack,st_equ_touristpack_name,1,recipe_basic_4,st_recipe_basic_4,st_sewing_thread,x12,st_prt_o_fabrics_3,x16,st_prt_o_fabrics_1,x10,st_prt_o_fabrics_2,x15
fieldcooker,st_fieldcooker,3,recipe_expert_0,,st_army_bowler,x1,st_balon_gas,x6,st_prt_i_scrap,x10,st_prt_i_fasteners,x8
itm_backpack,st_itm_backpack_name,1,recipe_basic_0,,st_sewing_thread,x4,st_prt_o_fabrics_2,x6,st_prt_o_fabrics_1,x6,st_prt_o_fabrics_3,x6
itm_sleepbag,st_itm_sleepbag_name,2,recipe_advanced_0,,st_sewing_thread,x4,st_itm_backpack_name,x2,st_prt_o_fabrics_3,x8,st_prt_o_fabrics_4,x6
itm_tent,st_itm_tent_name,1,recipe_basic_1,st_recipe_basic_1,st_rope,x6,st_prt_i_wood,x3,st_prt_o_fabrics_4,x10,st_ball_hammer,x2
kit_hunt,st_kit_hunt,3,recipe_expert_0,,st_sewing_thread,x4,st_itm_backpack_name,x2,st_swiss,x6,st_knife_hunting,x1
lead_box,st_lead_box_name,1,recipe_basic_0,,st_prt_i_scrap,x10,st_prt_i_fasteners,x4,st_ball_hammer,x1,,
leatherman_tool,st_leatherman_tool,1,recipe_basic_2,st_recipe_basic_2,st_prt_i_scrap,x4,st_prt_i_fasteners,x8,st_swiss,x5,st_ball_hammer,x1
wpn_binoc_inv,st_binocular_name,3,recipe_expert_0,,st_welding_goggles,x2,st_mirror,x4,st_addon_scope_ac10632,x4,,
