~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
armor_repair_fa,st_armor_repair_fa,3,recipe_expert_1,st_recipe_expert_1,st_sewing_kit_b,x2,st_sewing_thread,x2,st_duct_tape,x4,st_prt_o_fabrics_4,x3
cleaning_kit_p,st_cleaning_kit_p,1,recipe_basic_1,st_recipe_basic_1,st_gun_oil,x3,st_swiss,x3,st_steel_wool,x2,st_prt_i_fasteners,x3
cleaning_kit_r5,st_cleaning_kit_r5,1,recipe_basic_3,st_recipe_basic_3,st_gun_oil_ru,x3,st_grooming,x3,st_steel_wool,x3,st_prt_i_fasteners,x4
cleaning_kit_r7,st_cleaning_kit_r7,1,recipe_basic_3,st_recipe_basic_3,st_solvent,x3,st_swiss,x3,st_steel_wool,x4,st_prt_i_fasteners,x4
cleaning_kit_s,st_cleaning_kit_s,1,recipe_basic_2,st_recipe_basic_2,st_gun_oil_ru_d,x3,st_grooming,x2,st_steel_wool,x2,st_prt_i_fasteners,x4
cleaning_kit_u,st_cleaning_kit_u,1,recipe_basic_4,st_recipe_basic_4,st_gun_oil,x4,st_swiss,x3,st_steel_wool,x4,st_prt_i_fasteners,x6
exo_repair_kit,st_exo_repair_kit,3,recipe_expert_4,st_recipe_expert_4,st_sewing_kit_h,x5,st_heavy_sewing_thread,x3,st_glue_e,x3,st_grooming,x4
heavy_repair_kit,st_exolight_repair_kit,3,recipe_expert_4,st_recipe_expert_4,st_sewing_kit_a,x4,st_heavy_sewing_thread,x2,st_glue_a,x3,st_swiss,x3
heavy_sewing_thread,st_heavy_sewing_thread,1,recipe_basic_0,,st_sewing_thread,x4,st_sewing_kit_b,x3,st_swiss,x1,,
helmet_repair_kit,st_helmet_repair_kit,3,recipe_expert_1,st_recipe_expert_1,st_heavy_sewing_thread,x1,st_sewing_kit_a,x2,st_glue_b,x2,st_duct_tape,x3
light_repair_kit,st_light_repair_kit,3,recipe_expert_0,,st_glue_e,x3,st_glue_b,x3,st_sewing_thread,x4,st_swiss,x3
medium_repair_kit,st_medium_repair_kit,3,recipe_expert_0,,st_sewing_kit_b,x3,st_heavy_sewing_thread,x2,st_glue_b,x3,st_grooming,x3
ramrod_tool,st_ramrod_tool,1,recipe_basic_0,,st_prt_i_scrap,x4,st_prt_i_fasteners,x4,st_prt_i_wood,x4,st_swiss,x1
rasp_tool,st_rasp_tool,1,recipe_basic_0,,st_grooming,x1,st_swiss,x1,st_prt_i_scrap,x6,st_prt_i_fasteners,x4
sewing_kit_a,st_sewing_kit_a,2,recipe_advanced_0,,st_glue_a,x4,st_sewing_thread,x4,st_swiss,x2,st_prt_o_fabrics_4,x4
sewing_kit_b,st_sewing_kit_b,2,recipe_advanced_0,,st_glue_b,x4,st_sewing_thread,x3,st_swiss,x1,st_prt_o_fabrics_4,x3
sewing_kit_h,st_sewing_kit_h,2,recipe_advanced_0,,st_glue_e,x4,st_sewing_thread,x5,st_swiss,x3,st_prt_o_fabrics_4,x5
solvent,st_solvent,1,recipe_basic_0,,st_gun_oil_ru,x2,st_swiss,x3,st_prt_o_fabrics_4,x3,,
toolkit_p,st_repair_kit_p,2,recipe_advanced_1,st_recipe_advanced_1,st_cleaning_kit_p,x4,st_gun_oil_ru_d,x1,st_grooming,x3,st_steel_wool,x4
toolkit_r5,st_repair_kit_r5,2,recipe_advanced_3,st_recipe_advanced_3,st_cleaning_kit_r5,x4,st_gun_oil_ru,x1,st_grooming,x3,st_steel_wool,x5
toolkit_r7,st_repair_kit_r7,2,recipe_advanced_3,st_recipe_advanced_3,st_cleaning_kit_r7,x4,st_gun_oil,x1,st_grooming,x3,st_steel_wool,x6
toolkit_s,st_repair_kit_s,2,recipe_advanced_2,st_recipe_advanced_2,st_cleaning_kit_s,x4,st_gun_oil,x1,st_grooming,x3,st_steel_wool,x4
