~, Pda_encyclopedia_name, St_prop_weight, St_upgr_cost, St_data_export_blast_power, St_detonation_radius, St_data_export_fragments, St_data_fragment_damage, St_detonation_time
ammo_m209_bad,ammo-m209,0.2,665,5.2,4.7,94,0.074,5
grenade_smoke,st_grenade_smoke,0.15,590,0,0,0,0,12
grenade_gd-05,st_grenade_thermite,0.198,1789,4,9,117,0.24,4
grenade_f1,st_grenade_f1,0.6,1900,3,8,127,0.27,3
ied_rpg,st_ied_rpg,1.89,2990,4.3,7.2,153,0.03,0
ammo_vog-25,ammo-vog-25,0.26,2180,4.8,4.3,85,0.07,5
ammo_vog-25_verybad,ammo-vog-25,0.26,230,4.8,4.3,85,0.07,5
grenade_rgd5,st_grenade_rgd5,0.31,1550,3,6,80,0.27,3
mine,st_mine_name,0.751,1790,3.18,2.26,0,0.04,0
ammo_m209,ammo-m209,0.2,2264,5.2,4.7,94,0.074,5
ied,st_ied,2.165,3690,5.7,12.9,5,0.06,0
ammo_m209_verybad,ammo-m209,0.2,300,5.2,4.7,94,0.074,5
ammo_vog-25_bad,ammo-vog-25,0.26,480,4.8,4.3,85,0.07,5
