~,pda_encyclopedia_name,st_data_export_stash_type,st_data_export_stash_chance,st_data_export_stash_ecos
af_aac,st_af_aac_name,st_data_export_stash_type_common,6%,1
af_aac,st_af_aac_name,st_data_export_stash_type_rare,12%,1
af_atom,st_af_atom_name,st_data_export_stash_type_common,10%,1/2/3
af_atom,st_af_atom_name,st_data_export_stash_type_rare,30%,1/2/3
af_bat,st_af_bat_name,st_data_export_stash_type_common,8%,1/2/3
af_bat,st_af_bat_name,st_data_export_stash_type_rare,24%,1/2/3
af_black_angel,st_af_black_angel_name,st_data_export_stash_type_common,8%,1/2/3
af_black_angel,st_af_black_angel_name,st_data_export_stash_type_rare,24%,1/2/3
af_cell,st_af_cell_name,st_data_export_stash_type_common,8%,1/2/3
af_cell,st_af_cell_name,st_data_export_stash_type_rare,24%,1/2/3
af_chelust,st_af_chelust_name,st_data_export_stash_type_common,8%,1/2/3
af_chelust,st_af_chelust_name,st_data_export_stash_type_rare,24%,1/2/3
af_cocoon,st_af_cocoon_name,st_data_export_stash_type_common,10%,1/2/3
af_cocoon,st_af_cocoon_name,st_data_export_stash_type_rare,30%,1/2/3
af_ear,st_af_ear_name,st_data_export_stash_type_common,10%,1/2/3
af_ear,st_af_ear_name,st_data_export_stash_type_rare,30%,1/2/3
af_elektron,st_af_elektron_name,st_data_export_stash_type_common,8%,1/2/3
af_elektron,st_af_elektron_name,st_data_export_stash_type_rare,24%,1/2/3
af_fire_loop,st_af_fire_loop_name,st_data_export_stash_type_common,10%,1/2/3
af_fire_loop,st_af_fire_loop_name,st_data_export_stash_type_rare,30%,1/2/3
af_fonar,st_af_fonar_name,st_data_export_stash_type_common,10%,1/2/3
af_fonar,st_af_fonar_name,st_data_export_stash_type_rare,30%,1/2/3
af_fountain,st_af_fountain_name,st_data_export_stash_type_common,10%,1/2/3
af_fountain,st_af_fountain_name,st_data_export_stash_type_rare,30%,1/2/3
af_generator,st_af_generator_name,st_data_export_stash_type_common,8%,1/2/3
af_generator,st_af_generator_name,st_data_export_stash_type_rare,24%,1/2/3
af_grapes,st_af_grapes_name,st_data_export_stash_type_common,10%,1/2/3
af_grapes,st_af_grapes_name,st_data_export_stash_type_rare,30%,1/2/3
af_iam,st_af_iam_name,st_data_export_stash_type_common,8%,1/2
af_iam,st_af_iam_name,st_data_export_stash_type_rare,15%,1/2
af_kislushka,st_af_kislushka_name,st_data_export_stash_type_common,10%,1/2/3
af_kislushka,st_af_kislushka_name,st_data_export_stash_type_rare,30%,1/2/3
af_kogot,st_af_kogot_name,st_data_export_stash_type_common,10%,1/2/3
af_kogot,st_af_kogot_name,st_data_export_stash_type_rare,30%,1/2/3
af_lighthouse,st_af_lighthouse_name,st_data_export_stash_type_common,8%,1/2/3
af_lighthouse,st_af_lighthouse_name,st_data_export_stash_type_rare,24%,1/2/3
af_medallion,st_af_medallion_name,st_data_export_stash_type_common,8%,1/2/3
af_medallion,st_af_medallion_name,st_data_export_stash_type_rare,24%,1/2/3
af_moh,st_af_moh_name,st_data_export_stash_type_common,10%,1/2/3
af_moh,st_af_moh_name,st_data_export_stash_type_rare,30%,1/2/3
af_peas,st_af_peas_name,st_data_export_stash_type_common,10%,1/2/3
af_peas,st_af_peas_name,st_data_export_stash_type_rare,30%,1/2/3
af_repei,st_af_repei_name,st_data_export_stash_type_common,10%,1/2/3
af_repei,st_af_repei_name,st_data_export_stash_type_rare,30%,1/2/3
af_sandstone,st_af_sandstone_name,st_data_export_stash_type_common,10%,1/2/3
af_sandstone,st_af_sandstone_name,st_data_export_stash_type_rare,30%,1/2/3
af_serofim,st_af_serofim_name,st_data_export_stash_type_common,10%,1/2/3
af_serofim,st_af_serofim_name,st_data_export_stash_type_rare,30%,1/2/3
af_signet,st_af_signet_name,st_data_export_stash_type_common,10%,1/2/3
af_signet,st_af_signet_name,st_data_export_stash_type_rare,30%,1/2/3
af_skull_miser,st_af_skull_miser_name,st_data_export_stash_type_common,10%,1/2/3
af_skull_miser,st_af_skull_miser_name,st_data_export_stash_type_rare,30%,1/2/3
af_spaika,st_af_spaika_name,st_data_export_stash_type_common,10%,1/2/3
af_spaika,st_af_spaika_name,st_data_export_stash_type_rare,30%,1/2/3
af_star_phantom,st_af_star_phantom_name,st_data_export_stash_type_common,10%,1/2/3
af_star_phantom,st_af_star_phantom_name,st_data_export_stash_type_rare,30%,1/2/3
af_sun,st_af_sun_name,st_data_export_stash_type_common,8%,1/2/3
af_sun,st_af_sun_name,st_data_export_stash_type_rare,24%,1/2/3
af_tapeworm,st_af_tapeworm_name,st_data_export_stash_type_common,10%,1/2/3
af_tapeworm,st_af_tapeworm_name,st_data_export_stash_type_rare,30%,1/2/3
af_zhelch,st_af_zhelch_name,st_data_export_stash_type_common,10%,1/2/3
af_zhelch,st_af_zhelch_name,st_data_export_stash_type_rare,30%,1/2/3
ammo_11.43x23_fmj,ammo-11.43x23-fmj,st_data_export_stash_type_common,100%,1/2/3
ammo_11.43x23_fmj,ammo-11.43x23-fmj,st_data_export_stash_type_rare,1%,1/2/3
ammo_11.43x23_fmj_bad,ammo-11.43x23-fmj,st_data_export_stash_type_common,100%,1/2/3
ammo_11.43x23_fmj_bad,ammo-11.43x23-fmj,st_data_export_stash_type_rare,1%,1/2/3
ammo_11.43x23_hydro,ammo-11.43x23-hydro,st_data_export_stash_type_common,100%,1/2/3
ammo_11.43x23_hydro,ammo-11.43x23-hydro,st_data_export_stash_type_rare,1%,1/2/3
ammo_11.43x23_hydro_bad,ammo-11.43x23-hydro,st_data_export_stash_type_common,100%,1/2/3
ammo_11.43x23_hydro_bad,ammo-11.43x23-hydro,st_data_export_stash_type_rare,1%,1/2/3
ammo_12.7x55_ap,ammo_12.7x55_ap,st_data_export_stash_type_common,50%,1/2/3
ammo_12.7x55_ap,ammo_12.7x55_ap,st_data_export_stash_type_rare,0.50%,1/2/3
ammo_12.7x55_ap_bad,ammo_12.7x55_ap,st_data_export_stash_type_common,75%,1/2/3
ammo_12.7x55_ap_bad,ammo_12.7x55_ap,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_12.7x55_fmj,ammo-12.7x55-fmj,st_data_export_stash_type_common,75%,1/2/3
ammo_12.7x55_fmj,ammo-12.7x55-fmj,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_12.7x55_fmj_bad,ammo-12.7x55-fmj,st_data_export_stash_type_common,75%,1/2/3
ammo_12.7x55_fmj_bad,ammo-12.7x55-fmj,st_data_export_stash_type_rare,0.75%,1/2/3
ammo_12x70_buck,ammo-12x70-buck,st_data_export_stash_type_common,100%,1/2/3
ammo_12x70_buck,ammo-12x70-buck,st_data_export_stash_type_rare,1%,1/2/3
ammo_12x70_buck_bad,ammo-12x70-buck,st_data_export_stash_type_common,100%,1/2/3
ammo_12x70_buck_bad,ammo-12x70-buck,st_data_export_stash_type_rare,1%,1/2/3
ammo_12x76_dart,ammo-12x76-dart,st_data_export_stash_type_common,100%,1/2/3
ammo_12x76_dart,ammo-12x76-dart,st_data_export_stash_type_rare,1%,1/2/3
ammo_12x76_dart_bad,ammo-12x76-dart,st_data_export_stash_type_common,100%,1/2/3
ammo_12x76_dart_bad,ammo-12x76-dart,st_data_export_stash_type_rare,1%,1/2/3
ammo_12x76_zhekan,ammo-12x76-zhekan,st_data_export_stash_type_common,100%,1/2/3
ammo_12x76_zhekan,ammo-12x76-zhekan,st_data_export_stash_type_rare,1%,1/2/3
ammo_12x76_zhekan_bad,ammo-12x76-zhekan,st_data_export_stash_type_common,100%,1/2/3
ammo_12x76_zhekan_bad,ammo-12x76-zhekan,st_data_export_stash_type_rare,1%,1/2/3
ammo_357_hp_mag,ammo-357-hp,st_data_export_stash_type_common,100%,1/2/3
ammo_357_hp_mag,ammo-357-hp,st_data_export_stash_type_rare,1%,1/2/3
ammo_357_hp_mag_bad,ammo-357-hp,st_data_export_stash_type_common,100%,1/2/3
ammo_357_hp_mag_bad,ammo-357-hp,st_data_export_stash_type_rare,1%,1/2/3
ammo_5.45x39_ap,ammo-5.45x39-ap,st_data_export_stash_type_common,90%,1/2/3
ammo_5.45x39_ap,ammo-5.45x39-ap,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_5.45x39_ap_bad,ammo-5.45x39-ap,st_data_export_stash_type_common,90%,1/2/3
ammo_5.45x39_ap_bad,ammo-5.45x39-ap,st_data_export_stash_type_rare,0.90%,1/2/3
ammo_5.45x39_ep,ammo-5.45x39-ep,st_data_export_stash_type_common,100%,1/2/3
ammo_5.45x39_ep,ammo-5.45x39-ep,st_data_export_stash_type_rare,1%,1/2/3
ammo_5.45x39_ep_bad,ammo-5.45x39-ep,st_data_export_stash_type_common,100%,1/2/3
ammo_5.45x39_ep_bad,ammo-5.45x39-ep,st_data_export_stash_type_rare,1%,1/2/3
ammo_5.45x39_fmj,ammo-5.45x39-fmj,st_data_export_stash_type_common,100%,1/2/3
ammo_5.45x39_fmj,ammo-5.45x39-fmj,st_data_export_stash_type_rare,1%,1/2/3
