id,texture,width,height,x,y
1p29,ui\ui_icon_equipment,50,50,250,1450
ac10632,ui\ui_icon_equipment,50,50,400,1450
ac11090,ui\ui_icon_equipment,50,50,550,1500
acog,ui\ui_icon_equipment,50,50,450,1450
addon,ui\ui_icon_equipment,50,50,0,0
adrenalin,ui\ui_icon_equipment,50,50,750,3300
af_aac,ui\ui_icon_equipment,50,50,100,1400
af_aam,ui\ui_icon_equipment,50,50,150,1400
af_ameba_mica,ui\ui_icon_equipment,50,50,0,0
af_ameba_slime,ui\ui_icon_equipment,50,50,0,0
af_ameba_slug,ui\ui_icon_equipment,50,50,0,0
af_atom,ui\ui_icon_equipment,50,50,400,3700
af_ball,ui\ui_icon_equipment,50,50,150,3650
af_baloon,ui\ui_icon_equipment,50,50,400,3500
af_baloon_af_aac,ui\ui_icon_equipment,50,50,100,1400
af_baloon_af_aam,ui\ui_icon_equipment,50,50,150,1400
af_baloon_af_iam,ui\ui_icon_equipment,50,50,150,1350
af_baloon_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_bat,ui\ui_icon_equipment,50,50,200,3700
af_black,ui\ui_icon_equipment,50,50,0,3650
af_black_angel,ui\ui_icon_equipment,50,50,550,3650
af_black_spray,ui\ui_icon_equipment,50,50,900,3500
af_black_spray_af_aac,ui\ui_icon_equipment,50,50,100,1400
af_black_spray_af_aam,ui\ui_icon_equipment,50,50,150,1400
af_black_spray_af_iam,ui\ui_icon_equipment,50,50,150,1350
af_black_spray_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_blood,ui\ui_icon_equipment,50,50,250,3500
af_blood_af_aac,ui\ui_icon_equipment,50,50,100,1400
af_blood_af_aam,ui\ui_icon_equipment,50,50,150,1400
af_blood_af_iam,ui\ui_icon_equipment,50,50,150,1350
af_blood_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_bracelet,ui\ui_icon_equipment,50,50,350,3500
af_bracelet_af_aac,ui\ui_icon_equipment,50,50,100,1400
af_bracelet_af_aam,ui\ui_icon_equipment,50,50,150,1400
af_bracelet_af_iam,ui\ui_icon_equipment,50,50,150,1350
af_bracelet_lead_box,ui\ui_icon_equipment,50,100,50,1350
af_camelbak,ui\ui_icon_equipment,50,50,350,950
af_camelbak_up,ui\ui_icon_equipment,50,50,350,950
af_cell,ui\ui_icon_equipment,50,50,500,3700
af_chelust,ui\ui_icon_equipment,50,50,350,3700
af_cocoon,ui\ui_icon_equipment,50,50,550,3700
af_compass,ui\ui_icon_equipment,50,50,850,3550
af_compass_af_aac,ui\ui_icon_equipment,50,50,100,1400
af_compass_af_aam,ui\ui_icon_equipment,50,50,150,1400
