~,st_class,st_ui_dbg_spawn_type,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_max_uses
1p29,II_FOOD,w_misc,st_addon_scope_1p29,st_addon_scope_1p29_descr,0.80,5960,
ac10632,II_FOOD,w_misc,st_addon_scope_ac10632,st_addon_scope_ac10632_descr,0.12,4380,
ac11090,II_FOOD,w_misc,st_addon_scope_ac11090,st_addon_scope_ac11090_descr,0.35,4380,
acog,II_FOOD,w_misc,st_addon_scope_acog,st_addon_scope_acog_descr,0.35,4700,
addon,II_FOOD,w_misc,st_antirad,st_antirad_descr,0,0,
adrenalin,II_FOOD,i_medical,st_adrenalin,st_adrenalin_descr,0.05,12240,
af_aac,II_ATTCH,i_arty_cont,st_af_aac_name,st_af_aac_descr,2.73,19410,
af_aam,II_ATTCH,i_arty_cont,st_af_aam_name,st_af_aam_descr,3.06,31485,
af_ameba_mica,ARTEFACT,i_arty,af_ameba_mica,st_af_ameba_mica_descr,0.40,67760,
af_ameba_slime,ARTEFACT,i_arty,af_ameba_slime,st_af_ameba_slime_descr,0.41,33780,
af_ameba_slug,ARTEFACT,i_arty,af_ameba_slug,st_af_ameba_slug_descr,0.41,45455,
af_atom,ARTEFACT,i_arty_junk,st_af_atom_name,st_af_atom_descr,0.66,9800,
af_ball,ARTEFACT,i_arty_junk,st_af_ball_name,st_af_ball_descr,0.78,9800,
af_baloon,ARTEFACT,i_arty,st_af_baloon_name,st_af_baloon_descr,1.44,47400,
af_baloon_af_aac,SCRPTART,i_arty_cont,st_af_baloon_af_aac_name,st_af_baloon_af_aac_descr,4.01,0,
af_baloon_af_aam,SCRPTART,i_arty_cont,st_af_baloon_af_aam_name,st_af_baloon_af_aam_descr,4.34,0,
af_baloon_af_iam,SCRPTART,i_arty_cont,st_af_baloon_af_iam_name,st_af_baloon_af_iam_descr,3.68,0,
af_baloon_lead_box,II_ATTCH,i_arty_cont,st_af_baloon_lead_box_name,st_af_baloon_lead_box_descr,3.40,0,
af_bat,ARTEFACT,i_arty_junk,st_af_bat_name,st_af_bat_descr,2.27,30300,
af_black,ARTEFACT,i_arty_junk,st_af_black_name,st_af_black_descr,1.37,21600,
af_black_angel,ARTEFACT,i_arty_junk,st_af_black_angel_name,st_af_black_angel_descr,3.85,26700,
af_black_spray,ARTEFACT,i_arty,st_af_black_spray_name,st_af_black_spray_descr,0.90,55320,
af_black_spray_af_aac,SCRPTART,i_arty_cont,st_af_black_spray_af_aac_name,st_af_black_spray_af_aac_descr,2.47,0,
af_black_spray_af_aam,SCRPTART,i_arty_cont,st_af_black_spray_af_aam_name,st_af_black_spray_af_aam_descr,3.96,0,
af_black_spray_af_iam,SCRPTART,i_arty_cont,st_af_black_spray_af_iam_name,st_af_black_spray_af_iam_descr,2.72,0,
af_black_spray_lead_box,II_ATTCH,i_arty_cont,st_af_black_spray_lead_box_name,st_af_black_spray_lead_box_descr,2.14,0,
af_blood,ARTEFACT,i_arty,st_af_blood_name,st_af_blood_descr,1.22,22200,
af_blood_af_aac,SCRPTART,i_arty_cont,st_af_blood_af_aac_name,st_af_blood_af_aac_descr,3.87,0,
af_blood_af_aam,SCRPTART,i_arty_cont,st_af_blood_af_aam_name,st_af_blood_af_aam_descr,4.19,0,
af_blood_af_iam,SCRPTART,i_arty_cont,st_af_blood_af_iam_name,st_af_blood_af_iam_descr,3.54,0,
af_blood_lead_box,II_ATTCH,i_arty_cont,st_af_blood_lead_box_name,st_af_blood_lead_box_descr,3.25,0,
af_bracelet,ARTEFACT,i_arty,st_af_bracelet_name,st_af_bracelet_descr,1,37940,
af_bracelet_af_aac,SCRPTART,i_arty_cont,st_af_bracelet_af_aac_name,st_af_bracelet_af_aac_descr,2.57,0,
af_bracelet_af_aam,SCRPTART,i_arty_cont,st_af_bracelet_af_aam_name,st_af_bracelet_af_aam_descr,2.31,0,
af_bracelet_af_iam,SCRPTART,i_arty_cont,st_af_bracelet_af_iam_name,st_af_bracelet_af_iam_descr,2.82,0,
