~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,pda_encyclopedia_tier,st_data_export_sleepiness,st_data_export_thirst,st_data_export_eat_alcohol,st_data_export_eat_health_change,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_satiety,st_ui_number_of_uses,ui_inv_effect_time,st_prop_restore_health,st_data_export_restore_health_max,st_prop_restore_bleeding,st_data_export_restore_bleeding_max,st_data_export_restore_radiation,st_data_export_restore_radiation_max,ui_inv_outfit_power_restore,st_data_export_power_restore_max,ui_inv_outfit_radiation_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_additional_weight,st_data_export_used_in_crafting,st_data_export_can_be_crafted
adrenalin,st_adrenalin,st_adrenalin_descr,0.05,12240,5,-3%,3%,-53%,-1.2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,31%,1,2184,0%,0%,0,0,0,0,6.29%,13737%,0%,0%,0%,11.15,N,Y
akvatab,st_akvatab,st_akvatab_descr,0.01,4524,4,-1%,3%,-21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,3,36,0%,0%,0,0,52,1872,0%,0%,0%,0%,0%,0,N,N
analgetic,st_analgetic,st_analgetic_descr,0.08,1360,2,3%,0%,3%,2.3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-24%,1,1042,0.08%,83%,0.078,81.276,0,0,0%,0%,0%,0%,0%,0,N,Y
antibio_chlor,st_antibio_chlor,st_antibio_chlor_descr,0.04,521,2,0%,0%,3%,-3.15%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1,899,0%,0%,0,0,0,0,0%,0%,4%,7%,0%,0,Y,N
antibio_sulfad,st_antibio_sulfad,st_antibio_sulfad_descr,0.04,935,3,0%,0%,3%,-1.55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-6%,3,899,0%,0%,0,0,0,0,0%,0%,6%,12%,0%,0,Y,N
antiemetic,st_antiemetic,st_antiemetic_descr,0.04,680,4,0%,0%,-43%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3,143,0%,0%,0,0,0,0,0.1%,14%,0%,32%,0%,0,Y,Y
antirad,st_antirad,st_antirad_descr,0.05,1860,3,1%,3%,0%,-5.3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-35%,1,10.8,0%,0%,0,0,138,1490,0%,0%,0%,0%,0%,0,Y,Y
antirad_cystamine,st_antirad_cystamine,st_antirad_cystamine_descr,0.05,1080,3,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-14%,1,231,0%,0%,0,0,0,0,0%,0%,124%,0%,0%,0,N,Y
antirad_kalium,st_antirad_kalium,st_antirad_kalium_descr,0.05,3080,4,3%,0%,0%,-8.3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-35%,3,10,0%,0%,0,0,138,1380,0%,0%,0%,0%,0%,0,Y,Y
bandage,st_bandage,st_bandage_descr,0.04,1000,1,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-3%,1,10,0%,0%,1.5,15,0,0,0%,0%,0%,0%,0%,0,Y,Y
caffeine,st_caffeine,st_caffeine_descr,0.01,2550,2,-3%,3%,-17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,5,266,0%,0%,0,0,0,0,0.8%,212%,0%,0%,0%,0.72,N,N
cocaine,st_cocaine,st_cocaine_descr,0.01,4542,5,-2%,3%,-16%,-5.7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,1,1644,0%,0%,0,0,0,0,4.42%,7266%,0%,0%,0%,6.33,N,Y
