~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight
dolg_pantsir_outfit,dolg,dolg_pantsir_outfit_name,dolg_pantsir_outfit_description,11.30,67800,33%,16%,43%,5%,13%,14%,0%,50%,41%,1,2,15
light_loner_outfit,stalker,light_loner_outfit_name,light_loner_outfit_description,14,51280,16%,19%,7%,25%,7%,18%,7%,20%,46%,0,2,13
merc_exolight_outfit,killer,merc_exolight_outfit_name,merc_exolight_outfit_description,16,93890,58%,30%,4%,47%,20%,56%,23%,52%,72%,1,2,16
isg_exo_outfit,isg,isg_exo_outfit_name,isg_exo_outfit_description,44,139510,62%,30%,13%,23%,19%,53%,40%,60%,83%,1,3,109
light_freedom_outfit,freedom,light_freedom_outfit_name,light_freedom_outfit_description,16,53280,16%,19%,8%,31%,14%,17%,15%,30%,46%,0,2,16
freedom_exo_vineleaf_outfit,freedom,freedom_exo_vineleaf_outfit_name,freedom_exo_vineleaf_outfit_description,14,79700,66%,25%,10%,40%,20%,59%,15%,55%,64%,2,3,17
greh_exo_outfit,greh,greh_exo_outfit_name,greh_exo_outfit_description,44,139510,62%,30%,6%,21%,20%,53%,23%,60%,83%,1,3,109
dolg_heavy_redline_outfit,dolg,dolg_heavy_redline_outfit_name,dolg_heavy_redline_outfit_description,16.40,85800,33%,22%,33%,5%,20%,14%,0%,49%,80%,2,3,13
exo_wood_outfit,st_data_export_unknown,exo_wood_outfit_name,exo_wood_outfit_description,17.80,94300,66%,24%,6%,32%,24%,67%,23%,55%,64%,1,2,17
exo_dolg_urban_outfit,dolg,exo_dolg_urban_outfit_name,exo_dolg_urban_outfit_description,23,103900,66%,39%,8%,10%,7%,57%,15%,80%,69%,1,2,19
ecolog_proto_exo_outfit,ecolog,ecolog_proto_exo_outfit_name,ecolog_proto_exo_outfit_description,33,114995,8%,14%,66%,52%,51%,36%,0%,60%,24%,3,5,115
isg_nosorog_outfit,isg,isg_nosorog_outfit_name,nosorog_outfit_description,51,190000,66%,36%,13%,23%,19%,74%,36%,69%,89%,2,4,107
military_exolight_outfit,army,military_exolight_outfit_name,military_exolight_outfit_description,16,83480,58%,30%,8%,1%,36%,52%,31%,60%,74%,1,2,16
monolith_proto_exo_outfit,monolith,monolith_proto_exo_outfit_name,monolith_proto_exo_outfit_description,25,54120,8%,8%,3%,4%,15%,19%,0%,10%,18%,3,6,97
exo_dolg_outfit,dolg,exo_dolg_outfit_name,exo_dolg_outfit_description,19,83200,66%,27%,17%,32%,15%,44%,23%,64%,69%,1,2,19
renegade_exo_outfit,renegade,renegade_exo_outfit_name,renegade_exo_outfit_description,45,140660,62%,29%,6%,27%,19%,53%,23%,50%,85%,2,4,110
light_dolg_outfit,dolg,light_dolg_outfit_name,light_dolg_outfit_description,18,56280,16%,19%,5%,27%,47%,12%,11%,34%,46%,0,2,17
cs_heavy_outfit,csky,csky_heavy_outfit_name,csky_heavy_outfit_description,16,56280,25%,19%,13%,31%,8%,17%,7%,47%,46%,1,2,16
merc_combat_scientific_outfit,killer,merc_combat_scientific_outfit_name,merc_combat_scientific_outfit_description,11.70,95000,16%,17%,43%,55%,54%,63%,51%,25%,37%,2,4,20
bandit_exolight_outfit,bandit,bandit_exolight_outfit_name,bandit_exolight_outfit_description,20,83180,58%,29%,34%,15%,8%,53%,28%,55%,75%,1,2,20
svoboda_light_proto_exo_outfit,freedom,svoboda_light_proto_exo_outfit_name,svoboda_light_proto_exo_outfit_description,24,64700,8%,14%,7%,5%,47%,9%,0%,20%,20%,2,5,96
freedom_nosorog_outfit,freedom,freedom_nosorog_outfit_name,freedom_nosorog_outfit_desc,55,185000,66%,36%,7%,23%,40%,74%,36%,64%,89%,2,4,103
dolg_nosorog_outfit,dolg,dolg_nosorog_outfit_name,nosorog_outfit_description,53,200000,66%,35%,17%,32%,15%,74%,36%,75%,94%,2,4,102
merc_nighthunter_outfit,killer,merc_nighthunter_outfit_name,merc_nighthunter_outfit_description,14,57500,16%,15%,10%,11%,7%,16%,0%,34%,36%,0,1,13
light_monolit_outfit,monolith,light_monolit_outfit_name,light_monolit_outfit_description,16,54280,16%,19%,4%,32%,11%,13%,31%,28%,46%,1,3,16
cs_scientific_outfit_good,csky,cs_scientific_outfit_good_name,cs_scientific_outfit_good_description,13.10,120400,25%,11%,9%,50%,44%,83%,60%,36%,25%,3,5,20
military_sky_outfit,csky,military_sky_outfit_name,military_outfit_description,19,74700,29%,19%,36%,40%,23%,21%,0%,69%,80%,1,2,16
exo_dolg_wood_outfit,dolg,exo_dolg_wood_outfit_name,exo_dolg_wood_outfit_description,16,101300,66%,28%,52%,37%,18%,63%,36%,57%,64%,3,4,18
monolith_exolight_outfit,monolith,monolith_exolight_outfit_name,monolith_exolight_outfit_description,17,92580,58%,29%,6%,5%,24%,58%,47%,61%,75%,2,3,17
dolg_heavy_proto_exo_outfit,dolg,dolg_heavy_proto_exo_outfit_name,dolg_heavy_proto_exo_outfit_description,32,85280,33%,20%,43%,27%,28%,12%,0%,64%,69%,2,4,107
isg_proto_exo_outfit,isg,isg_proto_exo_outfit_name,isg_proto_exo_outfit_description,23,54120,8%,14%,2%,14%,7%,5%,0%,25%,31%,2,5,98
exo_dolg_red_outfit,dolg,exo_dolg_red_outfit_name,exo_dolg_red_outfit_description,21,93400,66%,36%,26%,7%,11%,32%,47%,75%,69%,0,1,18
dolg_specops_red_outfit,dolg,dolg_specops_red_outfit_name,dolg_specops_red_outfit_description,8.50,65700,16%,38%,13%,6%,3%,7%,0%,37%,55%,1,3,11
exolight_outfit,stalker,exolight_outfit_name,exolight_outfit_description,18,85680,58%,29%,6%,17%,12%,54%,23%,55%,75%,1,2,18
light_isg_outfit,isg,light_isg_outfit_name,light_isg_outfit_description,16,57280,16%,19%,13%,30%,10%,14%,7%,44%,46%,1,3,17
ecolog_exo_outfit,ecolog,ecolog_exo_outfit_name,ecolog_exo_outfit_description,37,155000,62%,29%,6%,27%,19%,53%,23%,50%,85%,2,4,103
svoboda_exo_outfit,freedom,svoboda_exo_outfit_name,svoboda_exo_outfit_description,48,141222,60%,29%,7%,23%,40%,53%,28%,55%,85%,1,3,113
exo_merc_grass_outfit,killer,exo_merc_grass_outfit_name,exo_merc_grass_outfit_description,17.40,90400,66%,32%,50%,14%,17%,41%,23%,64%,76%,2,3,17
cs_exo_outfit,csky,cs_exo_outfit_name,cs_exo_outfit_description,35,150000,62%,29%,6%,27%,1%,63%,23%,50%,85%,2,4,100
exo_outfit,stalker,exo_outfit_name,exo_outfit_description,48,129680,62%,29%,6%,17%,12%,54%,23%,55%,85%,1,3,113
merc_ace_outfit,killer,ace_outfit_name,ace_outfit_description,9.90,135000,16%,17%,57%,64%,74%,59%,57%,31%,37%,3,5,22
monolith_exo_outfit,monolith,monolith_exo_outfit_name,monolith_exo_outfit_description,35,154280,62%,29%,6%,5%,24%,58%,47%,61%,86%,2,4,100
dolg_proto_exo_outfit,dolg,dolg_proto_exo_outfit_name,dolg_proto_exo_outfit_description,26,65280,12%,15%,7%,12%,8%,6%,0%,30%,40%,2,3,101
