~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection
helm_ach7,helm_ach7,helm_ach7_descr,3.27,13700,16%,1%,0%,0%,1%,1%,40%,0%,20%
helm_ach7ex,helm_ach7ex,helm_ach7ex_descr,3.89,17500,16%,2%,1%,2%,13%,37%,40%,0%,25%
helm_bandana,st_helm_bandana,st_helm_bandana_descr,0.10,230,0%,0%,1%,0%,15%,7%,0%,0%,0%
helm_battle,st_helm_battle,st_helm_battle_descr,4.87,27520,29%,3%,1%,2%,16%,53%,27%,0%,27%
helm_cloth_mask,st_helm_cloth_mask,st_helm_cloth_mask_descr,0.22,450,0%,0%,0%,0%,11%,5%,0%,0%,0%
helm_exo,st_helm_exo_name,st_helm_exo_descr,5.37,30520,33%,4%,6%,2%,16%,42%,23%,0%,30%
helm_hardhat,st_helm_hardhat,st_helm_hardhat_descr,2.67,10640,16%,1%,0%,0%,1%,1%,3%,0%,25%
helm_hardhat_snag,st_helm_hardhat,st_helm_hardhat_descr,2.67,15820,16%,1%,0%,0%,1%,1%,3%,0%,25%
helm_m40,st_helm_m40,st_helm_m40_descr,2.90,15920,0%,2%,0%,2%,24%,53%,10%,0%,15%
helm_m50,helm_m50,helm_m50_descr,2.18,20700,0%,1%,0%,2%,19%,75%,28%,0%,15%
helm_metro,st_helm_metro,st_helm_metro_descr,6.87,33440,33%,3%,9%,0%,29%,46%,19%,0%,34%
helm_ppm88,helm_ppm88,helm_ppm88_descr,2.25,18500,0%,0%,0%,1%,14%,64%,3%,0%,1%
helm_protective,st_helm_protective,st_helm_protective_descr,6,17720,12%,2%,3%,0%,43%,60%,23%,0%,1%
helm_ranger,helm_ranger,helm_ranger_descr,2.42,24300,0%,1%,17%,1%,18%,72%,50%,0%,20%
helm_resp,st_helm_resp,st_helm_resp_descr,1.10,4220,0%,0%,0%,0%,8%,17%,1%,0%,1%
helm_respirator,st_helm_respirator,st_helm_respirator_descr,1.18,6120,0%,1%,0%,1%,16%,22%,0%,0%,2%
helm_respirator_gp5,st_helm_respirator_gp5,st_helm_respirator_gp5_descr,1.50,10120,0%,1%,0%,1%,4%,42%,2%,0%,2%
helm_respirator_old,st_helm_respirator,st_helm_respirator_descr,2.28,7120,0%,1%,0%,1%,16%,28%,2%,0%,2%
helm_rp_bala,st_helm_rp_bala,st_helm_rp_bala_descr,0.21,550,0%,0%,1%,0%,15%,7%,0%,0%,0%
helm_spartan,helm_spartan,helm_spartan_descr,5.12,37000,37%,5%,23%,0%,34%,53%,21%,0%,40%
helm_tactic,st_helm_tactic,st_helm_tactic_descr,4.18,22440,25%,2%,1%,5%,21%,46%,19%,0%,25%
