~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_aps,st_wpn_aps,st_wpn_aps_descr,1.02,9380,A,Y,56%,82%,29,65,20,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_beretta,st_wpn_beretta,st_wpn_beretta_descr,0.95,7120,A,Y,67%,84%,30,32,15,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_beretta_alt,st_wpn_beretta_alt,st_wpn_beretta_descr,0.95,8290,A,Y,69%,84%,30,36,15,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_beretta_camo,st_wpn_beretta_camo,st_wpn_beretta_descr,0.95,11650,A,Y,73%,84%,30,32,15,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_beretta_modern,st_wpn_beretta_modern,st_wpn_beretta_descr,0.95,9390,A,Y,70%,84%,30,37,15,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_colt1911,st_wpn_colt1911,st_wpn_colt1911_descr,1.07,8560,A,Y,59%,83%,36,23,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_colt1911_alt,st_wpn_colt1911_alt,st_wpn_colt1911_descr,1.07,11280,A,Y,61%,83%,36,23,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_colt1911_camo,st_wpn_colt1911_camo,st_wpn_colt1911_camo_descr,1.07,13880,A,Y,65%,83%,36,28,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_colt1911_custom,st_wpn_colt1911_custom,st_wpn_colt1911_descr,1.07,12550,A,Y,62%,83%,36,24,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_colt1911_duty,st_wpn_colt1911_duty,st_wpn_colt1911_duty_descr,1.07,14580,A,Y,63%,84%,36,27,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_colt1911_merc,st_wpn_colt1911_merc,st_wpn_colt1911_merc_descr,1.07,14860,A,Y,70%,83%,36,24,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_colt1911_modern,st_wpn_colt1911_modern,st_wpn_colt1911_descr,1.07,12380,A,Y,63%,83%,36,25,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_colt1911_new,st_wpn_colt1911_new,st_wpn_colt1911_descr,1.07,10480,A,Y,60%,83%,36,23,7,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_cz75,st_wpn_cz75,st_wpn_cz75_descr,1.12,9850,A,Y,73%,84%,30,25,16,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_desert_eagle,st_wpn_desert_eagle,st_wpn_desert_eagle_descr,1.90,19680,A,Y,57%,79%,40,24,9,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_desert_eagle_custom,st_wpn_desert_eagle_custom,st_wpn_desert_eagle_descr,1.90,23580,A,Y,76%,80%,40,23,9,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_desert_eagle_modern,st_wpn_desert_eagle_modern,st_wpn_desert_eagle_descr,1.90,22250,A,Y,68%,79%,40,25,9,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_desert_eagle_nimble,st_wpn_desert_eagle_nimble,st_wpn_desert_eagle_nimble_descr,1.93,25880,A,Y,61%,79%,40,26,9,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_fn57,st_wpn_fn57,st_wpn_fn57_descr,0.61,15280,A,Y,74%,82%,29,24,20,ammo-5.7x28-ss190;ammo-5.7x28-ss190;ammo-5.7x28-ss190;ammo-5.7x28-ss195;ammo-5.7x28-ss195;ammo-5.7x28-ss195,,0.45
wpn_fnp45,st_wpn_fnp45,st_wpn_fnp45_descr,0.94,14860,A,Y,73%,82%,36,25,15,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_fnp45_custom,st_wpn_fnp45_custom,st_wpn_fnp45_descr,0.94,17550,A,Y,74%,82%,36,26,15,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_fnx45,st_wpn_fnx45,st_wpn_fnx45_descr,1.30,15880,A,Y,71%,82%,36,26,15,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_fnx45_alt,st_wpn_fnx45_alt,st_wpn_fnx45_descr,1.30,12850,A,Y,69%,82%,36,25,15,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_fnx45_custom,st_wpn_fnx45_custom,st_wpn_fnx45_descr,1.30,18650,A,Y,73%,82%,36,28,15,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.55
wpn_fort,st_wpn_fort,st_wpn_fort_descr,0.68,5660,A,Y,63%,84%,29,24,12,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_fort_snag,st_wpn_fort,st_wpn_fort_descr,0.68,5660,A,Y,63%,84%,29,24,12,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
wpn_glock,st_wpn_glock,st_wpn_glock_descr,0.62,10960,A,Y,77%,82%,30,27,17,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_glock_custom,st_wpn_glock_custom,st_wpn_glock_descr,0.62,13580,A,Y,79%,82%,30,28,17,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_glock_modern,st_wpn_glock_modern,st_wpn_glock_modern_descr,0.62,15680,A,Y,76%,82%,30,52,17,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_gsh18,st_wpn_gsh18,st_wpn_gsh18_descr,0.58,9680,A,Y,72%,82%,30,28,18,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_gsh18_custom,st_wpn_gsh18_custom,st_wpn_gsh18_descr,0.58,11580,A,Y,74%,82%,30,35,18,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,,0.46
wpn_hpsa,st_wpn_hpsa,st_wpn_hpsa_descr,0.97,8650,A,Y,63%,82%,30,26,13,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_hpsa_alt,st_wpn_hpsa_alt,st_wpn_hpsa_descr,0.97,9960,A,Y,66%,82%,30,28,13,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_mp412,st_wpn_mp412,st_wpn_mp412_descr,0.90,14680,A,Y,63%,83%,40,22,6,ammo-357-hp;ammo-357-hp;ammo-357-hp,,0.6
wpn_mp443,st_wpn_grach,st_wpn_grach_descr,0.95,11580,A,Y,74%,84%,30,29,18,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.46
wpn_oc33,st_wpn_oc33,st_wpn_oc33_descr,1.15,8860,A,Y,67%,81%,29,80,27,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.45
