~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_bizon,st_wpn_bizon,st_wpn_bizon_descr,2.30,18560,A,N,62%,86%,30,68,64,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.46
wpn_kiparis,st_wpn_kiparis,st_wpn_kiparis_descr,1.60,16880,A,N,60%,84%,30,85,30,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,0.46
wpn_mp5,st_wpn_mp5,st_wpn_mp5_descr,3.10,20380,A,N,62%,84%,31,80,30,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp5_alt,st_wpn_mp5_alt,st_wpn_mp5_descr,3.10,22350,A,N,70%,84%,31,81,30,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp5_custom,st_wpn_mp5_custom,st_wpn_mp5_descr,3.10,23680,A,N,71%,84%,31,83,30,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp5_nimble,st_wpn_mp5_nimble,st_wpn_mp5_nimble_descr,3,28950,A,N,70%,84%,37,73,30,ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-fmj;ammo-11.43x23-hydro;ammo-11.43x23-hydro;ammo-11.43x23-hydro,,0.56
wpn_mp5sd,st_wpn_mp5sd,st_wpn_mp5sd_descr,2.97,21880,A,N,66%,84%,31,80,30,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp5sd_custom,st_wpn_mp5sd_custom,st_wpn_mp5sd_descr,2.97,24560,A,N,69%,84%,31,83,30,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp5sd_new,st_wpn_mp5sd_new,st_wpn_mp5sd_descr,2.97,22650,A,N,67%,84%,31,82,30,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
wpn_mp7,st_wpn_mp7,st_wpn_mp7_descr,2.10,23300,A,N,83%,88%,31,95,40,ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-pbp;ammo-9x19-ap;ammo-9x19-ap;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-pmm;ammo-9x18-ap;ammo-9x18-ap;ammo-9x18-ap,0.47
