~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power
wpn_sks,st_wpn_sks,st_wpn_sks_descr,3.75,19580,D,N,86%,65%,38,20,10,ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,0.585
wpn_svd_nimble,st_wpn_svd_nimble,st_wpn_svd_nimble_descr,5.14,55880,D,N,95%,65%,73,4,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,1.1
wpn_m24,st_wpn_m24,st_wpn_m24_descr,5.40,76680,D,N,96%,60%,90,2,5,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,1.35
wpn_g43,st_wpn_g43,st_wpn_g43_descr,4.33,23980,D,N,90%,65%,54,7,10,ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_fmj;ammo-7.92x33_ap;ammo-7.92x33_ap;ammo-7.92x33_ap,,0.81
wpn_svu,st_wpn_svu,st_wpn_svu_descr,3.81,43860,D,N,93%,68%,73,7,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,,1.1
wpn_m82,st_wpn_m82,st_wpn_m82_descr,12.07,50000,D,N,93%,69%,200,10,10,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,3
wpn_vssk,st_wpn_vssk,st_wpn_vssk_descr,7.50,95680,D,N,93%,65%,150,3,5,ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo-12.7x55-fmj;ammo_12.7x55_ap;ammo_12.7x55_ap;ammo_12.7x55_ap,,2.25
wpn_sr25,st_wpn_sr25,st_wpn_sr25_descr,4.31,50780,D,N,84%,71%,66,70,10,ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_fmj;ammo-7.62x51_ap;ammo-7.62x51_ap;ammo-7.62x51_ap,,1
wpn_trg,st_trg_sako,st_wpn_trg_descr,4.68,71880,D,N,97%,63%,90,2,5,ammo-338-lapua;ammo-338-lapua;ammo-338-lapua,,1.35
wpn_svt40,st_wpn_svt40,st_wpn_svt40_descr,3.80,24850,D,N,93%,65%,51,15,10,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14,ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54-ap;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54_7n14;ammo-7.62x54-r;ammo-7.62x54-r;ammo-7.62x54-r; ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_fmj;ammo-7.62x39_ap;ammo-7.62x39_ap;ammo-7.62x39_ap,0.77
