Translation Key,Translated Value
ammo-vog-25,Граната ВОГ-25
st_wpn_vz61_freedom,Skorpion vz.61 с камуфляжем «Свободы»
st_letter_to_outside_name,Письмо Натали
st_data_export_is_junk,пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ
st_bolt_carrier_6,Продольно-скользящий затвор с болтовым запиранием
st_itm_advancedkit_name,Инструменты для тонкой работы
st_data_export_ammo_types_alt,пїЅпїЅпїЅпїЅ. пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ
exo_merc_urban_outfit_name,ТБ-1 наёмников «Город»
ammo-7.92x33_ap,Патроны 7,92x57 мм ПС
st_wpn_protecta,Armsel Protecta
st_af_fonar_name,«Фонарь»
st_af_dragon_eye_name,«Глаз дракона»
st_wpn_protecta_nimble,Заказная Armsel Protecta
st_rank_novice,новичок
mutant_psysucker_meat,Мясо пси-кровососа
st_af_frames_name,Алюминиевые рамки
st_data_export_bonus_mutant_part_chance,пїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅ
st_bolt_9,Вращающаяся личинка [7 упоров][А]
st_data_export_can_be_crafted,пїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ
st_wpn_l85_alt,L85A1 (Альтернативная)
st_wpn_mp5_custom,Заказной MP5A3
ui_inv_outfit_additional_weight,Грузоподъёмность
st_ration_ru,Российский рацион питания ИРП-Б
st_prt_w_p_trigger_1,Однорежимный УСМ
st_wpn_g36,G36
st_wpn_pm_actor,Наградной ПМ
st_wpn_fnx45_custom,Заказной FNX-45 Tactical
st_drug_booster,«Геркулес»
merc_sun_outfit_name,Тактический комбинезон «Сумрак»
st_grease,Промышленная смазка
st_ball_hammer,Шариковый молоток
st_af_frames_up_name,Алюминиевый элемент каркаса
st_gas_tube_3,Газовая трубка [В]
st_wpn_ak105,АК-105
st_knife_swat,Складной спецназовский нож
st_af_electra_flash_name,«Вспышка»
st_wpn_pm_custom,Заказной ПМ
st_army_bowler,Армейский котелок
st_wpn_ak74,АК-74
st_prt_w_p_barrel_6,Закрытый ствол 9x18 мм
light_merc_outfit_name,Бронежилет IBA-З наёмников
ammo-5.56x45-fmj,Патроны 5,56x45 мм FMJ
st_itm_mapkit_8,Карта аномалий (Свалка)
st_prt_o_ballistic_4,Пластины из кевлара «К129» с композитом из углеродного волокна
st_prt_i_fasteners,Крепёжные детали
st_headlamp,Старая лампа фонарика
st_wpn_l85a2,L85A2
st_prt_w_p_spring_1,Возвратная пружина 9 мм [СССР]
light_freedom_outfit_name,Бронежилет «Защитник свободы»
st_antirad_cystamine,Цистамин
st_tarpaulin,Камуфляжный брезент
st_af_plates_up_name,Улучшенные стальные бронепластины
st_wpn_ak74u_old,Старый АКС-74У
st_wpn_bizon,ПП-19 «Бизон»
st_wpn_hpsa,Browning Hi-Power
st_data_export_stash_type,пїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ
st_af_tapeworm_name,«Цепень»
st_wpn_sig550,SIG SG550
st_wpn_usp_custom,Заказной USP45
st_prt_o_retardant_1,Многослойные огнестойкие ткани
ammo-12x76-bull,Патроны 12x76 мм «Bull»
st_wpn_glock,Glock 19
st_prt_o_retardant_14,Полибензимидазол содержащая ткань с обработкой полиэстером
st_hide_pseudodog_name,Шкура псевдособаки
st_wpn_ak74u_custom,Заказной АКС-74У
st_wpn_sr25,SR-25
ui_inv_outfit_wound_protection,Защ. от разрыва
ui_inv_reli,ui_inv_reli
st_af_cell_name,«Клетка»
stalker_proto_exo_outfit_name,Комбинезон «Заря» с протоэкзоскелетом
st_af_fuzz_kolobok_name,«Колобок»
ui_inv_damage,Урон
st_barrel_11,Ствол [АС|ПП] 9мм
st_af_peas_name,«Луна»
st_hide_chimera_name,Шкура химеры
st_wpn_hk416,HK416
st_prt_o_retardant_9,Полимерные листы (покрытие из сульфата висмута)
st_yadylin,Йадулин
st_wpn_mp7,HK MP7
st_freedom_manual_1_of_2_name,Методы ведения допросов: основы (часть 1 из 2)
cs_scientific_outfit_good_name,Научный комбинезон ЧН-4а «Исследователь»
merc_wolven_outfit_name,Бронежилет наёмников «Гиена»
trenchcoat_dolg_brown_outfit_name,Плотный плащ «Долга»
st_marijuana,Марихуана
st_antirad,Противорадиационный препарат
st_wpn_fn2000_nimble,FN F2000 «EOTech»
st_drink_crow,«Клюв»
st_wpn_colt1911_custom,Заказной Colt M1911
st_wpn_kiparis,ОЦ-02 «Кипарис»
ui_inv_recoil,ui_inv_recoil
st_wpn_scar_new,Новый FN SCAR-H
st_af_medallion_name,«Медальон»
st_glucose,Большая инъекция глюкозы
st_prt_o_ballistic_17,Слои из полиэтиленового волокна с вставками из поликарбоната
novice_outfit_camo_name,Куртка стрелка
st_recipe_basic_2,Руководство по выживанию (ч. 2)
stalker_drought_outfit_name,Комбинезон «Скиталец»
st_af_blood_name,«Кровь камня»
mutant_psevdodog_meat,Мясо псевдособаки
svoboda_light_proto_exo_outfit_name,Комбинезон «Ветер свободы» с протоэкзоскелетом
ui_inv_outfit_strike_protection,Гашение удара
helm_spartan,Шлем M10 «Спартанец»
st_wpn_desert_eagle_nimble,Desert Eagle «Степной орёл»
merc_nosorog_outfit_name,Экзоскелет «Носорог» наёмников
st_af_kislushka_name,«Кислушка»
st_data_export_blast_power,st_data_export_blast_power
st_bolt_10,Вращающаяся личинка [8 упоров][А]
st_upgr_w_speed,Перфорированный ствол
st_bolt_2,Поворотная личинка [2 упора][П]
st_data_export_disassemble_amount,пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ
ui_ammo_types,Боеприпасы
st_data_export_stash_chance,пїЅпїЅпїЅпїЅ %
st_recipe_drug_4,Рецепты лекарства #4
st_prt_w_p_trigger_2,Двухрежимный УСМ
st_upgr_o_health,Прототип системы жизнеобеспечения
st_bolt_carrier_5,Продольно-скользящий полусвободный затвор
st_data_export_used_in_crafting,пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ пїЅ пїЅпїЅпїЅпїЅпїЅпїЅ
ui_inv_outfit_explosion_protection,Защ. от взрыва
st_af_mincer_meat_name,«Ломоть мяса»
st_jgut_zhgut,Медицинский жгут
scientific_outfit_name,Комбинезон «СЕВА»
st_gas_tube_11,Газовая трубка [ПП]
st_trigger_components_1,Однорежимный УСМ куркового типа
st_af_cocoon_name,«Кокон»
st_cards,Колода игральных карт
dolg_pantsir_outfit_name,ПСЗ-7п «Панцирь»
st_wpn_glock_custom,Заказной Glock 19
st_wpn_m4a1,M4A1
ui_inv_outfit_chemical_burn_protection,Химзащита
st_wpn_l85a2_alt,L85A2 (Альтернативная)
st_af_itcher_name,«Зуда»
st_harmonica_name,Губная гармошка
st_af_cooler_name,Модуль охлаждения
st_af_spaika_name,«Спайка»
st_upgr_w_scope,Набор креплений для оптических прицелов
st_wpn_toz34_bull,ТОЗ-34 «Bull»
mutant_flesh_meat,Мясо плоти
st_wpn_ak102,АК-102
st_wpn_svu,ОЦ-03 СВУ
st_wpn_protecta_aim,Модернизированная Armsel Protecta
st_af_compass_name,«Компас»
st_ui_dbg_spawn_type,Типы предметов
st_wpn_ak74_eot,АК-74 «EOTech»
st_duct_tape,Изолента
st_af_camelbak_name,«Верблюжий горб»
bandit_exolight_outfit_name,Трофейный тяжёлый бронекостюм
st_wpn_type63,Тип 63
st_af_ball_name,«Мяч»
st_hide_controller_name,Скальп контролёра
st_upgr_o_shock,Электроизолирующий текстиль и вставки
banditmerc_outfit_name,Лёгкий бандитский комбинезон
st_axe,Топор
st_prt_w_p_spring_2,Возвратная пружина 9мм [Россия]
st_af_dummy_glassbeads_name,«Мамины бусы»
st_prt_o_retardant_15,Ткани из активированного угля
st_af_grid_name,Титановая сетка
st_detonation_time,st_detonation_time
st_detonation_radius,st_detonation_radius
st_prt_o_retardant_2,Многослойные электрозащитные и химостойкие ткани
st_data_export_stash_type_rare,пїЅпїЅпїЅпїЅпїЅпїЅ
st_wpn_grach,MP-443 «Грач»
army_nosorog_outfit_name,Армейский экзоскелет «Носорог»
st_wpn_toz34,ТОЗ-34
stalker_bear_outfit_name,Комбинезон «Медведь»
st_wpn_beretta_camo,Камуфлированная Beretta 92F
ui_ammo_count,Ёмк. магазина
trenchcoat_brown_outfit_name,Тяжёлый коричневый плащ
ammo-9x19-ap,Патроны 9x19 мм БП
st_wpn_ak74_old,АК-74
st_prt_o_ballistic_10,Пластины из полиэтилена «А-типа» с бронежилетом
st_af_camelbak_up_name,Эпинефриновый гидратор
st_wpn_xm8,HK XM8
st_barrel_4,Ствол [В] 7.62мм
st_tushonka,Тушёнка из говядины
st_data_export_used_in_cooking,пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ пїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ
st_drug_antidot,Антидот
st_helm_resp,Респиратор
st_knife_6x4,Штык-нож 6Х4
ui_inv_satiety,Насыщение
merc_outfit_name,Лёгкий комбинезон наёмников
st_wpn_ppsh41,ППШ-41
greh_exo_outfit_name,Экзоскелет «Ирий»
st_prt_w_p_barrel_3,Ствол .45
st_salicidic_acid,Ампула салициловой кислоты
st_monolith_prayer_2_of_3_name,Молитва Монолиту (часть 2 из 3)
ammo-338-lapua,Патроны .338 Lapua Magnum
mutant_boar_chop,Мясо кабана
isg_lcs_urban_outfit_name,Комбинезон ИИГ с «городским камуфляжем»
st_trigger_components_2,Двухрежимный УСМ куркового типа
st_wpn_protecta_custom,Модифицированная Armsel Protecta
st_prt_o_support_1,Каркас экзоскелета
st_recipe_basic_3,Руководство по выживанию (ч. 3)
ui_inv_wrange,ui_inv_wrange
st_af_lighthouse_name,«Маяк»
st_chocolate,Шоколад «Российский»
st_antirad_kalium,Калия йодид
st_bolt_11,Нагнетатели с ударником от бокфлинта [Р]
st_axe3,Охотничий топор
st_bolt_7,Поворотная личинка [4 упора][АС]
specops_merc_outfit_name,Бронекостюм «Берилл-5М» наёмников
mutant_krovosos_meat,Мясо кровососа
st_recipe_expert_3,Техническое руководство (ч. 3)
st_upgr_w_calibre,Комплект деталей под новый калибр
st_rebirth,Наркотический анальгетик «Возрождение»
specops_dolg_outfit_name,ПС5-Б «Бериллиевая защита»
st_wpn_mp412,MP-412 Rex
st_bolt_5,Поворотная личинка [3 упора][В]
st_wpn_walther,Walther P99
st_helm_hardhat,Стальной шлем
specops_outfit_name,Бронекостюм «Берилл-5М»
st_wpn_ump45_custom,Заказной UMP-45
st_wpn_pb_custom,Модернизированный ПБ
st_tea,Чай Бороды
st_upgr_o_chem,Химостойкие ткани и вставки
st_wpn_abakan_camo,Камуфлированный АН-94
st_cigar3,Советские сигареты
ammo-12x76-dart,Патроны 12x76 мм Дротик
st_e_syringe,Пустой шприц
st_prt_w_p_trigger_3,Двухрежимный [ДР|ОР] УСМ
st_prt_o_ballistic_6,Пластины из кевлара «AP» с композитом из усиленного титана
bandit_novice_alt_outfit_name,Кольчужная куртка
st_ied_rpg,Самодельное взрывное устройство (РПГ-7)
dolg,«Долг»
dolg_specops_red_outfit_name,ПСЗ-Б2 «Витязь»
st_meat_flesh,Сало плоти
st_drug_anabiotic,Анабиотик
st_af_medusa_name,«Медуза»
greh_armored_outfit_name,Противоосколочная броня «Греха»
ghillie_outfit_name,Маскировочный костюм
st_wpn_colt1911_camo,Камуфлированный Colt M1911
st_gas_tube_10,Эжектор от курковки [Р]
military_monolit_outfit_name,Бронекостюм «СКАТ-9» «Монолита»
st_wpn_pb,ПБ
st_data_export_jump_height,пїЅпїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅ
st_salmon,Копчёный лосось
st_itm_sleepbag_name,Спальный мешок
st_equ_milpack_name,Армейский рюкзак
st_upgr_o_power,Пластиковые и синтетические части
st_itm_mapkit_5,Карта аномалий (Кладбище техники)
st_compression_bag,Компрессионный мешок
st_guitar_name,Гитара
st_detector2,Детектор «Медведь»
st_bolt_carrier_10,Продольно-скользящий затвор с запиранием поворотом [НАТО]
st_ui_number_of_uses,Кол-во использований
st_wpn_usp,USP45
st_af_skull_miser_name,«Череп скряги»
bandit_nbc_outfit_name,Трофейный комбинезон РХБЗ
light_isg_outfit_name,Бронежилет IBA-З ИИГ
st_barrel_1,Ствол [Р] 18.5мм
exo_dolg_wood_outfit_name,ПСЗ-101 «Лесник»
st_wpn_svt40,СВТ-40
svoboda_heavy_outfit_name,Комбинезон «Страж свободы»
st_wpn_remington870,Remington 870
st_recipe_basic_1,Руководство по выживанию (ч. 1)
st_wpn_ak74_custom,Заказной АК-74
st_upgr_w_reliability,Автоматические газовые регуляторы
renegade,Ренегаты
st_grenade_rgd5,Граната РГД-5
freedom_nosorog_outfit_name,Экзоскелет «Чемпион свободы»
st_wpn_ak74m_camo,Камуфлированный АК-74М
st_upgr_o_weight,Облегчённые материалы
dolg_scientific_wood_outfit_name,ПС5-9Мд «Исследователь»
st_knife_combat,Штык-нож M9
st_data_export_can_be_cooked,пїЅпїЅпїЅпїЅпїЅ пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ
st_wpn_mk14,Mk 14 EBR
st_af_vaselisk_name,«Василиск»
st_wpn_sv98_custom,Заказная СВ-98
st_af_chelust_name,«Цепь»
st_swiss,Швейцарский нож
st_wpn_akms,АКМС
st_upgr_w_weight,Противовес из полимеров
st_cuban_cigar,Кубинские сигары
isg_exolight_outfit_name,Тяжёлый бронекостюм ИИГ
st_af_aam_name,Прикладной модуль артефактов (пустой)
isg_lcs_camo_outfit_name,Камуфлированный комбинезон ИИГ
st_wpn_bm16_full_alt,ТОЗ-66 (Альтернативный)
nbc_dolg_outfit_name,ПС5-Мд «РХБ защита»
light_monolit_outfit_name,Бронежилет IBA-З «Монолита»
st_gas_tube_1,Газовая трубка [К]
st_upgr_o_psi,Ткани с защитным слоем
st_wpn_colt1911,Colt M1911
st_hand_watch,Наручные часы
greh_ps5_outfit_name,Противоосколочная броня «Велес»
nomad_outfit_name,Комбинезон «Кочевник»
st_prt_w_p_barrel_4,Ствол 5.7 мм
ammo-og-7b,Выстрел ОГ-7В
st_helm_exo_name,Экзошлем
st_wpn_g3sg1,G3 SG1
helm_ach7ex,Шлем ACH-7EX
st_letter_military_log_name,Информационный доклад / Операция MSRC / 05.04.2014 18:36:21
st_af_gimlet_name,«Буравчик»
st_wpn_aug_freedom,Камуфлированная Steyr AUG A1
st_wpn_rpg7,РПГ-7
st_prt_o_retardant_16,Нетканые материалы с обработкой активированным углём
st_rank_legend,легенда
st_prt_o_fabrics_4,Военный текстиль
ecolog_exo_outfit_name,Научный экзоскелет
st_prt_w_p_trigger_4,Двухрежимный УСМ от «MP412»
st_cooking,Комплект приготовления еды
st_memoirs_2_of_2_name,Дневник сталкера (часть 2 из 2)
st_wpn_ak74m_alt,АК-74М (Альтернативный)
ammo-5.45x39-fmj,Патроны 5,45x39 мм ПС
st_data_export_ammo_box_size,пїЅ пїЅпїЅпїЅпїЅпїЅ
helm_ach7,Шлем ACH-7
st_itm_artefact_container_name,Контейнер для артефактов
st_af_soul_name,«Душа»
st_wpn_fnx45,FNX-45 Tactical
st_recipe_drug_2,Рецепты лекарства #2
st_chocolate_p,Шоколад «Российский» (половинка)
st_prt_o_ballistic_11,Пластины из кевлара «К119»
st_prt_o_retardant_18,Изоляционные вставки из константана с покрытием из стекловолокна
st_wpn_sig550_camo,Камуфлированный SIG SG550
st_helm_protective,Шлем ССП-99 «Заслон»
st_upgr_o_bleed,Прототип системы заживления ран
st_af_sandstone_name,«Песчаник»
st_bolt_6,Поворотная личинка [2 упора][А]
st_rank_any,пїЅпїЅпїЅпїЅпїЅ
ui_inv_outfit_shock_protection,Электрозащита
