~,st_data_export_quantity,st_data_export_probability
af_iam,2,1
af_kevlar,1,1
af_plates,1,1
ammo_11.43x23_fmj,7,0.44
ammo_12x70_buck,6,0.66
ammo_12x76_zhekan,6,0.66
ammo_357_hp_mag,8,0.22
ammo_5.45x39_fmj,5,0.66
ammo_5.56x45_fmj,5,0.66
ammo_7.62x25_p,5,0.66
ammo_7.62x39_fmj,5,0.66
ammo_7.62x51_fmj,5,0.33
ammo_7.62x54_7h1,4,0.44
ammo_7.92x33_fmj,5,0.66
ammo_9x18_fmj,8,0.66
ammo_9x18_pmm,7,0.66
ammo_9x19_fmj,8,0.66
ammo_9x19_pbp,7,0.66
ammo_magnum_300,5,0.11
analgetic,1,1
army_bowler,1,1
bandage,4,1
bandit_novice_outfit,1,1
bandit_sun_outfit,1,1
banditmerc_outfit,1,1
batteries_dead,3,1
beadspread,1,1
beer,2,1
bolts_pack,1,1
box_matches,2,1
breadold,4,1
charcoal,2,1
cigarettes,3,1
cigarettes_lucky,2,1
cigarettes_russian,2,1
cocaine,2,1
compression_bag,1,1
conserva,2,1
cooking,2,1
corn,2,1
cutlery,1,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_sleepingpills,1,1
energy_drink,3,1
equ_small_pack,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
flask,2,1
grenade_gd-05,4,0.66
grenade_rgd5,6,0.66
grenade_smoke,6,0.66
grooming,1,1
hand_rolling_tobacco,3,1
helm_cloth_mask,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
jgut,1,1
joint,1,1
kerosene,1,1
kolbasa,2,1
lead_box,2,1
marijuana,2,1
meat_bloodsucker,1,0.75
meat_boar,2,1
meat_dog,2,1
meat_flesh,2,1
meat_pseudodog,2,1
meat_snork,1,1
meat_tushkano,2,1
medkit,2,1
mint,3,1
mirror,1,1
morphine,2,1
mre,1,1
nuts,2,1
porn,1,1
raisins,2,1
rope,1,1
salicidic_acid,2,1
shovel_mili,1,1
synthrope,1,1
tarpaulin,1,1
tobacco,2,1
tomato,2,1
trenchcoat_outfit,1,1
vodka,3,1
vodka2,1,1
water_drink,2,1
wpn_ak74_old,1,0.75
wpn_ak74u_old,1,0.75
wpn_axe,1,1
wpn_beretta,1,0.75
wpn_binoc_inv,1,1
wpn_bizon,1,0.75
wpn_bm16,1,0.75
wpn_colt1911,1,0.75
wpn_fort,1,0.75
wpn_gsh18,1,0.75
wpn_hpsa,1,0.75
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_mossberg590,1,0.75
wpn_mp133,1,0.75
wpn_mp5,1,0.75
wpn_pb,1,0.75
wpn_pm,1,0.75
wpn_protecta,1,0.75
wpn_sks,1,0.75
wpn_toz34,1,0.75
wpn_tt33,1,0.75
wpn_usp,1,0.75
wpn_walther,1,0.75
wpn_wincheaster1300,1,0.75
yadylin,2,1
