~,st_data_export_quantity,st_data_export_probability
1p29,1,0.88
af_camelbak,1,1
af_frames,1,1
af_iam,2,1
af_kevlar,1,1
af_plates,1,1
ammo_11.43x23_fmj,8,0.44
ammo_11.43x23_hydro,6,0.44
ammo_12x70_buck,8,0.66
ammo_12x76_zhekan,6,0.66
ammo_357_hp_mag,4,0.22
ammo_5.45x39_ap,6,0.66
ammo_5.45x39_ep,6,0.66
ammo_5.45x39_fmj,8,0.66
ammo_5.56x45_ap,6,0.33
ammo_5.56x45_fmj,10,0.33
ammo_5.56x45_ss190,8,0.33
ammo_7.62x25_p,8,0.66
ammo_7.62x25_ps,8,0.66
ammo_7.62x39_ap,6,0.66
ammo_7.62x39_fmj,8,0.66
ammo_7.62x51_ap,6,0.33
ammo_7.62x51_fmj,8,0.33
ammo_7.62x54_7h1,4,0.44
ammo_7.62x54_7h14,3,0.44
ammo_7.62x54_ap,6,0.44
ammo_7.92x33_ap,6,0.66
ammo_7.92x33_fmj,8,0.66
ammo_9x18_ap,6,0.66
ammo_9x18_fmj,8,0.66
ammo_9x18_pmm,6,0.66
ammo_9x19_ap,6,0.66
ammo_9x19_fmj,8,0.66
ammo_9x19_pbp,6,0.66
ammo_9x39_ap,6,0.33
ammo_9x39_pab9,8,0.33
ammo_m209,1,0.66
ammo_magnum_300,6,0.11
ammo_og-7b,1,0.66
ammo_vog-25,2,0.66
army_bowler,1,1
batteries_dead,6,1
bolts_pack,2,1
charcoal,2,1
compression_bag,1,1
cooking,3,1
cs_light_novice_outfit,1,1
cs_light_outfit,1,1
cs_novice_outfit,1,1
cs_stalker_outfit,1,1
detector_advanced,2,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
equ_small_pack,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
grenade_f1,2,0.66
grenade_gd-05,2,0.66
grenade_rgd5,3,0.66
grenade_smoke,3,0.66
helm_cloth_mask,1,1
helm_m40,1,1
helm_m50,1,1
helm_ppm88,1,1
helm_resp,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
ied_new,1,1
ied_rpg_new,1,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kerosene,2,1
kit_hunt,1,1
kobra,1,0.88
lead_box,3,1
mine_new,1,1
ps01,1,0.88
swiss_knife,2,1
wpn_addon_scope_po4x34,1,0.88
wpn_addon_scope_pu,1,0.88
wpn_addon_scope_zf4,1,0.88
wpn_ak74,1,0.88
wpn_ak74u,1,0.88
wpn_aks74,1,0.88
wpn_aps,1,0.88
wpn_ash12,1,0.88
wpn_axe,1,1
wpn_binoc_inv,1,1
wpn_bizon,1,0.88
wpn_bm16,1,0.88
wpn_bm16_full,1,0.88
wpn_fort,1,0.88
wpn_k98,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_mosin,1,0.88
wpn_mossberg590,1,0.88
wpn_mp133,1,0.88
wpn_pb,1,0.88
wpn_pm,1,0.88
wpn_ppsh41,1,0.88
wpn_ppsh41_rednew,1,0.88
wpn_ppsh41_woodnew,1,0.88
wpn_protecta,1,0.88
wpn_sil_45,1,0.88
wpn_sil_9mm,1,0.88
wpn_sil_aps,1,0.88
wpn_sil_atg,1,0.88
wpn_sil_kzrzp,1,0.88
wpn_sil_pbs1,1,0.88
wpn_sil_pbs4,1,0.88
wpn_sil_tgp-a,1,0.88
wpn_sks,1,0.88
wpn_spas12,1,0.88
wpn_svt40,1,0.88
wpn_toz34,1,0.88
wpn_toz34_custom,1,0.88
wpn_toz34_obrez,1,0.88
wpn_toz34_obrez_custom,1,0.88
wpn_wincheaster1300,1,0.88
