~,st_data_export_quantity,st_data_export_probability
ammo_11.43x23_fmj,4,0.66
ammo_11.43x23_hydro,3,0.66
ammo_12.7x55_ap,2,0.66
ammo_12.7x55_fmj,3,0.66
ammo_12x70_buck,14,0.66
ammo_12x76_zhekan,10,0.66
ammo_357_hp_mag,3,0.66
ammo_5.45x39_ap,15,0.66
ammo_5.45x39_ep,17,0.66
ammo_5.45x39_fmj,20,0.66
ammo_5.56x45_ap,2,0.66
ammo_5.56x45_fmj,6,0.66
ammo_5.56x45_ss190,4,0.66
ammo_7.62x25_p,8,0.66
ammo_7.62x25_ps,8,0.66
ammo_7.62x39_ap,10,0.66
ammo_7.62x39_fmj,12,0.66
ammo_7.62x51_ap,4,0.66
ammo_7.62x51_fmj,4,0.66
ammo_7.62x54_7h1,3,0.66
ammo_7.62x54_7h14,3,0.66
ammo_7.62x54_ap,3,0.66
ammo_9x18_ap,9,0.66
ammo_9x18_fmj,12,0.66
ammo_9x18_pmm,6,0.66
ammo_9x19_ap,9,0.66
ammo_9x19_fmj,12,0.66
ammo_9x19_pbp,6,0.66
ammo_9x39_ap,12,0.66
ammo_9x39_pab9,15,0.66
ammo_m209,2,0.66
ammo_magnum_300,4,0.66
ammo_og-7b,1,0.88
ammo_vog-25,3,0.66
antirad,2,1
bandage,4,1
batteries_dead,6,1
bolts_pack,2,1
charcoal,2,1
compression_bag,1,1
cooking,1,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
dolg_novice_outfit,1,1
dolg_outfit,1,1
dolg_red_outfit,1,1
dolg_scout_outfit,1,1
dolg_voin_outfit,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
grenade_f1,2,0.66
grenade_gd-05,2,0.66
grenade_rgd5,3,0.66
grenade_smoke,3,0.66
helm_cloth_mask,1,1
helm_ppm88,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
ied_new,3,1
ied_rpg_new,3,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kerosene,1,1
kit_hunt,1,1
lead_box,2,1
medkit,3,1
medkit_army,2,1
medkit_scientic,2,1
mine_new,3,1
morphine,2,1
mre,1,1
ration_ru,1,1
ration_ukr,1,1
salicidic_acid,2,1
stimpack,2,1
stimpack_army,2,1
stimpack_scientic,2,1
survival_kit,1,1
wpn_abakan,1,0.88
wpn_aek,1,0.88
wpn_ak105,1,0.88
wpn_ak74,1,0.88
wpn_ak74m,1,0.88
wpn_ak74u,1,0.88
wpn_akm,1,0.88
wpn_akms,1,0.88
wpn_aks74,1,0.88
wpn_aps,1,0.88
wpn_beretta,1,0.88
wpn_binoc_inv,1,1
wpn_bizon,1,0.88
wpn_colt1911,1,0.88
wpn_colt1911_alt,1,0.88
wpn_fort,1,0.88
wpn_gsh18,1,0.88
wpn_hpsa,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_oc33,1,0.88
wpn_pb,1,0.88
wpn_pm,1,0.88
wpn_sil_45,1,0.88
wpn_sil_6p9,1,0.88
wpn_sil_9mm,1,0.88
wpn_sil_aps,1,0.88
wpn_sil_atg,1,0.88
wpn_sil_kzrzp,1,0.88
wpn_sil_pbs1,1,0.88
wpn_sil_pbs4,1,0.88
wpn_sil_tgp-a,1,0.88
wpn_tt33,1,0.88
