~,st_data_export_quantity,st_data_export_probability
adrenalin,3,1
af_aac,2,1
af_aam,2,1
af_camelbak,1,1
af_camelbak_up,1,1
af_cooler,1,1
af_cooler_up,1,1
af_frames,1,1
af_frames_up,1,1
af_freon,1,1
af_freon_up,1,1
af_grid,1,1
af_grid_up,1,1
af_kevlar,2,1
af_plates,2,1
af_surge,1,1
af_surge_up,1,1
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,2,1
antirad,2,1
antirad_cystamine,2,1
antirad_kalium,2,1
bandage,5,1
batteries_dead,6,1
bolts_pack,2,1
detector_advanced,1,1
detector_elite,2,1
detector_geiger,1,1
detector_radio,1,1
detector_scientific,1,1
detector_simple,1,1
device_pda_1,1,1
device_pda_2,1,1
device_pda_3,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
device_torch_nv_2,1,1
device_torch_nv_3,1,1
drug_anabiotic,2,1
drug_antidot,3,1
drug_booster,3,1
drug_coagulant,3,1
drug_psy_blockade,3,1
drug_radioprotector,3,1
drug_sleepingpills,3,1
ecolog_exo_outfit,1,1
ecolog_guard_outfit,1,1
ecolog_outfit_blue,1,1
ecolog_outfit_green,1,1
ecolog_outfit_orange,1,1
ecolog_outfit_red,1,1
ecolog_outfit_white,1,1
ecolog_outfit_yello,1,1
ecolog_proto_exo_outfit,1,1
equ_military_pack,1,1
equ_small_military_pack,1,1
equ_small_pack,1,1
equ_tourist_pack,1,1
helm_m40,1,1
helm_protective,1,1
helm_respirator,1,1
jgut,2,1
lead_box,3,1
medkit,3,1
medkit_ai1,2,1
medkit_ai2,2,1
medkit_ai3,2,1
medkit_scientic,2,1
morphine,2,1
salicidic_acid,2,1
scientific_outfit,1,1
stimpack_army,3,1
stimpack_scientic,2,1
survival_kit,2,1
tetanus,3,1
yadylin,2,1
