~,st_data_export_price_multiplier
af_black,1
af_kevlar_up,1
af_plates_up,1
ammo_4.6x30_fmj,1
ammo_4.6x30_fmj_bad,1
ammo_50_bmg,1
ammo_50_bmg_bad,1
beans,1
bread,1
breadold,1
chili,1
chocolate,1
chocolate_p,1
cigar,1
cigar1,1
cigar2,1
cigar3,1
cigarettes,1
cigarettes_lucky,1
cigarettes_russian,1
conserva,1
corn,1
drink_crow,1
energy_drink,1
exo_dolg_red_outfit,1
fieldcraft_plate_attch,1
flask,1
hand_rolling_tobacco,1
hide_bloodsucker,1
hide_boar,1
hide_burer,1
hide_chimera,1
hide_controller,1
hide_flesh,1
hide_lurker,1
hide_pseudodog,1
hide_pseudogiant,1
hide_psy_dog,1
hide_psysucker,1
itm_tent_bag,1
joint,1
kolbasa,1
marijuana,1
marker,1
meat_bloodsucker,1
meat_bloodsucker_a,1
meat_bloodsucker_b,1
meat_boar,1
meat_boar_a,1
meat_boar_b,1
meat_chimera,1
meat_chimera_a,1
meat_chimera_b,1
meat_dog,1
meat_dog_a,1
meat_dog_b,1
meat_flesh,1
meat_flesh_a,1
meat_flesh_b,1
meat_lurker,1
meat_lurker_a,1
meat_lurker_b,1
meat_pseudodog,1
meat_pseudodog_a,1
meat_pseudodog_b,1
meat_psysucker,1
meat_psysucker_a,1
meat_psysucker_b,1
meat_snork,1
meat_snork_a,1
meat_snork_b,1
meat_tushkano,1
meat_tushkano_a,1
meat_tushkano_b,1
merc_combat_scientific_outfit,1
mineral_water,1
mint,1
monolith_shard,1
mre,1
mutant_part_boar_chop,1
mutant_part_boar_leg,1
mutant_part_brain_burer,1
mutant_part_burer_hand,1
mutant_part_cat_claw,1
mutant_part_cat_tail,1
mutant_part_cat_thyroid,1
mutant_part_chimera_claw,1
mutant_part_chimera_kogot,1
mutant_part_chimera_meat,1
mutant_part_controller_glass,1
mutant_part_controller_hand,1
mutant_part_crow_beak,1
mutant_part_dog_heart,1
mutant_part_dog_liver,1
mutant_part_dog_meat,1
mutant_part_dog_tail,1
mutant_part_fang_psevdodog,1
mutant_part_flesh_eye,1
mutant_part_flesh_meat,1
mutant_part_fracture_hand,1
mutant_part_heart_bloodsucker,1
mutant_part_heart_chimera,1
mutant_part_krovosos_jaw,1
mutant_part_krovosos_meat,1
mutant_part_lurker_eye,1
mutant_part_lurker_meat,1
mutant_part_lurker_tail,1
mutant_part_pseudogigant_eye,1
mutant_part_pseudogigant_hand,1
mutant_part_psevdodog_meat,1
mutant_part_psevdodog_tail,1
mutant_part_psysucker_hand,1
mutant_part_psysucker_meat,1
mutant_part_snork_hand,1
mutant_part_snork_leg,1
mutant_part_snork_mask,1
mutant_part_tushkano_head,1
mutant_part_tushkano_meat,1
mutant_part_tusk_boar,1
mutant_part_zombi_hand,1
nuts,1
powder_poltergeist,1
raisins,1
ration_ru,1
ration_ukr,1
salmon,1
sausage,1
svoboda_novice_outfit,1
tea,1
tobacco,1
tomato,1
tushonka,1
water_drink,1
wpn_gauss_quest,1
wpn_xm8,1
