~,st_data_export_quantity,st_data_export_probability
akvatab,3,1
beans,2,1
beer,3,1
bottle_metal,2,1
box_matches,4,1
bread,4,1
breadold,6,1
caffeine,2,1
charcoal,2,1
chili,2,1
chocolate,2,1
cigar,1,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
cigarettes,4,1
cigarettes_lucky,3,1
cigarettes_russian,3,1
conserva,4,1
cooking,4,1
corn,2,1
energy_drink,3,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flask,2,1
hand_rolling_tobacco,2,1
kerosene,1,1
kolbasa,4,1
marijuana,1,1
meat_bloodsucker,2,1
meat_bloodsucker_a,1,0.3
meat_bloodsucker_b,1,0.7
meat_boar,4,1
meat_boar_a,1,0.3
meat_boar_b,3,0.7
meat_chimera,1,1
meat_chimera_a,1,0.3
meat_chimera_b,1,0.7
meat_dog,6,1
meat_dog_a,1,0.3
meat_dog_b,3,0.7
meat_flesh,4,1
meat_flesh_a,1,0.3
meat_flesh_b,2,0.7
meat_lurker,1,1
meat_lurker_a,1,0.3
meat_lurker_b,1,0.7
meat_pseudodog,4,1
meat_pseudodog_a,1,0.3
meat_pseudodog_b,2,0.7
meat_psysucker,1,1
meat_psysucker_a,1,0.3
meat_psysucker_b,1,0.7
meat_snork,4,1
meat_snork_a,1,0.3
meat_snork_b,2,0.7
meat_tushkano,6,1
meat_tushkano_a,1,0.3
meat_tushkano_b,3,0.7
mineral_water,2,1
mint,4,1
mre,1,1
nuts,2,1
raisins,2,1
ration_ru,1,1
ration_ukr,1,1
salmon,2,1
sausage,2,1
tea,2,1
tobacco,2,1
tomato,2,1
tushonka,4,1
vodka,3,1
vodka2,3,1
vodka_quality,2,1
water_drink,2,1
