~,st_data_export_quantity,st_data_export_probability
armor_repair_fa,2,1
ball_hammer,2,1
cleaning_kit_p,2,1
cleaning_kit_r5,2,1
cleaning_kit_r7,2,1
cleaning_kit_s,2,1
cleaning_kit_u,2,1
duct_tape,2,1
glue_a,2,1
glue_b,2,1
glue_e,2,1
grease,2,1
gun_oil,2,1
gun_oil_ru,2,1
gun_oil_ru_d,2,1
heavy_sewing_thread,2,1
helmet_repair_kit,1,1
leatherman_tool,2,1
light_repair_kit,1,1
medium_repair_kit,1,1
ramrod_tool,2,1
rasp_tool,2,1
sewing_kit_a,2,1
sewing_kit_b,2,1
sewing_kit_h,2,1
sewing_thread,4,1
sharpening_stones,2,1
solvent,2,1
swiss_knife,2,1
toolkit_p,1,1
toolkit_s,1,1
