~,st_data_export_price_multiplier
adrenalin,1
af_black,1
af_kevlar_up,1
af_plates_up,1
akvatab,1
ammo_4.6x30_fmj,1
ammo_4.6x30_fmj_bad,1
ammo_50_bmg,1
ammo_50_bmg_bad,1
analgetic,1
antibio_chlor,1
antibio_sulfad,1
antiemetic,1
antirad,1
antirad_cystamine,1
antirad_kalium,1
bandage,1
caffeine,1
cocaine,1
drug_anabiotic,1
drug_antidot,1
drug_booster,1
drug_coagulant,1
drug_psy_blockade,1
drug_radioprotector,1
drug_sleepingpills,1
e_syringe,1
exo_dolg_red_outfit,1
fieldcraft_plate_attch,1
glucose,1
glucose_s,1
itm_drugkit,2.0
itm_tent_bag,1
jgut,1
marker,1
medkit,1
medkit_ai1,1
medkit_ai2,1
medkit_ai3,1
medkit_army,1
medkit_scientic,1
merc_combat_scientific_outfit,1
monolith_shard,1
morphine,1
mutant_part_crow_beak,1
powder_poltergeist,1
protein,1
rebirth,1
salicidic_acid,1
stimpack,1
stimpack_army,1
stimpack_scientic,1
survival_kit,1
svoboda_novice_outfit,1
tetanus,1
wpn_gauss_quest,1
wpn_xm8,1
yadylin,1
