~,st_data_export_quantity,st_data_export_probability
adrenalin,2,1
akvatab,3,1
analgetic,3,1
antibio_chlor,3,1
antibio_sulfad,3,1
antiemetic,3,1
antirad,3,1
antirad_cystamine,3,1
antirad_kalium,3,1
bandage,6,1
caffeine,3,1
cocaine,3,1
drug_anabiotic,2,1
drug_antidot,3,1
drug_booster,2,1
drug_coagulant,3,1
drug_psy_blockade,3,1
drug_radioprotector,2,1
drug_sleepingpills,2,1
glucose,2,1
glucose_s,3,1
jgut,3,1
medkit,3,1
medkit_ai1,3,1
medkit_ai2,3,1
medkit_ai3,3,1
medkit_army,3,1
medkit_scientic,2,1
morphine,3,1
protein,2,1
salicidic_acid,4,1
stimpack,3,1
stimpack_army,2,1
stimpack_scientic,1,1
survival_kit,1,1
tetanus,2,1
yadylin,3,1
