~,st_data_export_quantity,st_data_export_probability
ammo_11.43x23_fmj,8,0.66
ammo_11.43x23_hydro,6,0.66
ammo_12.7x55_ap,2,0.66
ammo_12.7x55_fmj,3,0.66
ammo_12x70_buck,8,0.66
ammo_12x76_zhekan,6,0.66
ammo_357_hp_mag,4,0.66
ammo_5.45x39_ap,6,0.66
ammo_5.45x39_ep,6,0.66
ammo_5.45x39_fmj,8,0.66
ammo_5.56x45_ap,6,0.66
ammo_5.56x45_fmj,10,0.66
ammo_5.56x45_ss190,8,0.66
ammo_5.7x28_ss190,5,0.66
ammo_5.7x28_ss195,3,0.66
ammo_7.62x25_p,8,0.66
ammo_7.62x25_ps,8,0.66
ammo_7.62x39_ap,6,0.66
ammo_7.62x39_fmj,8,0.66
ammo_7.62x51_ap,6,0.66
ammo_7.62x51_fmj,8,0.66
ammo_7.62x54_7h1,4,0.66
ammo_7.62x54_7h14,3,0.66
ammo_7.62x54_ap,6,0.66
ammo_7.92x33_ap,6,0.66
ammo_7.92x33_fmj,8,0.66
ammo_9x18_ap,6,0.66
ammo_9x18_fmj,8,0.66
ammo_9x18_pmm,6,0.66
ammo_9x19_ap,6,0.66
ammo_9x19_fmj,8,0.66
ammo_9x19_pbp,6,0.66
ammo_9x39_ap,6,0.66
ammo_9x39_pab9,8,0.66
ammo_m209,3,0.66
ammo_magnum_300,6,0.66
ammo_og-7b,1,0.88
ammo_vog-25,3,0.66
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,2,1
antirad,2,1
antirad_cystamine,2,1
antirad_kalium,2,1
bandage,4,1
batteries_dead,4,1
bolts_pack,2,1
box_matches,4,1
charcoal,2,1
cooking,3,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
greh_armored_camo_outfit,1,1
greh_armored_outfit,1,1
greh_trenchcoat_outfit,1,1
grenade_f1,2,0.66
grenade_gd-05,2,0.66
grenade_rgd5,3,0.66
grenade_smoke,3,0.66
helm_cloth_mask,1,1
helm_ppm88,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
ied_new,5,1
ied_rpg_new,5,1
itm_actor_backpack,1,1
itm_backpack,1,1
jgut,2,1
kerosene,2,1
kit_hunt,1,1
lead_box,2,1
meat_bloodsucker,2,1
meat_bloodsucker_a,1,0.3
meat_bloodsucker_b,1,0.7
meat_boar,4,1
meat_boar_a,1,0.3
meat_boar_b,3,0.7
meat_chimera,1,1
meat_chimera_a,1,0.3
meat_chimera_b,1,0.7
meat_dog,6,1
meat_dog_a,1,0.3
meat_dog_b,3,0.7
meat_flesh,4,1
meat_flesh_a,1,0.3
meat_flesh_b,2,0.7
meat_lurker,1,1
meat_lurker_a,1,0.3
meat_lurker_b,1,0.7
meat_pseudodog,4,1
meat_pseudodog_a,1,0.3
meat_pseudodog_b,2,0.7
meat_psysucker,1,1
meat_psysucker_a,1,0.3
meat_psysucker_b,1,0.7
meat_snork,4,1
meat_snork_a,1,0.3
meat_snork_b,2,0.7
meat_tushkano,6,1
meat_tushkano_a,1,0.3
meat_tushkano_b,3,0.7
medkit,2,1
medkit_army,1,1
mine_new,5,1
morphine,2,1
mutant_part_boar_chop,7,1
mutant_part_boar_leg,5,1
mutant_part_cat_tail,3,1
mutant_part_dog_meat,3,1
mutant_part_dog_tail,3,1
mutant_part_flesh_eye,4,1
mutant_part_flesh_meat,5,1
mutant_part_fracture_hand,2,1
mutant_part_psevdodog_meat,2,1
mutant_part_psevdodog_tail,2,1
mutant_part_snork_hand,2,1
mutant_part_snork_leg,4,1
mutant_part_tushkano_head,5,1
mutant_part_zombi_hand,4,1
salicidic_acid,2,1
stimpack,2,1
stimpack_army,1,1
survival_kit,1,1
swiss_knife,2,1
wpn_axe,1,1
wpn_axe2,1,1
wpn_beretta,1,0.88
wpn_binoc_inv,2,1
wpn_bizon,1,0.88
wpn_colt1911,1,0.88
wpn_cz75,1,0.88
wpn_desert_eagle,1,0.88
wpn_fnp45,1,0.88
wpn_glock,1,0.88
wpn_hpsa,1,0.88
wpn_knife,2,1
wpn_knife2,2,1
wpn_mp412,1,0.88
wpn_mp443,1,0.88
wpn_mp5,1,0.88
wpn_mp5sd,1,0.88
wpn_protecta,1,0.88
wpn_sig220,1,0.88
wpn_spas12,1,0.88
wpn_ump45,1,0.88
wpn_usp,1,0.88
wpn_vz61,1,0.88
wpn_walther,1,0.88
wpn_wincheaster1300,1,0.88
yadylin,3,1
