~,st_data_export_quantity,st_data_export_probability
ammo_11.43x23_fmj,16,0.66
ammo_11.43x23_hydro,14,0.66
ammo_12.7x55_ap,2,0.66
ammo_12.7x55_fmj,3,0.66
ammo_12x70_buck,12,0.66
ammo_12x76_zhekan,8,0.66
ammo_357_hp_mag,4,0.66
ammo_5.45x39_ap,8,0.66
ammo_5.45x39_ep,10,0.66
ammo_5.45x39_fmj,14,0.66
ammo_5.56x45_ap,12,0.66
ammo_5.56x45_fmj,22,0.66
ammo_5.56x45_ss190,16,0.66
ammo_5.7x28_ss190,12,0.66
ammo_5.7x28_ss195,5,0.66
ammo_7.62x25_p,8,0.66
ammo_7.62x25_ps,8,0.66
ammo_7.62x39_ap,8,0.66
ammo_7.62x39_fmj,10,0.66
ammo_7.62x51_ap,10,0.66
ammo_7.62x51_fmj,12,0.66
ammo_7.62x54_7h1,4,0.66
ammo_7.62x54_7h14,3,0.66
ammo_7.62x54_ap,6,0.66
ammo_9x18_ap,6,0.66
ammo_9x18_fmj,8,0.66
ammo_9x18_pmm,6,0.66
ammo_9x19_ap,14,0.66
ammo_9x19_fmj,16,0.66
ammo_9x19_pbp,10,0.66
ammo_9x39_ap,8,0.66
ammo_9x39_pab9,12,0.66
ammo_m209,5,0.66
ammo_magnum_300,6,0.66
ammo_og-7b,1,0.88
ammo_vog-25,5,0.66
batteries_dead,5,1
bolts_pack,2,1
charcoal,2,1
compression_bag,1,1
cooking,4,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
grenade_f1,2,0.66
grenade_gd-05,2,0.66
grenade_rgd5,3,0.66
grenade_smoke,3,0.66
helm_cloth_mask,1,1
helm_ppm88,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
ied_new,5,1
ied_rpg_new,5,1
itm_actor_backpack,1,1
itm_backpack,2,1
itm_sleepbag,2,1
itm_tent,1,1
kerosene,1,1
kit_hunt,1,1
lead_box,3,1
merc_coyote_outfit,1,1
merc_fighter_outfit,1,1
merc_jackal_outfit,1,1
merc_outfit,1,1
merc_scout_outfit,1,1
merc_sunset_outfit,1,1
mine_new,5,1
swiss_knife,2,1
wpn_abakan,1,0.88
wpn_aek,1,0.88
wpn_ak105,1,0.88
wpn_ak74,1,0.88
wpn_ak74u,1,0.88
wpn_akm,1,0.88
wpn_aks74,1,0.88
wpn_aps,1,0.88
wpn_aug,1,0.88
wpn_beretta,1,0.88
wpn_binoc_inv,1,1
wpn_bizon,1,0.88
wpn_colt1911,1,0.88
wpn_cz75,1,0.88
wpn_desert_eagle,1,0.88
wpn_fnp45,1,0.88
wpn_fort,1,0.88
wpn_glock,1,0.88
wpn_gsh18,1,0.88
wpn_hpsa,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_mossberg590,1,0.88
wpn_mp412,1,0.88
wpn_mp443,1,0.88
wpn_mp5,1,0.88
wpn_mp5sd,1,0.88
wpn_oc33,1,0.88
wpn_pb,1,0.88
wpn_pm,1,0.88
wpn_protecta,1,0.88
wpn_sig220,1,0.88
wpn_sil_45,1,0.88
wpn_sil_6p9,1,0.88
wpn_sil_9a91,1,0.88
wpn_sil_9mm,1,0.88
wpn_sil_aps,1,0.88
wpn_sil_atg,1,0.88
wpn_sil_gemtech,1,0.88
wpn_sil_kzrzp,1,0.88
wpn_sil_nato,1,0.88
wpn_sil_pbs1,1,0.88
wpn_sil_pbs4,1,0.88
wpn_sil_tgp-a,1,0.88
wpn_sil_vihr,1,0.88
wpn_spas12,1,0.88
wpn_tt33,1,0.88
wpn_usp,1,0.88
wpn_vz61,1,0.88
wpn_walther,1,0.88
