~,st_data_export_quantity,st_data_export_probability
ammo_11.43x23_fmj,6,0.66
ammo_12.7x55_fmj,3,0.66
ammo_12x70_buck,5,0.66
ammo_12x76_zhekan,8,0.66
ammo_357_hp_mag,4,0.66
ammo_5.45x39_ep,5,0.66
ammo_5.45x39_fmj,7,0.66
ammo_5.56x45_fmj,7,0.66
ammo_5.56x45_ss190,4,0.66
ammo_5.7x28_ss190,7,0.66
ammo_5.7x28_ss195,3,0.66
ammo_7.62x25_p,8,0.66
ammo_7.62x39_fmj,5,0.66
ammo_7.62x51_fmj,6,0.66
ammo_7.62x54_7h1,4,0.66
ammo_7.62x54_7h14,3,0.66
ammo_9x18_fmj,8,0.66
ammo_9x18_pmm,6,0.66
ammo_9x19_fmj,8,0.66
ammo_9x19_pbp,6,0.66
ammo_9x39_pab9,7,0.66
ammo_magnum_300,6,0.66
bandage,4,1
batteries_dead,4,1
beans,2,1
beer,2,1
bolts_pack,1,1
breadold,4,1
charcoal,1,1
cigarettes,3,1
cigarettes_russian,2,1
cocaine,2,1
compression_bag,1,1
conserva,2,1
cooking,2,1
corn,2,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
energy_drink,3,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
grenade_gd-05,2,0.66
grenade_rgd5,2,0.66
grenade_smoke,2,0.66
helm_cloth_mask,1,0.88
helm_ppm88,1,0.88
helm_respirator,1,0.88
helm_respirator_gp5,1,0.88
helm_respirator_old,1,0.88
helm_rp_bala,1,0.88
itm_actor_backpack,1,1
itm_backpack,2,1
itm_sleepbag,1,1
kerosene,1,1
kolbasa,2,1
lead_box,2,1
medkit,2,1
merc_fighter_outfit,1,0.88
merc_outfit,1,0.88
merc_scout_outfit,1,0.88
morphine,2,1
nuts,2,1
raisins,2,1
swiss_knife,2,1
vodka,3,1
vodka2,1,1
water_drink,2,1
wpn_abakan,1,0.75
wpn_aek,1,0.75
wpn_ak105,1,0.75
wpn_ak74,1,0.75
wpn_ak74u,1,0.75
wpn_akm,1,0.75
wpn_aps,1,0.75
wpn_beretta,1,0.75
wpn_binoc_inv,1,1
wpn_colt1911,1,0.75
wpn_cz75,1,0.75
wpn_fnp45,1,0.75
wpn_fort,1,0.75
wpn_glock,1,0.75
wpn_knife,1,1
wpn_knife2,1,0.7
wpn_mp412,1,0.75
wpn_mp443,1,0.75
wpn_mp5,1,0.75
wpn_oc33,1,0.75
wpn_pb,1,0.75
wpn_pm,1,0.75
wpn_protecta,1,0.75
wpn_sig220,1,0.75
wpn_spas12,1,0.75
wpn_usp,1,0.75
wpn_walther,1,0.75
