~,st_data_export_price_multiplier
af_baloon,0.4
af_black_spray,0.4
af_blood,0.4
af_bracelet,0.4
af_cristall,0.4
af_cristall_flower,0.4
af_drops,0.4
af_dummy_battery,0.4
af_dummy_dummy,0.4
af_dummy_glassbeads,0.4
af_electra_flash,0.5
af_electra_moonlight,1
af_electra_sparkler,0.45
af_empty,0.4
af_eye,0.4
af_fire,0.4
af_fireball,0.4
af_full_empty,0.4
af_fuzz_kolobok,0.43
af_glass,0.4
af_gold_fish,0.4
af_gravi,0.4
af_ice,0.4
af_itcher,0.4
af_lobster_eyes,0.4
af_medusa,0.4
af_mincer_meat,0.4
af_night_star,0.4
af_pin,0.4
af_ring,0.4
af_soul,0.4
af_sponge,0.4
af_vyvert,0.4
ammo_11.43x23_fmj,0.7
ammo_11.43x23_hydro,0.61
ammo_12x70_buck,0.66
ammo_12x76_zhekan,0.63
ammo_5.45x39_ap,0.68
ammo_5.45x39_fmj,0.69
ammo_5.56x45_ap,0.65
ammo_5.56x45_ss190,0.61
ammo_7.62x54_7h1,0.65
ammo_9x18_fmj,0.43
ammo_9x18_pmm,0.4
ammo_9x19_fmj,0.42
ammo_9x19_pbp,0.42
ammo_9x39_ap,0.8
ammo_9x39_pab9,0.77
ammo_gauss,0.64
ammo_gauss_cardan,0.69
ammo_m209,0.47
ammo_og-7b,0.63
ammo_pkm_100,0.8
ammo_vog-25,0.62
anomaly_scaner,
antirad,0.35
army_patch,2
bad_psy_helmet,
bandage,0.31
bandit_novice_outfit,0.64
bandit_patch,2
banditmerc_outfit,0.4
bread,0.29
cit_doctors_key,
conserva,0.46
cs_heavy_outfit,0.34
cs_light_novice_outfit,0.43
cs_light_outfit,0.29
cs_medium_outfit,0.37
cs_novice_outfit,0.53
csky_patch,0.59
decoder,
detector_advanced,0.36
detector_elite,0.48
detector_scientific,0.63
detector_simple,0.33
dolg_heavy_outfit,0.44
dolg_novice_outfit,0.35
dolg_outfit,0.3
dolg_patch,
dolg_scientific_outfit,0.53
drug_anabiotic,0.33
drug_antidot,0.63
drug_booster,0.47
drug_coagulant,0.36
drug_psy_blockade,0.64
drug_radioprotector,0.48
ecolog_guard_outfit,0.31
ecolog_outfit_green,0.65
ecolog_outfit_orange,0.36
ecolog_patch,
energy_drink,0.47
freedom_patch,
good_psy_helmet,
grenade_f1,0.25
grenade_gd-05,0.21
grenade_rgd5,0.28
helm_battle,0.26
helm_hardhat,0.28
helm_hardhat_snag,0.33
helm_m40,0.29
helm_protective,0.39
helm_respirator,0.26
helm_respirator_joker,0.64
helm_tactic,0.54
itm_actor_backpack,0.44
itm_backpack,0.51
itm_outfit_toolkit,0.64
itm_pda_common,
itm_pda_rare,
itm_pda_uncommon,
itm_sleepbag,0.34
killer_patch,1
kolbasa,0.29
main_story_1_quest_case,
main_story_2_lab_x18_documents,
main_story_3_lab_x16_documents,
medkit,0.41
medkit_army,0.31
medkit_scientic,0.67
merc_outfit,0.41
merc_scientific_outfit,0.28
military_outfit,0.59
mine_new,0.52
monolith_outfit,0.61
monolith_patch,0.62
monolith_scientific_outfit,0.26
mutant_part_boar_chop,2
mutant_part_boar_leg,0.42
mutant_part_burer_hand,1
mutant_part_cat_tail,0.42
mutant_part_chimera_claw,1
mutant_part_chimera_kogot,1
mutant_part_chimera_meat,2
mutant_part_controller_glass,1
mutant_part_controller_hand,1
mutant_part_dog_meat,2
mutant_part_dog_tail,0.42
mutant_part_flesh_eye,0.42
mutant_part_flesh_meat,2
mutant_part_fracture_hand,0.52
mutant_part_krovosos_jaw,1
mutant_part_krovosos_meat,2
mutant_part_pseudogigant_eye,1
mutant_part_pseudogigant_hand,1
mutant_part_psevdodog_meat,2
mutant_part_psevdodog_tail,0.62
mutant_part_snork_hand,0.62
mutant_part_snork_leg,0.62
mutant_part_tushkano_head,0.42
mutant_part_tushkano_meat,2
mutant_part_zombi_hand,0.62
novice_outfit,0.48
