~,st_data_export_price_multiplier
af_dummy_battery,1
af_dummy_glassbeads,1
af_glass,1
af_gravi,1
af_ice,2
af_soul,1
af_vyvert,1
ammo_11.43x23_fmj,0.8
ammo_11.43x23_hydro,1
ammo_12x70_buck,0.8
ammo_12x76_zhekan,0.8
ammo_5.45x39_ap,1
ammo_5.45x39_fmj,0.8
ammo_5.56x45_ap,1
ammo_5.56x45_ss190,0.8
ammo_7.62x54_7h1,1
ammo_9x39_ap,1.2
ammo_9x39_pab9,1
ammo_gauss,2
ammo_m209,2
ammo_og-7b,2
ammo_pkm_100,1
ammo_vog-25,1
antirad,1.5
bandage,0.8
bread,1
conserva,1
detector_elite,0.7
drug_anabiotic,2
drug_antidot,1
drug_booster,1
drug_coagulant,1
drug_psy_blockade,1.5
drug_radioprotector,1
energy_drink,1
exo_outfit,1.2
grenade_f1,=1
helm_battle,1.1
itm_backpack,1
itm_sleepbag,1
kolbasa,1
medkit,1
medkit_army,1.5
medkit_scientic,1.7
military_outfit,1.2
monolith_exo_outfit,2
monolith_outfit,1.5
monolith_scientific_outfit,2
scientific_outfit,1.2
vodka,1
wpn_abakan,1
wpn_desert_eagle,1.6
wpn_fn2000,1.5
wpn_g36,1.2
wpn_groza,1.3
wpn_lr300,1.3
wpn_pkm,1.8
wpn_protecta,1.4
wpn_rpg7,2
wpn_spas12,1.2
wpn_svd,1.4
wpn_svu,1.4
wpn_val,1.5
wpn_vintorez,1.4
