~,st_data_export_quantity,st_data_export_probability
af_dummy_battery,1,1
af_dummy_glassbeads,1,1
af_glass,1,0.5
af_gravi,1,1
af_ice,1,0.3
af_soul,1,1
af_vyvert,1,1
ammo_11.43x23_fmj,5,1
ammo_11.43x23_hydro,3,0.5
ammo_12x70_buck,5,1
ammo_12x76_zhekan,5,0.7
ammo_5.45x39_ap,3,0.7
ammo_5.45x39_fmj,5,1
ammo_5.56x45_ap,3,0.6
ammo_5.56x45_ss190,5,1
ammo_7.62x54_7h1,6,1
ammo_9x39_ap,3,0.7
ammo_9x39_pab9,5,1
ammo_gauss,3,0.3
ammo_m209,5,1
ammo_og-7b,3,0.5
ammo_pkm_100,3,0.7
ammo_vog-25,5,1
antirad,4,1
bandage,5,1
bread,3,1
conserva,2,1
detector_elite,1,0.25
drug_anabiotic,2,0.5
drug_antidot,2,1
drug_booster,2,1
drug_coagulant,2,1
drug_psy_blockade,1,1
drug_radioprotector,3,1
energy_drink,3,1
grenade_f1,5,1
helm_battle,1,1
itm_backpack,3,1
itm_sleepbag,1,1
kolbasa,2,1
medkit,3,1
medkit_army,2,1
medkit_scientic,1,1
military_outfit,1,1
monolith_outfit,1,1
monolith_scientific_outfit,1,0.2
scientific_outfit,1,1
vodka,5,1
wpn_abakan,1,1
wpn_desert_eagle,1,0.5
wpn_fn2000,1,0.5
wpn_g36,1,0.7
wpn_groza,1,1
wpn_lr300,1,1
wpn_pkm,1,0.6
wpn_protecta,1,0.7
wpn_rpg7,1,0.5
wpn_spas12,1,1
wpn_svd,1,1
wpn_svu,1,1
wpn_val,1,0.7
wpn_vintorez,1,0.7
