~,st_data_export_quantity,st_data_export_probability
1p29,1,0.88
af_camelbak,1,1
af_frames,1,1
af_kevlar,1,1
af_plates,1,1
ammo_11.43x23_fmj,12,0.66
ammo_11.43x23_hydro,8,0.66
ammo_12.7x55_ap,2,0.66
ammo_12.7x55_fmj,3,0.66
ammo_12x70_buck,12,0.66
ammo_12x76_dart,6,0.66
ammo_12x76_dart_verybad,3,0.33
ammo_12x76_zhekan,9,0.66
ammo_357_hp_mag,4,0.66
ammo_5.45x39_ap,15,0.66
ammo_5.45x39_ep,17,0.66
ammo_5.45x39_fmj,21,0.66
ammo_5.56x45_ap,3,0.66
ammo_5.56x45_fmj,3,0.66
ammo_5.56x45_ss190,3,0.66
ammo_7.62x25_p,12,0.66
ammo_7.62x25_ps,10,0.66
ammo_7.62x39_ap,10,0.66
ammo_7.62x39_fmj,12,0.66
ammo_7.62x51_ap,4,0.66
ammo_7.62x51_fmj,4,0.66
ammo_7.62x54_7h1,4,0.66
ammo_7.62x54_7h14,3,0.66
ammo_7.62x54_ap,6,0.66
ammo_9x18_ap,14,0.66
ammo_9x18_fmj,16,0.66
ammo_9x18_pmm,10,0.66
ammo_9x19_ap,12,0.66
ammo_9x19_fmj,14,0.66
ammo_9x19_pbp,8,0.66
ammo_9x39_ap,15,0.66
ammo_9x39_pab9,18,0.66
ammo_m209,3,0.66
ammo_magnum_300,6,0.66
ammo_og-7b,1,0.88
ammo_vog-25,7,0.66
army_bowler,1,1
army_outfit,1,1
batteries_dead,6,1
bolts_pack,2,1
box_matches,3,1
charcoal,2,1
compression_bag,1,1
cooking,4,1
detector_advanced,2,1
detector_geiger,1,1
detector_radio,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
equ_small_pack,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
grenade_f1,5,0.66
grenade_gd-05,5,0.66
grenade_rgd5,5,0.66
grenade_smoke,3,0.66
helm_ach7,1,1
helm_ach7ex,1,1
helm_bandana,1,1
helm_cloth_mask,1,1
helm_hardhat,1,1
helm_m40,1,1
helm_m50,1,1
helm_ppm88,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
ied_new,3,1
ied_rpg_new,3,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kerosene,1,1
kit_hunt,1,1
kobra,1,0.88
mine_new,3,1
ps01,1,0.88
pso1m21,1,0.88
specops_outfit,1,1
swiss_knife,2,1
wpn_addon_scope_po4x34,1,0.88
wpn_aek,1,0.88
wpn_ak105,1,0.88
wpn_ak74,1,0.88
wpn_ak74m_alt,1,0.88
wpn_ak74u,1,0.88
wpn_akm,1,0.88
wpn_akms_alt,1,0.88
wpn_aks74,1,0.88
wpn_aks74_new,1,0.88
wpn_aps,1,0.88
wpn_axe,1,1
wpn_axe2,1,1
wpn_binoc_inv,1,1
wpn_bizon,1,0.88
wpn_fort,1,0.88
wpn_groza,1,0.88
wpn_gsh18,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_oc33,1,0.88
wpn_pb,1,0.88
wpn_pm,1,0.88
wpn_sil_6p9,1,0.88
wpn_sil_9a91,1,0.88
wpn_sil_9mm,1,0.88
wpn_sil_aps,1,0.88
wpn_sil_atg,1,0.88
wpn_sil_kzrzp,1,0.88
wpn_sil_pbs1,1,0.88
wpn_sil_pbs4,1,0.88
wpn_sil_tgp-a,1,0.88
wpn_sil_vihr,1,0.88
wpn_tt33,1,0.88
wpn_vsk94,1,0.88
