~,st_data_export_quantity,st_data_export_probability
1p29,1,0.88
ac10632,1,0.88
acog,1,0.88
af_aac,2,1
af_aam,1,1
af_camelbak,1,1
af_cooler,1,1
af_frames,2,1
af_freon,1,1
af_grid,2,1
af_iam,2,1
af_kevlar,2,1
af_plates,2,1
af_surge,1,1
ammo_11.43x23_fmj,8,0.66
ammo_11.43x23_hydro,6,0.66
ammo_12.7x55_ap,2,0.66
ammo_12.7x55_fmj,3,0.66
ammo_12x70_buck,8,0.66
ammo_12x76_zhekan,6,0.66
ammo_357_hp_mag,4,0.66
ammo_5.45x39_ap,6,0.66
ammo_5.45x39_ep,6,0.66
ammo_5.45x39_fmj,8,0.66
ammo_5.56x45_ap,6,0.66
ammo_5.56x45_fmj,10,0.66
ammo_5.56x45_ss190,8,0.66
ammo_5.7x28_ss190,5,0.66
ammo_5.7x28_ss195,3,0.66
ammo_7.62x25_p,8,0.66
ammo_7.62x25_ps,8,0.66
ammo_7.62x39_ap,6,0.66
ammo_7.62x39_fmj,8,0.66
ammo_7.62x51_ap,6,0.66
ammo_7.62x51_fmj,8,0.66
ammo_7.62x54_7h1,4,0.66
ammo_7.62x54_7h14,3,0.66
ammo_7.62x54_ap,6,0.66
ammo_7.92x33_ap,6,0.66
ammo_7.92x33_fmj,8,0.66
ammo_9x18_ap,6,0.66
ammo_9x18_fmj,8,0.66
ammo_9x18_pmm,6,0.66
ammo_9x19_ap,6,0.66
ammo_9x19_fmj,8,0.66
ammo_9x19_pbp,6,0.66
ammo_9x39_ap,6,0.66
ammo_9x39_pab9,8,0.66
ammo_m209,3,0.66
ammo_magnum_300,6,0.66
ammo_og-7b,1,0.88
ammo_vog-25,3,0.66
analgetic,4,1
antibio_chlor,4,1
antibio_sulfad,4,1
antiemetic,4,1
antirad,2,1
antirad_cystamine,4,1
antirad_kalium,4,1
army_bowler,1,1
bandage,4,1
batteries_dead,6,1
beans,4,1
bolts_pack,2,1
box_matches,4,1
bread,4,1
breadold,4,1
c-more,1,0.88
caffeine,1,1
charcoal,2,1
chili,4,1
chocolate,1,1
compression_bag,1,1
conserva,3,1
cooking,3,1
corn,4,1
detector_advanced,2,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,1,1
energy_drink,4,1
eot,1,0.88
equ_small_pack,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
grenade_f1,2,0.66
grenade_gd-05,2,0.66
grenade_rgd5,3,0.66
grenade_smoke,3,0.66
helm_cloth_mask,1,1
helm_hardhat,1,1
helm_m40,1,1
helm_m50,1,1
helm_ppm88,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
ied_new,5,1
ied_rpg_new,5,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
jgut,4,1
kerosene,2,1
kit_hunt,1,1
kobra,1,0.88
lead_box,3,1
medkit,3,1
medkit_ai1,4,1
medkit_ai2,4,1
medkit_ai3,4,1
medkit_army,2,1
medkit_scientic,2,1
mine_new,5,1
mineral_water,3,1
mint,3,1
monolith_nbc_outfit,1,1
monolith_outfit,1,1
monolith_trenchcoat_outfit,1,1
morphine,2,1
nuts,2,1
ps01,1,0.88
pso1m21,1,0.88
raisins,3,1
ration_ru,2,1
ration_ukr,3,1
salicidic_acid,2,1
salmon,2,1
sausage,2,1
stimpack,2,1
stimpack_army,2,1
stimpack_scientic,2,1
survival_kit,1,1
swiss_knife,2,1
tomato,3,1
vodka2,3,1
water_drink,4,1
wpn_addon_scope_galil,1,0.88
wpn_addon_scope_po4x34,1,0.88
wpn_aug,1,0.88
wpn_axe,1,1
wpn_axe2,1,1
wpn_beretta,1,0.88
wpn_binoc_inv,2,1
wpn_bizon,1,0.88
wpn_colt1911,1,0.88
wpn_cz75,1,0.88
wpn_desert_eagle,1,0.88
wpn_fn2000,1,0.88
wpn_fnp45,1,0.88
wpn_g3,1,0.88
wpn_g36,1,0.88
wpn_g36k,1,0.88
wpn_g3sg1,1,0.88
wpn_galil,1,0.88
wpn_glock,1,0.88
wpn_hpsa,1,0.88
wpn_knife,2,1
wpn_knife2,2,1
wpn_l85,1,0.88
wpn_l85a2,1,0.88
wpn_lr300,1,0.88
wpn_m16a2,1,0.88
wpn_m4a1,1,0.88
wpn_mp412,1,0.88
wpn_mp443,1,0.88
wpn_mp5,1,0.88
wpn_mp5sd,1,0.88
wpn_protecta,1,0.88
wpn_sig220,1,0.88
wpn_sig550,1,0.88
wpn_sil_45,1,0.88
wpn_sil_57,1,0.88
wpn_sil_6p9,1,0.88
wpn_sil_9a91,1,0.88
wpn_sil_9mm,1,0.88
wpn_sil_aps,1,0.88
wpn_sil_atg,1,0.88
wpn_sil_gemtech,1,0.88
wpn_sil_kzrzp,1,0.88
wpn_sil_nato,1,0.88
wpn_sil_pbs1,1,0.88
wpn_sil_pbs4,1,0.88
wpn_sil_sr25,1,0.88
wpn_sil_tgp-a,1,0.88
wpn_sil_vihr,1,0.88
wpn_spas12,1,0.88
wpn_ump45,1,0.88
wpn_usp,1,0.88
wpn_vz61,1,0.88
wpn_walther,1,0.88
wpn_wincheaster1300,1,0.88
yadylin,4,1
