~,st_data_export_quantity,st_data_export_probability
af_grid,1,1
af_plates,1,1
ammo_11.43x23_fmj,8,0.44
ammo_12x70_buck,6,0.66
ammo_357_hp_mag,3,0.22
ammo_5.45x39_fmj,6,0.66
ammo_5.56x45_fmj,6,0.33
ammo_7.62x39_fmj,5,0.66
ammo_7.62x51_fmj,5,0.33
ammo_7.62x54_7h1,4,0.33
ammo_7.92x33_fmj,3,0.66
ammo_9x18_fmj,8,0.66
ammo_9x19_fmj,8,0.66
ammo_magnum_300,3,0.11
analgetic,3,1
army_bowler,1,1
bandage,3,1
batteries_dead,2,1
beadspread,1,1
beans,2,1
beer,3,1
bolts_pack,1,1
box_matches,2,1
breadold,4,1
charcoal,1,1
chili,2,1
cigarettes,2,1
cigarettes_russian,2,1
cocaine,2,1
compression_bag,1,1
cooking,2,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
drug_antidot,1,1
drug_booster,1,1
drug_coagulant,2,1
drug_sleepingpills,1,1
energy_drink,3,1
equ_small_military_pack,1,1
equ_small_pack,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
flask,2,1
grenade_gd-05,3,0.66
grenade_smoke,3,0.66
grooming,1,1
hand_rolling_tobacco,1,1
helm_bandana,1,1
helm_cloth_mask,1,1
helm_hardhat,1,1
helm_m40,1,1
helm_ranger,1,1
helm_resp,1,1
helm_respirator,1,1
helm_respirator_old,1,1
itm_backpack,1,1
itm_sleepbag,1,1
jgut,3,1
joint,2,1
kolbasa,3,1
lead_box,1,1
leatherman_tool,1,1
light_loner_outfit,1,1
marijuana,2,1
meat_bloodsucker,1,0.75
meat_boar,3,1
meat_dog,3,1
meat_flesh,2,1
meat_pseudodog,2,1
meat_snork,1,1
meat_tushkano,3,1
medkit,2,1
mre,1,1
nbc_outfit,1,1
nomad_outfit,1,1
novice_outfit,1,1
nuts,2,1
shovel_mili,1,1
stalker_autumn_outfit,1,1
stalker_bear_outfit,1,1
stalker_graphite_outfit,1,1
stalker_outfit,1,1
stalker_predator_outfit,1,1
stalker_tigerstripe_outfit,1,1
swiss_knife,1,1
tetanus,2,1
trenchcoat_outfit,1,1
vodka,3,1
wpn_ak,1,0.5
wpn_ak74,1,0.5
wpn_ak74u_old,1,0.75
wpn_aks,1,0.5
wpn_aks74,1,0.5
wpn_axe2,1,1
wpn_axe3,1,1
wpn_beretta,1,0.75
wpn_binoc_inv,1,1
wpn_bm16,1,0.75
wpn_colt1911,1,0.75
wpn_fort,1,0.75
wpn_kiparis,1,0.75
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_knife4,1,1
wpn_mosin,1,0.75
wpn_mp5,1,0.75
wpn_oc33,1,0.65
wpn_pb,1,0.65
wpn_pm,1,0.75
wpn_pm_custom,1,0.65
wpn_ppsh41,1,0.75
wpn_ppsh41_rednew,1,0.65
wpn_ppsh41_woodnew,1,0.65
wpn_sks_modern,1,0.65
wpn_svt40,1,0.65
wpn_toz34,1,0.75
wpn_toz34_obrez,1,0.75
wpn_tt33,1,0.65
wpn_usp,1,0.75
wpn_walther,1,0.75
yadylin,3,1
