~,st_data_export_price_multiplier
af_black,1
af_kevlar_up,1
af_plates_up,1
ammo_4.6x30_fmj,1
ammo_4.6x30_fmj_bad,1
ammo_50_bmg,1
ammo_50_bmg_bad,1
drug_anabiotic,3
drug_antidot,2
drug_coagulant,2
drug_psy_blockade,2
drug_radioprotector,2
exo_dolg_red_outfit,1
fieldcraft_plate_attch,1
hide_bloodsucker,2.5
hide_boar,2.5
hide_burer,2.5
hide_chimera,2.5
hide_controller,2.5
hide_flesh,2.5
hide_lurker,2.5
hide_pseudodog,2.5
hide_pseudogiant,2.5
hide_psy_dog,2.5
hide_psysucker,2.5
itm_tent_bag,1
marker,1
medkit_army,1
medkit_scientic,1
merc_combat_scientific_outfit,1
monolith_shard,1
mutant_part_boar_chop,2.5
mutant_part_boar_leg,2.5
mutant_part_brain_burer,2.5
mutant_part_burer_hand,2.5
mutant_part_cat_claw,2.5
mutant_part_cat_tail,2.5
mutant_part_cat_thyroid,2.5
mutant_part_chimera_claw,2.5
mutant_part_chimera_kogot,2.5
mutant_part_chimera_meat,2.5
mutant_part_controller_glass,2.5
mutant_part_controller_hand,2.5
mutant_part_crow_beak,1
mutant_part_dog_heart,2.5
mutant_part_dog_liver,2.5
mutant_part_dog_meat,2.5
mutant_part_dog_tail,2.5
mutant_part_fang_psevdodog,2.5
mutant_part_flesh_eye,2.5
mutant_part_flesh_meat,2.5
mutant_part_fracture_hand,2.5
mutant_part_heart_bloodsucker,2.5
mutant_part_heart_chimera,2.5
mutant_part_krovosos_jaw,2.5
mutant_part_krovosos_meat,2.5
mutant_part_lurker_eye,2.5
mutant_part_lurker_meat,2.5
mutant_part_lurker_tail,2.5
mutant_part_pseudogigant_eye,2.5
mutant_part_pseudogigant_hand,2.5
mutant_part_psevdodog_meat,2.5
mutant_part_psevdodog_tail,2.5
mutant_part_psysucker_hand,2.5
mutant_part_psysucker_meat,2.5
mutant_part_snork_hand,2.5
mutant_part_snork_leg,2.5
mutant_part_tushkano_head,2.5
mutant_part_tushkano_meat,2.5
mutant_part_tusk_boar,2.5
mutant_part_zombi_hand,2.5
powder_poltergeist,1
svoboda_novice_outfit,1
wpn_gauss_quest,1
wpn_wa2000,2.5
wpn_xm8,1
