~,st_data_export_quantity,st_data_export_probability
ammo_12x70_buck,5,1
ammo_12x76_zhekan,5,0.7
kit_hunt,1,1
meat_bloodsucker,2,1
meat_boar,4,1
meat_chimera,1,1
meat_dog,6,1
meat_flesh,4,1
meat_pseudodog,4,1
meat_snork,4,1
meat_tushkano,6,1
mutant_part_boar_chop,7,1
mutant_part_boar_leg,5,1
mutant_part_cat_tail,3,1
mutant_part_dog_meat,3,1
mutant_part_dog_tail,3,1
mutant_part_flesh_eye,4,1
mutant_part_flesh_meat,5,1
mutant_part_fracture_hand,2,1
mutant_part_psevdodog_meat,2,1
mutant_part_psevdodog_tail,2,1
mutant_part_snork_hand,2,1
mutant_part_snork_leg,4,1
mutant_part_tushkano_head,5,1
mutant_part_zombi_hand,4,1
sharpening_stones,2,1
swiss_knife,2,1
wpn_bm16,2,1
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_mp153,1,1
wpn_remington870,1,0.7
wpn_spas12,1,1
wpn_toz34,1,1
wpn_wincheaster1300,1,0.7
