~,st_data_export_price_multiplier
af_baloon,0.3
af_black_spray,0.3
af_blood,0.3
af_bracelet,0.3
af_compass,0.3
af_cristall,0.3
af_cristall_flower,0.3
af_dummy_battery,0.3
af_dummy_dummy,0.3
af_dummy_glassbeads,0.3
af_dummy_pellicle,0.3
af_dummy_spring,0.3
af_electra_flash,0.3
af_electra_moonlight,0.3
af_electra_sparkler,0.3
af_empty,0.3
af_eye,0.3
af_fire,0.3
af_fireball,0.3
af_full_empty,0.3
af_fuzz_kolobok,0.3
af_glass,0.3
af_gold_fish,0.3
af_gravi,0.3
af_ice,0.3
af_itcher,0.3
af_lobster_eyes,0.3
af_medusa,0.3
af_mincer_meat,0.3
af_night_star,0.3
af_oasis_heart,0.3
af_pin,0.3
af_ring,0.3
af_soul,0.3
af_sponge,0.3
af_vyvert,0.3
ammo_11.43x23_fmj,0.6
ammo_11.43x23_hydro,0.6
ammo_12x70_buck,0.3
ammo_12x76_zhekan,0.3
ammo_5.45x39_ap,1
ammo_5.45x39_fmj,0.3
ammo_5.56x45_ap,0.6
ammo_5.56x45_ss190,1
ammo_7.62x54_7h1,0.6
ammo_9x18_fmj,0.3
ammo_9x18_pmm,0.6
ammo_9x19_fmj,0.3
ammo_9x19_pbp,0.6
ammo_9x39_ap,0.8
ammo_9x39_pab9,0.8
ammo_gauss,2
ammo_gauss_cardan,
ammo_m209,0.9
ammo_og-7b,
ammo_pkm_100,0.6
ammo_vog-25,0.9
antirad,0.8
army_patch,
bandage,
bandit_exo_outfit,
bandit_novice_outfit,0.3
bandit_patch,
banditmerc_outfit,0.3
bread,
conserva,
cs_heavy_outfit,0.3
cs_light_novice_outfit,0.3
cs_light_outfit,0.3
cs_medium_outfit,0.3
cs_novice_outfit,0.3
csky_patch,
detector_advanced,0.5
detector_elite,1.2
detector_simple,0.3
device_pda,
dolg_exo_outfit,0.3
dolg_heavy_outfit,0.3
dolg_novice_outfit,0.3
dolg_outfit,0.3
dolg_patch,
dolg_scientific_outfit,
drug_anabiotic,3
drug_antidot,2
drug_coagulant,2
drug_psy_blockade,2
drug_radioprotector,2
ecolog_guard_outfit,0.3
ecolog_outfit_green,
ecolog_outfit_orange,
ecolog_patch,
energy_drink,
exo_outfit,0.3
freedom_patch,
greh_patch,
guitar_a,0.3
harmonica_a,0.3
helm_battle,0.3
helm_hardhat,0.3
helm_hardhat_snag,0.3
helm_m40,0.3
helm_protective,0.3
helm_respirator,0.3
helm_respirator_joker,0.3
helm_tactic,0.3
isg_patch,
itm_actor_backpack,
itm_backpack,0.3
killer_patch,
kolbasa,
medkit,
medkit_army,1
medkit_scientic,1
merc_exo_outfit,
merc_outfit,0.3
merc_scientific_outfit,
military_exo_outfit,
military_outfit,0.3
monolith_exo_outfit,
monolith_outfit,0.3
monolith_patch,
monolith_scientific_outfit,
mutant_part_boar_chop,
mutant_part_boar_leg,
mutant_part_burer_hand,
mutant_part_cat_tail,
mutant_part_chimera_claw,
mutant_part_chimera_kogot,
mutant_part_chimera_meat,
mutant_part_controller_glass,
mutant_part_controller_hand,
mutant_part_dog_meat,
mutant_part_dog_tail,
mutant_part_flesh_eye,
mutant_part_flesh_meat,
mutant_part_fracture_hand,
mutant_part_general_meat,
mutant_part_krovosos_jaw,
mutant_part_krovosos_meat,
mutant_part_pseudogigant_eye,
mutant_part_pseudogigant_hand,
mutant_part_psevdodog_meat,
mutant_part_psevdodog_tail,
mutant_part_snork_hand,
mutant_part_snork_leg,
mutant_part_tushkano_head,
mutant_part_tushkano_meat,
mutant_part_zombi_hand,
novice_outfit,0.3
scientific_outfit,0.3
specops_outfit,0.3
stalker_outfit,0.3
stalker_outfit_barge,0.3
stalker_patch,
svoboda_exo_outfit,
svoboda_heavy_outfit,
svoboda_heavy_outfit_2,
svoboda_light_outfit,0.3
svoboda_scientific_outfit,
trenchcoat_outfit,0.3
vodka,
wpn_abakan,0.4
wpn_addon_grenade_launcher,0.4
wpn_addon_grenade_launcher_m203,
wpn_addon_scope,0.4
wpn_addon_scope_galil,
wpn_addon_silencer,0.4
wpn_ak74,0.4
wpn_ak74u,0.4
wpn_beretta,0.4
wpn_bm16,0.4
wpn_colt1911,0.4
wpn_desert_eagle,
wpn_fn2000,
wpn_fort,0.4
wpn_g36,
wpn_groza,0.4
wpn_hpsa,0.4
wpn_l85,0.4
wpn_lr300,0.4
wpn_mp5,0.4
wpn_pb,0.4
wpn_pkm,0.4
wpn_pm,0.4
wpn_protecta,
wpn_rg-6,
wpn_rpg7,
wpn_sig220,0.4
wpn_sig550,0.4
wpn_spas12,0.4
wpn_svd,
wpn_svu,
wpn_toz34,0.4
wpn_usp,0.4
wpn_val,
wpn_vintorez,
wpn_walther,0.4
wpn_wincheaster1300,0.4
