~,st_data_export_price_multiplier
af_baloon,0.7
af_blood,0.7
af_cristall,0.7
af_dummy_dummy,0.7
af_electra_flash,0.7
af_electra_sparkler,0.7
af_medusa,0.7
af_mincer_meat,0.7
ammo_12x70_buck,0.8
ammo_12x76_zhekan,1
ammo_5.45x39_fmj,0.8
ammo_9x18_fmj,0.8
ammo_9x18_pmm,1
ammo_9x19_fmj,0.8
antirad,1
bandage,0.7
bandit_novice_outfit,0.6
box_matches,3
bread,0.7
conserva,0.7
cs_novice_outfit,0.7
detector_advanced,0.9
detector_simple,0.6
dolg_novice_outfit,0.6
energy_drink,0.7
guitar_a,0.7
harmonica_a,0.7
helm_respirator,0.5
itm_actor_backpack,0.6
itm_backpack,2
itm_pda_common,
itm_pda_rare,
itm_pda_uncommon,
itm_sleepbag,2
kolbasa,0.7
medkit,1
novice_outfit,0.5
trenchcoat_outfit,0.6
vodka,0.7
wpn_bm16,0.5
wpn_fort,0.5
wpn_mp5,0.5
wpn_pm,0.5
wpn_toz34,0.6
wpn_toz34_mark4,1.6
