~,st_data_export_quantity,st_data_export_probability
af_baloon,0.7,0.9
af_blood,0.7,0.9
af_cristall,0.7,0.9
af_dummy_dummy,0.7,0.9
af_electra_flash,0.7,0.9
af_electra_sparkler,0.7,0.9
af_medusa,0.7,0.9
af_mincer_meat,0.7,0.9
ammo_12x70_buck,5,1
ammo_12x76_zhekan,5,0.7
ammo_5.45x39_fmj,4,0.7
ammo_9x18_fmj,3,1
ammo_9x18_pmm,3,0.5
ammo_9x19_fmj,3,1
antirad,3,0.6
bandage,5,1
bandit_novice_outfit,1,1
box_matches,3,1
bread,4,1
conserva,4,1
cs_novice_outfit,1,1
detector_advanced,1,0.7
detector_simple,1,1
dolg_novice_outfit,1,1
energy_drink,3,1
guitar_a,1,1
harmonica_a,2,1
helm_respirator,1,1
itm_actor_backpack,3,1
itm_backpack,2,1
itm_sleepbag,1,1
kolbasa,4,1
medkit,4,0.7
novice_outfit,1,1
swiss_knife,2,1
trenchcoat_outfit,1,1
vodka,5,1
wpn_bm16,2,1
wpn_cz52,1,1
wpn_fort,3,1
wpn_mp5,1,1
wpn_mp7,1,1
wpn_pm,3,1
wpn_toz34,1,1
wpn_toz34_mark4,1,0.8
