~,st_data_export_price_multiplier
af_baloon,0.7
af_blood,0.7
af_cristall,0.7
af_dummy_dummy,0.7
af_electra_flash,0.7
af_electra_sparkler,0.7
af_gravi,1
af_medusa,0.7
af_mincer_meat,0.7
af_night_star,1
ammo_12x70_buck,1
ammo_12x76_zhekan,1
ammo_5.45x39_fmj,1.2
ammo_9x18_fmj,1
ammo_9x18_pmm,1
ammo_9x19_fmj,1
antirad,1.5
bandage,1
bandit_novice_outfit,1
box_matches,3
bread,1
conserva,1
cs_novice_outfit,1
detector_advanced,0.7
detector_simple,0.6
dolg_novice_outfit,1
energy_drink,1
guitar_a,1
harmonica_a,1
helm_respirator,1
itm_actor_backpack,0.6
itm_backpack,0.6
itm_pda_common,
itm_pda_rare,
itm_pda_uncommon,
itm_sleepbag,0.6
kolbasa,1
medkit,1.2
novice_outfit,1
trenchcoat_outfit,1
vodka,1
wpn_bm16,0.8
wpn_fort,0.8
wpn_mp5,0.5
wpn_pm,0.8
wpn_toz34,0.6
wpn_toz34_mark4,1.6
