~,st_data_export_quantity,st_data_export_probability
1p29,1,0.66
acog,1,0.66
adrenalin,2,1
af_camelbak,1,1
af_frames,1,1
af_kevlar,1,1
af_plates,1,1
akvatab,3,1
ammo_11.43x23_fmj,8,0.44
ammo_11.43x23_hydro,6,0.44
ammo_12x70_buck,10,0.66
ammo_12x76_zhekan,7,0.66
ammo_357_hp_mag,3,0.22
ammo_5.45x39_ap,9,0.66
ammo_5.45x39_ep,12,0.66
ammo_5.45x39_fmj,15,0.66
ammo_5.56x45_ap,9,0.33
ammo_5.56x45_fmj,15,0.66
ammo_5.56x45_ss190,12,0.33
ammo_7.62x25_p,7,0.66
ammo_7.62x25_ps,7,0.66
ammo_7.62x39_ap,12,0.66
ammo_7.62x39_fmj,15,0.66
ammo_7.62x51_ap,12,0.33
ammo_7.62x51_fmj,15,0.33
ammo_7.62x54_7h1,4,0.33
ammo_7.62x54_7h14,4,0.33
ammo_7.62x54_ap,4,0.33
ammo_7.92x33_ap,3,0.66
ammo_7.92x33_fmj,3,0.66
ammo_9x18_ap,10,0.66
ammo_9x18_fmj,12,0.66
ammo_9x18_pmm,8,0.66
ammo_9x19_ap,10,0.66
ammo_9x19_fmj,12,0.66
ammo_9x19_pbp,8,0.66
ammo_9x39_ap,12,0.33
ammo_9x39_pab9,15,0.33
ammo_m209,4,0.33
ammo_magnum_300,5,0.11
ammo_og-7b,2,0.66
ammo_vog-25,4,0.66
analgetic,3,1
antibio_chlor,3,1
antibio_sulfad,3,1
antiemetic,3,1
antirad,2,1
antirad_cystamine,3,1
antirad_kalium,3,1
army_bowler,1,1
bandage,4,1
batteries_dead,6,1
bolts_pack,2,1
charcoal,1,1
compression_bag,1,1
cooking,1,1
detector_advanced,1,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
device_torch_nv_1,1,1
drug_anabiotic,2,1
drug_antidot,3,1
drug_booster,2,1
drug_coagulant,3,1
drug_psy_blockade,2,1
drug_radioprotector,2,1
drug_sleepingpills,3,1
equ_small_pack,1,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
glucose,2,1
glucose_s,3,1
grenade_f1,3,0.66
grenade_gd-05,3,0.66
grenade_rgd5,3,0.66
grenade_smoke,3,0.66
helm_cloth_mask,1,1
helm_hardhat,1,1
helm_m40,1,1
helm_m50,1,1
helm_ppm88,1,1
helm_resp,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
ied_new,3,1
ied_rpg_new,3,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
jgut,3,1
kerosene,1,1
kit_hunt,1,1
kobra,1,0.88
lead_box,2,1
medkit,3,1
medkit_ai1,3,1
medkit_ai2,3,1
medkit_ai3,3,1
medkit_army,2,1
medkit_scientic,2,1
mine_new,3,1
mre,1,1
nbc_outfit,1,1
nomad_outfit,1,1
novice_outfit,1,1
ps01,1,0.88
pso1m21,1,0.88
ration_ru,1,1
ration_ukr,1,1
stalker_drought_outfit,1,1
stalker_outfit,1,1
stalker_salamander_outfit,1,1
stalker_vineleaf_outfit,1,1
stimpack,3,1
stimpack_army,2,1
stimpack_scientic,1,1
survival_kit,1,1
tetanus,2,1
wastelander_outfit,1,1
wpn_abakan,1,0.88
wpn_addon_scope_po4x34,1,0.88
wpn_addon_scope_pu,1,0.88
wpn_addon_scope_zf4,1,0.88
wpn_aek,1,0.88
wpn_ak105,1,0.88
wpn_ak74,1,0.88
wpn_ak74_alt,1,0.88
wpn_ak74u,1,0.88
wpn_ak74u_old,1,0.88
wpn_akm,1,0.88
wpn_akms,1,0.88
wpn_aks74,1,0.88
wpn_aps,1,0.88
wpn_beretta,1,0.88
wpn_binoc_inv,1,1
wpn_bm16,1,0.88
wpn_bm16_alt,1,0.88
wpn_bm16_full,1,0.88
wpn_bm16_full_alt,1,0.88
wpn_colt1911,1,0.88
wpn_desert_eagle,1,0.88
wpn_fort,1,0.88
wpn_g43,1,0.88
wpn_gsh18,1,0.88
wpn_hpsa,1,0.88
wpn_k98,1,0.88
wpn_kiparis,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_lr300,1,0.88
wpn_m4a1,1,0.88
wpn_mosin,1,0.88
wpn_mossberg590,1,0.88
wpn_mp5,1,0.88
wpn_mp5sd,1,0.88
wpn_oc33,1,0.88
wpn_pb,1,0.88
wpn_pkm,1,0.88
wpn_pm,1,0.88
wpn_protecta,1,0.88
wpn_rpk74,1,0.88
wpn_sig220,1,0.88
wpn_sig550,1,0.88
wpn_sil_45,1,0.88
wpn_sil_6p9,1,0.88
wpn_sil_9a91,1,0.88
wpn_sil_9mm,1,0.88
wpn_sil_aps,1,0.88
wpn_sil_atg,1,0.88
wpn_sil_nato,1,0.66
wpn_sil_pbs1,1,0.88
wpn_sil_pbs4,1,0.88
wpn_sil_tgp-a,1,0.88
wpn_sks,1,0.88
wpn_sks_modern,1,0.88
wpn_spas12,1,0.88
wpn_svd,1,0.88
wpn_svt40,1,0.88
wpn_svu,1,0.88
wpn_toz34,1,0.88
