~,st_data_export_quantity,st_data_export_probability
cs_heavy_outfit,1,1
cs_light_novice_outfit,1,1
cs_light_outfit,1,1
cs_medium_outfit,1,1
ghillie_outfit,1,1
novice_outfit_tourist,1,1
wpn_ak74u_snag,1,1
wpn_desert_eagle_nimble,1,1
wpn_fn2000_nimble,1,1
wpn_fort_snag,1,1
wpn_g36_nimble,1,1
wpn_groza_nimble,1,1
wpn_mp5_nimble,1,1
wpn_pm_actor,1,1
wpn_protecta_nimble,1,1
wpn_sig220_nimble,1,1
wpn_sig550_luckygun,1,1
wpn_spas12_nimble,1,1
wpn_svd_nimble,1,1
wpn_svu_nimble,1,1
wpn_toz34_mark4,1,1
wpn_usp_nimble,1,1
wpn_vintorez_nimble,1,1
wpn_wa2000,1,1
wpn_wincheaster1300_trapper,1,1
