~,st_data_export_quantity,st_data_export_probability
adrenalin,2,1
akvatab,3,1
ammo_11.43x23_fmj,8,0.44
ammo_11.43x23_hydro,6,0.44
ammo_12x70_buck,10,0.66
ammo_12x76_zhekan,7,0.66
ammo_357_hp_mag,3,0.22
ammo_5.45x39_ap,10,0.66
ammo_5.45x39_ep,12,0.66
ammo_5.45x39_fmj,15,0.66
ammo_5.56x45_ap,12,0.33
ammo_5.56x45_fmj,16,0.33
ammo_5.56x45_ss190,15,0.33
ammo_7.62x25_p,7,0.66
ammo_7.62x25_ps,7,0.66
ammo_7.62x39_ap,12,0.66
ammo_7.62x39_fmj,15,0.66
ammo_7.62x51_ap,12,0.33
ammo_7.62x51_fmj,15,0.33
ammo_7.62x54_7h1,4,0.33
ammo_7.62x54_7h14,4,0.33
ammo_7.62x54_ap,4,0.33
ammo_7.92x33_ap,3,0.66
ammo_7.92x33_fmj,3,0.66
ammo_9x18_ap,10,0.66
ammo_9x18_fmj,12,0.66
ammo_9x18_pmm,8,0.66
ammo_9x19_ap,10,0.66
ammo_9x19_fmj,12,0.66
ammo_9x19_pbp,8,0.66
ammo_9x39_ap,12,0.33
ammo_9x39_pab9,15,0.33
ammo_m209,4,0.33
ammo_magnum_300,5,0.11
ammo_og-7b,2,0.66
ammo_vog-25,4,0.66
analgetic,4,1
antibio_chlor,4,1
antibio_sulfad,4,1
antiemetic,4,1
antirad,2,1
antirad_cystamine,4,1
antirad_kalium,4,1
bandage,4,1
batteries_dead,6,1
bolts_pack,2,1
charcoal,2,1
compression_bag,1,1
cooking,1,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
drug_anabiotic,2,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,3,1
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
glucose,2,1
glucose_s,3,1
grenade_f1,3,0.66
grenade_gd-05,3,0.66
grenade_rgd5,3,0.66
grenade_smoke,3,0.66
helm_cloth_mask,1,1
helm_ppm88,1,1
helm_resp,1,1
helm_respirator,1,1
helm_respirator_gp5,1,1
helm_respirator_old,1,1
helm_rp_bala,1,1
ied_new,3,1
ied_rpg_new,3,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
jgut,4,1
kerosene,1,1
kit_hunt,1,1
lead_box,2,1
medkit,3,1
medkit_ai1,4,1
medkit_ai2,4,1
medkit_ai3,4,1
medkit_army,2,1
medkit_scientic,2,1
mine_new,3,1
morphine,2,1
mre,1,1
nomad_outfit,1,1
novice_outfit,1,1
ration_ru,1,1
ration_ukr,1,1
salicidic_acid,2,1
stalker_autumn_outfit,1,1
stalker_bear_outfit,1,1
stalker_drought_outfit,1,1
stalker_graphite_outfit,1,1
stalker_outfit,1,1
stalker_vineleaf_outfit,1,1
stimpack,3,1
stimpack_army,2,1
stimpack_scientic,1,1
survival_kit,1,1
swiss_knife,2,1
tetanus,2,1
wpn_beretta,1,0.88
wpn_binoc_inv,1,1
wpn_bizon,1,0.88
wpn_bm16,1,0.88
wpn_bm16_full,1,0.88
wpn_colt1911,1,0.88
wpn_desert_eagle,1,0.88
wpn_fort,1,0.88
wpn_g43,1,0.88
wpn_hpsa,1,0.88
wpn_k98,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_mosin,1,0.88
wpn_mossberg590,1,0.88
wpn_pb,1,0.88
wpn_pm,1,0.88
wpn_protecta,1,0.88
wpn_sig220,1,0.88
wpn_sil_45,1,0.88
wpn_sil_6p9,1,0.88
wpn_sil_9a91,1,0.88
wpn_sil_9mm,1,0.88
wpn_sil_aps,1,0.88
wpn_sil_atg,1,0.88
wpn_sil_nato,1,0.66
wpn_sil_pbs1,1,0.88
wpn_sil_pbs4,1,0.88
wpn_sil_tgp-a,1,0.88
wpn_spas12,1,0.88
wpn_toz34,1,0.88
wpn_toz34_obrez,1,0.88
wpn_tt33,1,0.88
wpn_type63,1,0.88
wpn_usp,1,0.88
wpn_walther,1,0.88
wpn_wincheaster1300,1,0.88
yadylin,4,1
