~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
decor_ashtray,st_placeable_ashtray,1,recipe_basic_0,,st_prt_i_fasteners,x1,st_prt_i_scrap,x1,,,,
decor_barrel_metal,st_placeable_barrel_metal,1,recipe_basic_0,,st_prt_i_scrap,x3,st_prt_i_fasteners,x1,,,,
decor_bidon,st_placeable_bidon,1,recipe_basic_0,,st_prt_i_scrap,x2,st_prt_i_fasteners,x1,,,,
decor_biliard,st_placeable_biliard,1,recipe_basic_0,,st_prt_i_wood,x5,st_prt_i_fasteners,x5,,,,
decor_box_paper,st_placeable_box_paper,1,recipe_basic_0,,st_prt_i_paper,x3,st_prt_i_wood,x1,,,,
decor_box_wood,st_placeable_box_wood,1,recipe_basic_0,,st_prt_i_wood,x2,st_prt_i_fasteners,x1,,,,
decor_cabinet,st_placeable_cabinet,1,recipe_basic_0,,st_prt_i_wood,x5,st_prt_i_fasteners,x2,,,,
decor_clinic_equipments,st_placeable_clinic_equipments,2,recipe_advanced_0,,st_prt_i_scrap,x9,st_prt_i_fasteners,x5,st_af_frames_name,x1,,
decor_countertop,st_placeable_countertop,1,recipe_basic_0,,st_prt_i_wood,x5,st_prt_i_fasteners,x2,,,,
decor_cuttingboard,st_placeable_cuttingboard,1,recipe_basic_0,,st_prt_i_wood,x1,st_prt_i_fasteners,x1,,,,
decor_dev_guitar,st_placeable_dev_guitar,1,recipe_basic_0,,st_prt_i_wood,x2,st_prt_i_fasteners,x1,,,,
decor_documents_1,st_placeable_documents_1,1,recipe_basic_0,,st_prt_i_paper,x2,st_prt_i_scrap,x1,,,,
decor_documents_2,st_placeable_documents_2,1,recipe_basic_0,,st_prt_i_paper,x3,st_prt_i_scrap,x1,,,,
decor_door,st_placeable_door,2,recipe_advanced_0,,st_prt_i_wood,x4,st_prt_i_fasteners,x2,,,,
decor_door02,st_placeable_door02,2,recipe_advanced_0,,st_prt_i_scrap,x4,st_prt_i_fasteners,x3,,,,
decor_door03,st_placeable_door03,2,recipe_advanced_0,,st_prt_i_wood,x4,st_prt_i_fasteners,x2,,,,
decor_door04,st_placeable_door04,2,recipe_advanced_0,,st_prt_i_wood,x4,st_prt_i_fasteners,x2,,,,
decor_door05,st_placeable_door05,2,recipe_advanced_0,,st_prt_i_scrap,x2,st_prt_i_wood,x2,st_prt_i_fasteners,x2,,
decor_exoskelet,st_placeable_exoskelet,2,recipe_advanced_0,,st_prt_o_support_1,x1,st_itm_exo_psu_name,x1,,,,
decor_fchair,st_placeable_fchair,1,recipe_basic_0,,st_prt_i_scrap,x2,st_prt_i_wood,x1,st_prt_o_fabrics_1,x2,,
decor_fuel,st_placeable_fuel,1,recipe_basic_0,,st_prt_i_plastic,x1,st_jerrycan_fuel,x1,,,,
decor_game,st_placeable_game,1,recipe_basic_0,,st_prt_i_wood,x1,st_prt_i_fasteners,x1,,,,
decor_gaz_balon,st_placeable_gaz_balon,1,recipe_basic_0,,st_prt_i_scrap,x1,st_balon_gas,x1,,,,
decor_grave1,st_placeable_grave1,1,recipe_basic_0,,st_prt_i_wood,x3,st_prt_i_scrap,x1,,,,
decor_grave2,st_placeable_grave2,1,recipe_basic_0,,st_prt_i_wood,x2,st_prt_i_scrap,x1,,,,
decor_guidebook1,st_placeable_guidebook1,1,recipe_basic_0,,st_prt_i_paper,x1,st_gamma_recipe_basic_1,x1,,,,
decor_guidebook2,st_placeable_guidebook2,1,recipe_basic_0,,st_prt_i_paper,x1,st_gamma_recipe_advanced_1,x1,,,,
decor_gun_parts,st_placeable_gun_parts,1,recipe_basic_0,,st_prt_i_scrap,x3,st_prt_i_fasteners,x2,,,,
decor_junk,st_placeable_junk,1,recipe_basic_0,,st_prt_i_scrap,x4,st_prt_i_fasteners,x2,,,,
decor_kartina03,st_placeable_kartina03,1,recipe_basic_0,,st_prt_i_paper,x1,st_prt_i_wood,x1,,,,
decor_lead_box_open,st_placeable_lead_box_open,1,recipe_basic_0,,st_prt_i_scrap,x1,st_prt_i_fasteners,x1,,,,
decor_light1,st_placeable_light1,1,recipe_basic_0,,st_flashlight_broken,x1,st_batteries,x1,st_prt_i_scrap,x2,,
decor_light2,st_placeable_light2,1,recipe_basic_0,,st_flashlight_broken,x1,st_batteries,x1,st_prt_i_scrap,x2,,
