~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
detector_advanced,st_detector2,1,recipe_basic_2,st_gamma_recipe_basic_2,st_detector1,x1,st_prt_i_resistors,x10,st_prt_i_transistors,x12,st_prt_i_capacitors,x10
detector_geiger,st_geiger_dead,1,recipe_basic_2,st_gamma_recipe_basic_2,st_broken_detector,x1,st_prt_i_resistors,x3,st_prt_i_capacitors,x3,st_prt_i_transistors,x4
detector_grizzly,st_grizzly,2,recipe_advanced_2,st_gamma_recipe_advanced_2,st_detector2,x1,st_prt_i_resistors,x14,st_prt_i_transistors,x14,st_prt_i_capacitors,x14
detector_radio,st_detector9,1,recipe_basic_2,st_gamma_recipe_basic_2,st_walkie,x2,st_prt_i_resistors,x4,st_prt_i_capacitors,x3,st_prt_i_transistors,x2
detector_scientific,st_detector4,3,recipe_expert_2,st_gamma_recipe_expert_2,st_grizzly,x1,st_prt_i_resistors,x32,st_prt_i_transistors,x32,st_prt_i_capacitors,x32
detector_simple,st_detector1,1,recipe_basic_2,st_gamma_recipe_basic_2,st_broken_detector,x1,st_prt_i_resistors,x4,st_prt_i_transistors,x4,st_prt_i_capacitors,x6
device_pda_2,st_pda_2_name,2,recipe_advanced_2,st_gamma_recipe_advanced_2,st_pda_1_name,x1,st_prt_i_resistors,x8,st_prt_i_transistors,x10,st_prt_i_capacitors,x8
device_pda_3,st_pda_3_name,3,recipe_expert_2,st_gamma_recipe_expert_2,st_pda_2_name,x1,st_prt_i_resistors,x13,st_prt_i_transistors,x15,st_prt_i_capacitors,x16
device_torch_dummy,st_device_torch_name,1,recipe_basic_2,st_gamma_recipe_basic_2,st_flashlight_broken,x2,st_prt_i_resistors,x6,st_prt_i_capacitors,x6,st_prt_i_copper,x2
device_torch_nv_1,st_device_torch_nv_1_name,1,recipe_basic_2,st_gamma_recipe_basic_2,st_device_torch_name,x1,st_prt_i_resistors,x10,st_prt_i_capacitors,x10,st_prt_i_copper,x8
device_torch_nv_2,st_device_torch_nv_2_name,2,recipe_advanced_2,st_gamma_recipe_advanced_2,st_device_torch_nv_1_name,x1,st_prt_i_resistors,x16,st_prt_i_capacitors,x16,st_prt_i_transistors,x16
device_torch_nv_3,st_device_torch_nv_3_name,3,recipe_expert_2,st_gamma_recipe_expert_2,st_device_torch_nv_2_name,x1,st_prt_i_resistors,x20,st_prt_i_capacitors,x20,st_prt_i_transistors,x20
