~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
adrenalin,st_adrenalin,4,recipe_drug_0,,st_cocaine,x1,st_sleepingpills,x1,st_e_syringe,x1,,
akvatab,st_akvatab,4,recipe_drug_0,,st_antiemetic,x4,st_caffeine,x4,st_jar,x1,,
analgetic,st_analgetic,4,recipe_drug_0,,st_drug_coagulant,x1,st_antibio_sulfad,x1,st_e_syringe,x1,,
antirad,st_antirad,4,recipe_drug_0,,st_drug_radioprotector,x2,st_antirad_kalium,x1,st_e_syringe,x1,,
antirad_cystamine,st_antirad_cystamine,4,recipe_drug_0,,st_drug_radioprotector,x1,st_bottle_metal,x1,st_prt_i_plastic,x1,,
antirad_kalium,st_antirad_kalium,4,recipe_drug_0,,st_antibio_chlor,x3,st_vodka,x3,st_prt_i_plastic,x1,,
bandage,st_bandage,4,recipe_drug_0,,st_vodka,x1,st_prt_o_fabrics_1,x1,,,,
bottle_metal,st_bottle_metal,4,recipe_drug_0,,st_marijuana,x1,st_vodka,x1,st_prt_i_paper,x1,,
cigar2,st_cigar2,4,recipe_drug_0,,st_hand_rolling_tobacco,x3,st_prt_i_paper,x1,,,,
cigar3,st_cigar3,4,recipe_drug_0,,st_tobacco,x3,st_prt_i_paper,x1,,,,
cocaine,st_cocaine,4,recipe_drug_0,,st_drug_booster,x1,st_caffeine,x3,st_prt_i_plastic,x1,,
drug_anabiotic,st_drug_anabiotic,4,recipe_drug_0,,st_sleepingpills,x1,st_antibio_sulfad,x2,st_prt_i_plastic,x1,,
drug_antidot,st_drug_antidot,4,recipe_drug_0,,st_antibio_chlor,x2,st_antibio_sulfad,x6,st_prt_i_plastic,x1,,
drug_booster,st_drug_booster,4,recipe_drug_0,,st_protein,x1,st_vodka,x1,st_jar,x1,,
drug_psy_blockade,st_drug_psy_blockade,4,recipe_drug_0,,st_bottle_metal,x3,st_antiemetic,x6,st_prt_i_plastic,x1,,
drug_radioprotector,st_drug_radioprotector,4,recipe_drug_0,,st_antibio_chlor,x1,st_bottle_metal,x1,st_prt_i_plastic,x1,,
glucose,st_glucose,4,recipe_drug_0,,st_glucose_s,x1,st_caffeine,x2,st_e_syringe,x1,,
glucose_s,st_glucose_s,4,recipe_drug_0,,st_protein,x1,st_caffeine,x1,st_e_syringe,x1,,
jgut,st_jgut_zhgut,4,recipe_drug_0,,st_bandage,x2,st_prt_o_fabrics_2,x1,,,,
joint,st_joint,4,recipe_drug_0,,st_marijuana,x1,st_prt_i_paper,x1,,,,
marijuana,st_marijuana,4,recipe_drug_0,,st_joint,x2,st_prt_i_plastic,x1,,,,
medkit,st_medkit,4,recipe_drug_0,,st_drug_coagulant,x2,st_vodka,x1,st_e_syringe,x2,st_prt_i_plastic,x2
medkit_army,st_medkit_army,4,recipe_drug_0,,st_medkit,x2,st_bandage,x2,st_prt_i_plastic,x2,,
medkit_scientic,st_medkit_science,4,recipe_drug_0,,st_medkit_army,x2,st_antirad_kalium,x1,st_prt_i_plastic,x2,,
morphine,st_morphine,4,recipe_drug_0,,st_salicidic_acid,x1,st_antiemetic,x1,st_e_syringe,x1,,
rebirth,st_rebirth,4,recipe_drug_0,,st_akvatab,x2,st_tetanus,x1,st_stim_military,x1,,
salicidic_acid,st_salicidic_acid,4,recipe_drug_0,,st_analgetic,x1,st_caffeine,x1,st_e_syringe,x1,,
drug_sleepingpills,st_sleepingpills,4,recipe_drug_0,,st_drug_psy_blockade,x4,st_joint,x1,st_prt_i_plastic,x2,,
stimpack,st_stim_impro,4,recipe_drug_0,,st_medkit,x1,st_analgetic,x1,st_e_syringe,x1,st_prt_i_plastic,x1
stimpack_army,st_stim_military,4,recipe_drug_0,,st_medkit_army,x1,st_salicidic_acid,x1,st_e_syringe,x1,st_prt_i_plastic,x1
stimpack_scientic,st_stim_scientic,4,recipe_drug_0,,st_medkit_science,x1,st_morphine,x1,st_e_syringe,x1,st_prt_i_plastic,x1
tetanus,st_tetanus,4,recipe_drug_0,,st_yadylin,x1,st_drug_antidot,x1,st_e_syringe,x1,,
vodka,st_vodka,4,recipe_drug_0,,st_vodka2,x4,st_jar,x1,,,,
vodka2,st_vodka2,4,recipe_drug_0,,st_vodka,x6,st_jar,x1,,,,
yadylin,st_yadylin,4,recipe_drug_0,,st_antibio_chlor,x1,st_antiemetic,x1,st_jar,x1,,
