~,pda_encyclopedia_name,st_data_export_tool_tier,st_data_export_recipe_requirement,st_data_export_recipe_requirement_name,#1,st_data_export_disassemble_amount,#2,st_data_export_disassemble_amount,#3,st_data_export_disassemble_amount,#4,st_data_export_disassemble_amount
upgr_o_1_armor,st_upgr_o_armor,1,recipe_basic_3,st_gamma_recipe_basic_3,st_prt_o_ballistic_11,x1,st_prt_o_ballistic_13,x1,st_prt_o_ballistic_15,x1,st_prt_i_scrap,x2
upgr_o_3_armor,st_upgr_o_armor,3,recipe_expert_3,st_gamma_recipe_expert_3,st_prt_o_ballistic_11,x3,st_prt_o_ballistic_13,x2,st_prt_o_ballistic_15,x3,st_prt_i_scrap,x4
upgr_o_2_armor,st_upgr_o_armor,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_prt_o_ballistic_11,x2,st_prt_o_ballistic_13,x2,st_prt_o_ballistic_15,x3,st_prt_i_scrap,x3
upgr_o_1_arty,st_upgr_o_arty,1,recipe_basic_3,st_gamma_recipe_basic_3,st_prt_o_retardant_19,x1,st_prt_o_retardant_12,x1,st_prt_o_fabrics_3,x2,st_prt_i_scrap,x3
upgr_o_2_arty,st_upgr_o_arty,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_prt_o_retardant_19,x2,st_prt_o_retardant_12,x2,st_prt_o_fabrics_3,x3,st_prt_i_scrap,x5
upgr_o_3_arty,st_upgr_o_arty,3,recipe_expert_3,st_gamma_recipe_expert_3,st_prt_o_retardant_19,x3,st_prt_o_retardant_12,x3,st_prt_o_fabrics_3,x4,st_prt_i_scrap,x7
upgr_o_2_bleed,st_upgr_o_bleed,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_jgut_zhgut,x2,st_batteries,x3,st_prt_i_transistors,x3,st_prt_i_fasteners,x3
upgr_o_1_bleed,st_upgr_o_bleed,1,recipe_basic_3,st_gamma_recipe_basic_3,st_analgetic,x2,st_batteries,x2,st_prt_i_transistors,x2,st_prt_i_fasteners,x2
upgr_o_3_bleed,st_upgr_o_bleed,3,recipe_expert_3,st_gamma_recipe_expert_3,st_rebirth,x1,st_batteries,x4,st_prt_i_transistors,x4,st_prt_i_fasteners,x4
upgr_o_3_burn,st_upgr_o_burn,3,recipe_expert_3,st_gamma_recipe_expert_3,st_prt_o_retardant_1,x3,st_prt_o_retardant_9,x3,st_prt_o_retardant_14,x3,st_prt_o_fabrics_1,x4
upgr_o_1_burn,st_upgr_o_burn,1,recipe_basic_3,st_gamma_recipe_basic_3,st_prt_o_retardant_1,x1,st_prt_o_retardant_9,x1,st_prt_o_retardant_14,x1,st_prt_o_fabrics_1,x2
upgr_o_2_burn,st_upgr_o_burn,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_prt_o_retardant_1,x2,st_prt_o_retardant_9,x2,st_prt_o_retardant_14,x2,st_prt_o_fabrics_1,x3
upgr_o_1_carry,st_upgr_o_carry,1,recipe_basic_3,st_gamma_recipe_basic_3,st_prt_o_ballistic_14,x1,st_prt_o_ballistic_16,x1,st_prt_i_scrap,x2,st_prt_i_fasteners,x2
upgr_o_3_carry,st_upgr_o_carry,3,recipe_expert_3,st_gamma_recipe_expert_3,st_prt_o_ballistic_14,x3,st_prt_o_ballistic_16,x3,st_prt_i_scrap,x4,st_prt_i_fasteners,x4
upgr_o_2_carry,st_upgr_o_carry,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_prt_o_ballistic_14,x2,st_prt_o_ballistic_16,x2,st_prt_i_scrap,x3,st_prt_i_fasteners,x3
upgr_o_2_chem,st_upgr_o_chem,2,recipe_advanced_3,st_gamma_recipe_advanced_3,st_prt_o_retardant_2,x2,st_prt_o_retardant_3,x2,st_prt_o_retardant_8,x2,st_sewing_thread,x3
upgr_o_3_chem,st_upgr_o_chem,3,recipe_expert_3,st_gamma_recipe_expert_3,st_prt_o_retardant_2,x3,st_prt_o_retardant_3,x3,st_prt_o_retardant_8,x3,st_sewing_thread,x4
upgr_o_1_chem,st_upgr_o_chem,1,recipe_basic_3,st_gamma_recipe_basic_3,st_prt_o_retardant_2,x1,st_prt_o_retardant_3,x1,st_prt_o_retardant_8,x1,st_sewing_thread,x2
upgr_o_3_damage,st_upgr_o_damage,3,recipe_expert_3,st_gamma_recipe_expert_3,st_prt_o_ballistic_12,x3,st_prt_o_ballistic_14,x3,st_prt_o_ballistic_16,x3,st_prt_i_scrap,x4
