id,texture,width,height,x,y
0kp2,ui\ui_icon_bas,50,50,4400,50
1p29,ui\ui_icon_bas,50,50,4350,0
1p59,ui\ui_icon_bas,100,50,3950,250
1p63,ui\ui_icon_new_scopes_eft,50,50,0,0
1p76,ui\ui_icon_bas,50,50,4050,50
1p78gs,ui\ui_icon_bas,50,50,4100,50
1p87,ui\ui_icon_new_scopes_eft,50,50,150,0
1pn93,ui\ui_icon_bas,100,50,4300,200
1pn93n2_1gs,ui\ui_icon_bas,100,50,4000,200
226sig_kit,ui\ui_icon_bas,100,50,5150,450
23_up,ui\ui_icon_bas,100,50,5150,250
5c_tik,ui\ui_icon_bas,200,100,5600,500
ac10632,ui\ui_icon_bas,50,50,4050,0
ac11090,ui\ui_icon_bas,50,50,4200,0
acog,ui\ui_icon_bas,50,50,4000,0
ado,ui\ui_icon_new_scopes_eft,100,50,0,250
adrenalin,ui\ui_tisk_meds,50,50,750,50
af_aac,ui\ui_icon_equipment,50,50,100,1400
af_aam,ui\ui_icon_equipment,50,50,150,1400
af_ah_e1,ui\ui_icon_equipment,50,50,550,3700
af_ah_e2,ui\ui_icon_equipment,50,50,550,3700
af_ah_f1,ui\ui_icon_equipment,50,50,350,3650
af_ah_g1,ui\ui_icon_equipment,50,50,50,3700
af_ah_g2,ui\ui_icon_equipment,50,50,50,3700
af_ah_h1,ui\ui_icon_equipment,50,50,0,3700
af_ah_h2,ui\ui_icon_equipment,50,50,0,3700
af_ah_o1,ui\ui_icon_equipment,50,50,100,3700
af_ah_o2,ui\ui_icon_equipment,50,50,100,3700
af_ah_r1,ui\ui_icon_equipment,50,50,600,3650
af_ah_r2,ui\ui_icon_equipment,50,50,600,3650
af_ah_r3,ui\ui_icon_equipment,50,50,600,3650
af_ah_r4,ui\ui_icon_equipment,50,50,600,3650
af_ah_r5,ui\ui_icon_equipment,50,50,600,3650
af_ah_s1,ui\ui_icon_equipment,50,50,500,3700
af_atom,ui\ui_icon_equipment,50,50,400,3700
af_ball,ui\ui_icon_equipment,50,50,150,3650
af_baloon,ui\ui_icon_equipment,50,50,400,3500
af_bat,ui\ui_icon_equipment,50,50,200,3700
af_black,ui\ui_icon_equipment,50,50,0,3650
af_black_angel,ui\ui_icon_equipment,50,50,550,3650
af_black_spray,ui\ui_icon_equipment,50,50,900,3500
af_blood,ui\ui_icon_equipment,50,50,250,3500
af_bracelet,ui\ui_icon_equipment,50,50,350,3500
af_camelbak,ui\ui_icon_equipment,50,50,350,950
af_camelbak_up,ui\ui_icon_equipment,50,50,350,950
af_cell,ui\ui_icon_equipment,50,50,500,3700
af_chelust,ui\ui_icon_equipment,50,50,350,3700
af_cocoon,ui\ui_icon_equipment,50,50,550,3700
af_compass,ui\ui_icon_equipment,50,50,850,3550
af_cooler,ui\ui_icon_equipment,50,50,200,950
af_cooler_up,ui\ui_icon_equipment,50,50,200,950
af_cristall,ui\ui_icon_equipment,50,50,100,3500
af_cristall_flower,ui\ui_icon_equipment,50,50,750,3500
af_death_lamp,ui\ui_icon_equipment,50,50,1000,3550
af_dragon_eye,ui\ui_icon_equipment,50,50,50,3650
af_dummy_battery,ui\ui_icon_equipment,50,50,450,3550
af_dummy_dummy,ui\ui_icon_equipment,50,50,500,3550
af_dummy_glassbeads,ui\ui_icon_equipment,50,50,250,3550
af_ear,ui\ui_icon_equipment,50,50,300,3700
af_electra_flash,ui\ui_icon_equipment,50,50,650,3500
af_electra_moonlight,ui\ui_icon_equipment,50,50,850,3500
af_electra_sparkler,ui\ui_icon_equipment,50,50,500,3500
af_elektron,ui\ui_icon_equipment,50,50,400,3650
af_empty,ui\ui_icon_equipment,50,50,1100,3500
af_eye,ui\ui_icon_equipment,50,50,300,3550
af_fire,ui\ui_icon_equipment,50,50,350,3550
af_fire_loop,ui\ui_icon_equipment,50,50,100,3650
af_fireball,ui\ui_icon_equipment,50,50,150,3500
af_fonar,ui\ui_icon_equipment,50,50,200,3650
af_fountain,ui\ui_icon_equipment,50,50,0,3700
af_frames,ui\ui_icon_equipment,50,50,50,950
af_frames_up,ui\ui_icon_equipment,50,50,50,950
af_freon,ui\ui_icon_equipment,50,50,150,950
af_freon_up,ui\ui_icon_equipment,50,50,150,950
af_full_empty,ui\ui_icon_equipment,50,50,1150,3500
af_fuzz_kolobok,ui\ui_icon_equipment,50,50,700,3550
af_geliy,ui\ui_icon_equipment,50,50,0,0
af_generator,ui\ui_icon_equipment,50,50,500,3650
af_gimlet,ui\ui_icon_equipment,50,50,0,0
af_glass,ui\ui_icon_equipment,50,50,750,3550
af_gold_fish,ui\ui_icon_equipment,50,50,150,3550
af_grapes,ui\ui_icon_equipment,50,50,600,3650
af_gravi,ui\ui_icon_equipment,50,50,100,3550
af_grid,ui\ui_icon_equipment,50,50,100,950
af_grid_up,ui\ui_icon_equipment,50,50,100,950
af_iam,ui\ui_icon_equipment,50,50,150,1350
af_ice,ui\ui_icon_equipment,50,50,550,3550
af_itcher,ui\ui_icon_equipment,50,50,0,3500
af_kevlar,ui\ui_icon_equipment,50,50,250,950
af_kevlar_up,ui\ui_icon_equipment,50,50,250,950
af_kislushka,ui\ui_icon_equipment,50,50,850,3650
af_kogot,ui\ui_icon_equipment,50,50,450,3650
af_lighthouse,ui\ui_icon_equipment,50,50,450,3700
af_lobster_eyes,ui\ui_icon_equipment,50,50,800,3500
af_medallion,ui\ui_icon_equipment,50,50,750,3650
af_medusa,ui\ui_icon_equipment,50,50,1000,3500
af_mincer_meat,ui\ui_icon_equipment,50,50,300,3500
af_moh,ui\ui_icon_equipment,50,50,300,3650
af_monolith,ui\ui_icon_equipment,50,50,950,3550
af_night_star,ui\ui_icon_equipment,50,50,50,3550
af_oasis_heart,ui\ui_icon_equipment,50,50,900,3550
af_peas,ui\ui_icon_equipment,50,50,800,3650
af_pin,ui\ui_icon_equipment,50,50,50,3500
af_plates,ui\ui_icon_equipment,50,50,300,950
af_plates_up,ui\ui_icon_equipment,50,50,300,950
af_repei,ui\ui_icon_equipment,50,50,150,3700
af_ring,ui\ui_icon_equipment,50,50,600,3500
af_sandstone,ui\ui_icon_equipment,50,50,950,3650
af_serofim,ui\ui_icon_equipment,50,50,350,3650
af_signet,ui\ui_icon_equipment,50,50,100,3700
af_skull_miser,ui\ui_icon_equipment,50,50,650,3650
af_soul,ui\ui_icon_equipment,50,50,650,3550
af_spaika,ui\ui_icon_equipment,50,50,50,3700
af_sponge,ui\ui_icon_equipment,50,50,550,3500
af_star_phantom,ui\ui_icon_equipment,50,50,700,3650
af_sun,ui\ui_icon_equipment,50,50,250,3700
af_surge,ui\ui_icon_equipment,50,50,0,950
af_surge_up,ui\ui_icon_equipment,50,50,0,950
af_tapeworm,ui\ui_icon_equipment,50,50,250,3650
af_tlf_lost_soul,ui\ui_icon_equipment,50,50,650,3550
af_tlf_prometheus,ui\ui_icon_equipment,50,50,350,3550
af_vaselisk,ui\ui_icon_equipment,50,50,0,0
af_vyvert,ui\ui_icon_equipment,50,50,1050,3500
af_zhelch,ui\ui_icon_equipment,50,50,900,3650
aim_acro,ui\ui_icon_new_scopes_eft,50,50,100,100
aim_low,ui\ui_icon_bas,50,50,3900,100
aimpoint,ui\ui_icon_bas,50,50,4300,50
akvatab,ui\ui_tisk_meds,50,50,450,0
ammo_11.43x23_fmj,ui\grok_bo_ammo_icons.dds,100,50,2750,550
ammo_11.43x23_fmj_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,550
ammo_11.43x23_hydro,ui\grok_bo_ammo_icons.dds,100,50,2750,600
ammo_11.43x23_hydro_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,600
ammo_12.7x55_ap,ui\grok_bo_ammo_icons.dds,100,50,2750,1700
ammo_12.7x55_ap_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1700
ammo_12.7x55_fmj,ui\grok_bo_ammo_icons.dds,100,50,2750,1650
ammo_12.7x55_fmj_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1650
ammo_12x70_buck,ui\grok_bo_ammo_icons.dds,100,50,2750,1100
ammo_12x70_buck_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1100
ammo_12x70_buck_self,ui\grok_bo_ammo_icons.dds,100,50,2750,1100
ammo_12x76_bull,ui\grok_bo_ammo_icons.dds,100,50,2750,1200
ammo_12x76_dart,ui\grok_bo_ammo_icons.dds,100,50,2750,1200
ammo_12x76_dart_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1200
ammo_12x76_zhekan,ui\grok_bo_ammo_icons.dds,100,50,2750,1150
ammo_12x76_zhekan_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1150
ammo_20x70_buck,ui\grok_bo_ammo_icons.dds,100,50,2750,2450
ammo_23_eco,ui\grok_bo_ammo_icons.dds,100,50,2750,2350
ammo_23x75_barrikada,ui\grok_bo_ammo_icons.dds,100,50,2850,2350
ammo_23x75_shrapnel,ui\grok_bo_ammo_icons.dds,100,50,2950,2350
ammo_338_federal,ui\grok_bo_ammo_icons.dds,100,50,2750,2300
ammo_357_hp_mag,ui\grok_bo_ammo_icons.dds,100,50,2750,1850
ammo_357_hp_mag_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1850
ammo_4.6x30_fmj,ui\grok_bo_ammo_icons.dds,100,50,2750,1800
ammo_5.45x39_ap,ui\grok_bo_ammo_icons.dds,100,50,2750,750
ammo_5.45x39_ap_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,750
ammo_5.45x39_ep,ui\grok_bo_ammo_icons.dds,100,50,3050,700
ammo_5.45x39_ep_bad,ui\grok_bo_ammo_icons.dds,100,50,3150,700
ammo_5.45x39_fmj,ui\grok_bo_ammo_icons.dds,100,50,2750,700
ammo_5.45x39_fmj_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,700
ammo_5.56x45_ap,ui\grok_bo_ammo_icons.dds,100,50,2750,850
ammo_5.56x45_ap_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,850
ammo_5.56x45_fmj,ui\grok_bo_ammo_icons.dds,100,50,2750,800
ammo_5.56x45_fmj_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,800
ammo_5.56x45_ss190,ui\grok_bo_ammo_icons.dds,100,50,3050,850
ammo_5.56x45_ss190_bad,ui\grok_bo_ammo_icons.dds,100,50,3150,850
ammo_5.7x28_ss190,ui\grok_bo_ammo_icons.dds,100,50,2750,350
ammo_5.7x28_ss190_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,350
ammo_5.7x28_ss195,ui\grok_bo_ammo_icons.dds,100,50,2750,300
ammo_5.7x28_ss195_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,300
ammo_50_bmg,ui\grok_bo_ammo_icons.dds,100,50,2750,1900
ammo_7.62x25_p,ui\grok_bo_ammo_icons.dds,100,50,2900,400
ammo_7.62x25_p_bad,ui\grok_bo_ammo_icons.dds,100,50,3000,400
ammo_7.62x25_ps,ui\grok_bo_ammo_icons.dds,100,50,2900,450
ammo_7.62x25_ps_bad,ui\grok_bo_ammo_icons.dds,100,50,3000,450
ammo_7.62x39_ap,ui\grok_bo_ammo_icons.dds,100,50,2750,1300
ammo_7.62x39_ap_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1300
ammo_7.62x39_fmj,ui\grok_bo_ammo_icons.dds,100,50,2750,1250
ammo_7.62x39_fmj_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1250
ammo_7.62x51_ap,ui\grok_bo_ammo_icons.dds,100,50,2750,1500
ammo_7.62x51_ap_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1500
ammo_7.62x51_fmj,ui\grok_bo_ammo_icons.dds,100,50,2750,1450
ammo_7.62x51_fmj_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1450
ammo_7.62x54_7h1,ui\grok_bo_ammo_icons.dds,100,50,2750,950
ammo_7.62x54_7h14,ui\grok_bo_ammo_icons.dds,100,50,2750,1550
ammo_7.62x54_7h14_bad,ui\grok_bo_ammo_icons.dds,100,50,2850,1550
