~,st_class,st_ui_dbg_spawn_type,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,st_data_export_max_uses
0kp2,II_FOOD,w_misc,st_addon_scope_0kp2,st_addon_scope_0kp2_descr,0.27,8200,
0kp2_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.27,8200,
1p29,II_FOOD,w_misc,st_addon_scope_1p29,st_addon_scope_1p29_descr,0.80,5960,
1p29_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.80,5960,
1p59,II_FOOD,w_misc,st_addon_scope_1p59,st_addon_scope_1p59_descr,0.94,21000,
1p59_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.94,21000,
1p63,II_FOOD,w_misc,st_addon_scope_pk1_obzor,st_addon_scope_pk1_obzor_descr,0.60,10000,
1p63_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.60,10000,
1p76,II_FOOD,w_misc,st_addon_scope_1p76,st_addon_scope_1p76_descr,0.50,3280,
1p76_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.50,3280,
1p78gs,II_FOOD,w_misc,st_addon_scope_1p78gs,st_addon_scope_1p78gs_descr,0.70,8000,
1p78gs_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.70,8000,
1p87,II_FOOD,w_misc,st_addon_scope_1p87,st_addon_scope_1p87_descr,0.30,22500,
1p87_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.30,22500,
1pn93,II_FOOD,w_misc,st_addon_scope_1pn93,st_addon_scope_1pn93_descr,1.25,12280,
1pn93_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,1.25,12280,
1pn93n2_1gs,II_FOOD,w_misc,st_addon_scope_1pn93n2_1gs,st_addon_scope_1pn93n2_1gs_descr,1.50,97490,
1pn93n2_1gs_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,1.50,97490,
226sig_kit,II_FOOD,w_misc,st_addon_scope_226sig_kit,st_addon_scope_226sig_kit_descr,0.35,19950,
23_up,II_FOOD,w_misc,st_addon_scope_23_up,st_addon_scope_23_up_descr,0.60,8950,
5c_tik,II_FOOD,w_misc,st_addon_scope_5c_tik,st_addon_scope_5c_tik_descr,2.15,33150,
ac10632,II_FOOD,w_misc,st_addon_scope_ac10632,st_addon_scope_ac10632_descr,0.12,4380,
ac10632_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.12,4380,
ac11090,II_FOOD,w_misc,st_addon_scope_ac11090,st_addon_scope_ac11090_descr,0.35,4380,
ac11090_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.35,4380,
acog,II_FOOD,w_misc,st_addon_scope_acog,st_addon_scope_acog_descr,0.51,10500,
acog_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.51,10500,
addon,II_FOOD,w_misc,st_antirad,st_antirad_descr,0.00,0,
ado,II_FOOD,w_misc,st_addon_scope_ncstar_ado,st_addon_scope_ncstar_ado_descr,0.60,45000,
ado_x,II_FOOD,w_misc,st_addon_scope_dummy,st_addon_scope_dummy_descr,0.60,45000,
adrenalin,II_FOOD,i_medical,st_adrenalin,st_adrenalin_descr,0.05,6520,
af_aac,II_ATTCH,i_arty_cont,st_af_aac_name,st_af_aac_descr,0.30,19410,
af_aam,II_ATTCH,i_arty_cont,st_af_aam_name,st_af_aam_descr,0.30,31485,
af_ah_e1,SCRPTART,i_arty,st_af_ah_e1,st_af_ah_e1_descr,2.00,4000,
af_ah_e2,SCRPTART,i_arty,st_af_ah_e2,st_af_ah_e2_descr,1.50,4000,
af_ah_f1,SCRPTART,i_arty,st_af_ah_f1,st_af_ah_f1_descr,2.70,149000,
af_ah_g1,SCRPTART,i_arty,st_af_ah_g1,st_af_ah_g1_descr,2.00,4000,
af_ah_g2,SCRPTART,i_arty,st_af_ah_g2,st_af_ah_g2_descr,2.30,4000,
af_ah_h1,SCRPTART,i_arty,st_af_ah_h1,st_af_ah_h1_descr,0.80,4000,
af_ah_h2,SCRPTART,i_arty,st_af_ah_h2,st_af_ah_h2_descr,1.00,4000,
af_ah_o1,SCRPTART,i_arty,st_af_ah_o1,st_af_ah_o1_descr,0.80,4000,
af_ah_o2,SCRPTART,i_arty,st_af_ah_o2,st_af_ah_o2_descr,1.00,4000,
af_ah_r1,SCRPTART,i_arty,st_af_ah_r1,st_af_ah_r1_descr,0.60,4000,
af_ah_r2,SCRPTART,i_arty,st_af_ah_r2,st_af_ah_r2_descr,1.00,4000,
af_ah_r3,SCRPTART,i_arty,st_af_ah_r3,st_af_ah_r3_descr,1.20,4000,
af_ah_r4,SCRPTART,i_arty,st_af_ah_r4,st_af_ah_r4_descr,3.00,4000,
af_ah_r5,SCRPTART,i_arty,st_af_ah_r5,st_af_ah_r5_descr,3.00,4000,
af_ah_s1,SCRPTART,i_arty,st_af_ah_s1,st_af_ah_s1_descr,5.00,4000,
af_ameba_mica,ARTEFACT,i_arty,af_ameba_mica,st_af_ameba_mica_descr,0.40,67760,
af_ameba_slime,ARTEFACT,i_arty,af_ameba_slime,st_af_ameba_slime_descr,0.41,33780,
af_ameba_slug,ARTEFACT,i_arty,af_ameba_slug,st_af_ameba_slug_descr,0.41,45455,
af_atom,ARTEFACT,i_arty_junk,st_af_atom_name,st_af_atom_descr,0.22,2800,
af_ball,ARTEFACT,i_arty_junk,st_af_ball_name,st_af_ball_descr,0.19,2800,
af_baloon,ARTEFACT,i_arty,st_af_baloon_name,st_af_baloon_descr,0.72,94800,
af_baloon_af_aac,SCRPTART,i_arty_cont,st_af_baloon_af_aac_name,st_af_baloon_af_aac_descr,1.05,0,
af_baloon_af_aam,SCRPTART,i_arty_cont,st_af_baloon_af_aam_name,st_af_baloon_af_aam_descr,1.02,0,
af_baloon_af_iam,SCRPTART,i_arty_cont,st_af_baloon_af_iam_name,st_af_baloon_af_iam_descr,1.02,0,
af_baloon_lead_box,II_ATTCH,i_arty_cont,st_af_baloon_lead_box_name,st_af_baloon_lead_box_descr,1.02,0,
af_bat,ARTEFACT,i_arty_junk,st_af_bat_name,st_af_bat_descr,0.60,8600,
af_black,ARTEFACT,i_arty_junk,st_af_black_name,st_af_black_descr,0.45,5400,
af_black_angel,ARTEFACT,i_arty_junk,st_af_black_angel_name,st_af_black_angel_descr,1.28,6700,
af_black_spray,ARTEFACT,i_arty,st_af_black_spray_name,st_af_black_spray_descr,0.22,110640,
af_black_spray_af_aac,SCRPTART,i_arty_cont,st_af_black_spray_af_aac_name,st_af_black_spray_af_aac_descr,0.52,0,
af_black_spray_af_aam,SCRPTART,i_arty_cont,st_af_black_spray_af_aam_name,st_af_black_spray_af_aam_descr,0.52,0,
af_black_spray_af_iam,SCRPTART,i_arty_cont,st_af_black_spray_af_iam_name,st_af_black_spray_af_iam_descr,0.52,0,
af_black_spray_lead_box,II_ATTCH,i_arty_cont,st_af_black_spray_lead_box_name,st_af_black_spray_lead_box_descr,0.52,0,
af_blood,ARTEFACT,i_arty,st_af_blood_name,st_af_blood_descr,0.30,44400,
af_blood_af_aac,SCRPTART,i_arty_cont,st_af_blood_af_aac_name,st_af_blood_af_aac_descr,0.60,0,
af_blood_af_aam,SCRPTART,i_arty_cont,st_af_blood_af_aam_name,st_af_blood_af_aam_descr,0.60,0,
af_blood_af_iam,SCRPTART,i_arty_cont,st_af_blood_af_iam_name,st_af_blood_af_iam_descr,0.60,0,
af_blood_lead_box,II_ATTCH,i_arty_cont,st_af_blood_lead_box_name,st_af_blood_lead_box_descr,0.60,0,
af_bracelet,ARTEFACT,i_arty,st_af_bracelet_name,st_af_bracelet_descr,0.25,75880,
af_bracelet_af_aac,SCRPTART,i_arty_cont,st_af_bracelet_af_aac_name,st_af_bracelet_af_aac_descr,0.55,0,
af_bracelet_af_aam,SCRPTART,i_arty_cont,st_af_bracelet_af_aam_name,st_af_bracelet_af_aam_descr,0.55,0,
af_bracelet_af_iam,SCRPTART,i_arty_cont,st_af_bracelet_af_iam_name,st_af_bracelet_af_iam_descr,0.55,0,
af_bracelet_lead_box,II_ATTCH,i_arty_cont,st_af_bracelet_lead_box_name,st_af_bracelet_lead_box_descr,0.55,0,
af_camelbak,SCRPTART,i_attach,st_af_camelbak_name,st_af_camelbak_descr,0.31,8500,
af_camelbak_up,SCRPTART,i_attach,st_af_camelbak_up_name,st_af_camelbak_up_descr,1.53,17000,
af_cell,ARTEFACT,i_arty_junk,st_af_cell_name,st_af_cell_descr,0.60,6000,
af_chelust,ARTEFACT,i_arty_junk,st_af_chelust_name,st_af_chelust_descr,1.90,6400,
af_cocoon,ARTEFACT,i_arty_junk,st_af_cocoon_name,st_af_cocoon_descr,0.34,4900,
af_compass,SCRPTART,i_arty,st_af_compass_name,st_af_compass_descr,1.89,149000,
af_compass_af_aac,SCRPTART,i_arty_cont,st_af_compass_af_aac_name,st_af_compass_af_aac_descr,2.19,0,
af_compass_af_aam,SCRPTART,i_arty_cont,st_af_compass_af_aam_name,st_af_compass_af_aam_descr,2.19,0,
af_compass_af_iam,SCRPTART,i_arty_cont,st_af_compass_af_iam_name,st_af_compass_af_iam_descr,2.19,0,
af_compass_lead_box,II_ATTCH,i_arty_cont,st_af_compass_lead_box_name,st_af_compass_lead_box_descr,2.19,0,
af_cooler,SCRPTART,i_attach,st_af_cooler_name,st_af_cooler_descr,0.98,18420,
af_cooler_up,SCRPTART,i_attach,st_af_cooler_up_name,st_af_cooler_up_descr,3.56,36840,
af_cristall,ARTEFACT,i_arty,st_af_cristall_name,st_af_cristall_descr,0.68,63600,
af_cristall_af_aac,SCRPTART,i_arty_cont,st_af_cristall_af_aac_name,st_af_cristall_af_aac_descr,0.98,0,
af_cristall_af_aam,SCRPTART,i_arty_cont,st_af_cristall_af_aam_name,st_af_cristall_af_aam_descr,0.98,0,
af_cristall_af_iam,SCRPTART,i_arty_cont,st_af_cristall_af_iam_name,st_af_cristall_af_iam_descr,0.98,0,
af_cristall_flower,ARTEFACT,i_arty,st_af_cristall_flower_name,st_af_cristall_flower_descr,1.27,45600,
af_cristall_flower_af_aac,SCRPTART,i_arty_cont,st_af_cristall_flower_af_aac_name,st_af_cristall_flower_af_aac_descr,1.57,0,
af_cristall_flower_af_aam,SCRPTART,i_arty_cont,st_af_cristall_flower_af_aam_name,st_af_cristall_flower_af_aam_descr,1.57,0,
af_cristall_flower_af_iam,SCRPTART,i_arty_cont,st_af_cristall_flower_af_iam_name,st_af_cristall_flower_af_iam_descr,1.57,0,
af_cristall_flower_lead_box,II_ATTCH,i_arty_cont,st_af_cristall_flower_lead_box_name,st_af_cristall_flower_lead_box_descr,1.57,0,
af_cristall_lead_box,II_ATTCH,i_arty_cont,st_af_cristall_lead_box_name,st_af_cristall_lead_box_descr,0.98,0,
af_death_lamp,ARTEFACT,i_arty,st_af_death_lamp_name,st_af_death_lamp_descr,6.66,150000,
af_death_lamp_af_aac,SCRPTART,i_arty_cont,st_af_death_lamp_af_aac_name,st_af_death_lamp_af_aac_descr,10.57,0,
af_death_lamp_af_aam,SCRPTART,i_arty_cont,st_af_death_lamp_af_aam_name,st_af_death_lamp_af_aam_descr,10.31,0,
af_death_lamp_af_iam,SCRPTART,i_arty_cont,st_af_death_lamp_af_iam_name,st_af_death_lamp_af_iam_descr,10.82,0,
af_death_lamp_lead_box,SCRPTART,i_arty_cont,st_af_death_lamp_lead_box_name,st_af_death_lamp_lead_box_descr,10.24,0,
af_dragon_eye,ARTEFACT,i_arty_junk,st_af_dragon_eye_name,st_af_dragon_eye_descr,0.38,3900,
af_drops,ARTEFACT,i_arty,af_drops,st_af-drops_descr,0.40,30660,
af_dummy_battery,ARTEFACT,i_arty,st_af_dummy_battery_name,st_af_dummy_battery_descr,0.09,54400,
af_dummy_battery_af_aac,SCRPTART,i_arty_cont,st_af_dummy_battery_af_aac_name,st_af_dummy_battery_af_aac_descr,0.39,0,
af_dummy_battery_af_aam,SCRPTART,i_arty_cont,st_af_dummy_battery_af_aam_name,st_af_dummy_battery_af_aam_descr,0.39,0,
af_dummy_battery_af_iam,SCRPTART,i_arty_cont,st_af_dummy_battery_af_iam_name,st_af_dummy_battery_af_iam_descr,0.39,0,
af_dummy_battery_lead_box,II_ATTCH,i_arty_cont,st_af_dummy_battery_lead_box_name,st_af_dummy_battery_lead_box_descr,0.39,0,
af_dummy_dummy,ARTEFACT,i_arty,st_af_dummy_dummy_name,st_af_dummy_dummy_descr,0.09,74400,
af_dummy_dummy_af_aac,SCRPTART,i_arty_cont,st_af_dummy_dummy_af_aac_name,st_af_dummy_dummy_af_aac_descr,0.39,0,
af_dummy_dummy_af_aam,SCRPTART,i_arty_cont,st_af_dummy_dummy_af_aam_name,st_af_dummy_dummy_af_aam_descr,0.39,0,
af_dummy_dummy_af_iam,SCRPTART,i_arty_cont,st_af_dummy_dummy_af_iam_name,st_af_dummy_dummy_af_iam_descr,0.39,0,
af_dummy_dummy_lead_box,II_ATTCH,i_arty_cont,st_af_dummy_dummy_lead_box_name,st_af_dummy_dummy_lead_box_descr,0.39,0,
af_dummy_glassbeads,ARTEFACT,i_arty,st_af_dummy_glassbeads_name,st_af_dummy_glassbeads_descr,0.86,49600,
af_dummy_glassbeads_af_aac,SCRPTART,i_arty_cont,st_af_dummy_glassbeads_af_aac_name,st_af_dummy_glassbeads_af_aac_descr,1.16,0,
af_dummy_glassbeads_af_aam,SCRPTART,i_arty_cont,st_af_dummy_glassbeads_af_aam_name,st_af_dummy_glassbeads_af_aam_descr,1.16,0,
af_dummy_glassbeads_af_iam,SCRPTART,i_arty_cont,st_af_dummy_glassbeads_af_iam_name,st_af_dummy_glassbeads_af_iam_descr,1.16,0,
af_dummy_glassbeads_lead_box,II_ATTCH,i_arty_cont,st_af_dummy_glassbeads_lead_box_name,st_af_dummy_glassbeads_lead_box_descr,1.16,0,
af_dummy_pellicle,ARTEFACT,i_arty,af_dummy_pellicle,st_af_dummy_pellicle_descr,0.40,90945,
