~,ui_st_community,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,ui_mcm_menu_exo,ui_inv_ap_res,ui_inv_outfit_fire_wound_protection,ui_inv_outfit_wound_protection,ui_inv_outfit_burn_protection,ui_inv_outfit_shock_protection,ui_inv_outfit_chemical_burn_protection,ui_inv_outfit_radiation_protection,ui_inv_outfit_telepatic_protection,ui_inv_outfit_strike_protection,ui_inv_outfit_explosion_protection,ui_inv_outfit_artefact_count,st_data_export_outfit_artefact_count_max,ui_inv_outfit_additional_weight,ui_inv_outfit_speed
army_nosorog_outfit,army,army_nosorog_outfit_name,nosorog_outfit_description,40.00,148000,E,Y,62,34%,53%,11%,1%,13%,39%,26%,50%,43%,3,5,67,98%
bandit_exo_outfit,bandit,bandit_exo_outfit_name,bandit_exo_outfit_description,25.00,100220,E,Y,55,34%,45%,41%,7%,3%,29%,12%,31%,39%,2,4,66,95%
bandit_exolight_outfit,bandit,bandit_exolight_outfit_name,bandit_exolight_outfit_description,20.00,63180,H,N,49,32%,45%,41%,7%,3%,29%,12%,31%,34%,2,3,20,90%
cs_exo_outfit,csky,cs_exo_outfit_name,cs_exo_outfit_description,19.00,120000,E,Y,55,34%,45%,8%,12%,1%,34%,11%,28%,39%,3,5,60,95%
cs_exolight_outfit,csky,cs_exolight_outfit_name,cs_exolight_outfit_description,18.00,70625,H,N,49,32%,45%,8%,12%,1%,34%,11%,28%,34%,3,4,18,90%
cs_heavy_outfit,csky,csky_heavy_outfit_name,csky_heavy_outfit_description,16.00,56280,H,N,40,26%,60%,16%,13%,3%,9%,4%,27%,22%,2,3,16,100%
cs_scientific_outfit_good,csky,cs_scientific_outfit_good_name,cs_scientific_outfit_good_description,9.10,103400,H,N,41,13%,18%,11%,21%,15%,45%,26%,20%,12%,3,5,20,100%
cs_stalker_proto_exo_outfit,csky,cs_stalker_proto_exo_outfit_name,cs_stalker_proto_exo_outfit_description,25.00,69995,H,Y,30,25%,25%,31%,10%,10%,8%,0%,14%,10%,4,6,60,95%
dolg_exo_outfit,dolg,dolg_exo_outfit_name,dolg_exo_outfit_description,30.00,101080,E,Y,55,34%,42%,21%,14%,6%,24%,11%,36%,37%,3,5,65,95%
dolg_exolight_outfit,dolg,dolg_exolight_outfit_name,dolg_exolight_outfit_description,19.00,70580,H,N,49,32%,42%,21%,14%,6%,24%,11%,36%,32%,2,3,19,90%
