~, Ui_st_community, Pda_encyclopedia_name, St_prop_weight, St_upgr_cost, Ui_mm_repair, Ui_mcm_menu_exo, Ui_inv_ap_res, Ui_inv_outfit_fire_wound_protection, Ui_inv_outfit_wound_protection, Ui_inv_outfit_burn_protection, Ui_inv_outfit_shock_protection, Ui_inv_outfit_chemical_burn_protection, Ui_inv_outfit_radiation_protection, Ui_inv_outfit_telepatic_protection, Ui_inv_outfit_strike_protection, Ui_inv_outfit_explosion_protection, Ui_inv_outfit_artefact_count, St_data_export_outfit_artefact_count_max, Ui_inv_outfit_additional_weight, Ui_inv_outfit_speed
merc_sunset_outfit,killer,merc_sunset_outfit_name,11,47000,M,N,38,14%,28%,13%,5%,4%,6%,0%,14%,19%,2,3,15,105%
trenchcoat_green_outfit,st_data_export_unknown,trenchcoat_green_outfit_name,5,45370,M,N,32,14%,27%,16%,5%,6%,7%,6%,16%,23%,2,2,6,107%
merc_coyote_outfit,killer,merc_coyote_outfit_name,12,51500,M,N,38,14%,21%,4%,7%,4%,7%,0%,13%,16%,3,4,27,100%
ecolog_outfit_red,ecolog,st_ecologist_outfit_red_name,7,135720,M,N,7,9%,29%,100%,21%,18%,39%,23%,12%,14%,4,6,15,100%
svoboda_heavy_outfit_2,freedom,svoboda_heavy_outfit_2_name,11,56450,M,N,36,14%,16%,12%,5%,6%,0%,0%,12%,14%,2,2,10,105%
monolith_trenchcoat_outfit,monolith,monolith_trenchcoat_outfit_name,6,44670,M,N,32,14%,28%,18%,6%,6%,7%,7%,20%,23%,3,5,6,107%
greh_ps5_outfit,greh,greh_ps5_outfit_name,10,47280,M,N,36,14%,16%,35%,12%,4%,0%,0%,12%,17%,2,2,9,105%
ghillie_outfit,st_data_export_unknown,ghillie_outfit_name,9,128710,M,N,38,7%,32%,5%,13%,8%,19%,2%,3%,10%,4,5,14,100%
bandit_scientific_dark_outfit,bandit,bandit_scientific_dark_outfit_name,5,64000,M,N,36,13%,11%,50%,8%,18%,30%,18%,12%,10%,3,5,23,100%
cs_medium_outfit,csky,csky_medium_outfit_name,12,47120,M,N,39,25%,21%,15%,3%,2%,0%,0%,17%,14%,2,2,14,100%
isg_scientific_outfit,isg,isg_scientific_outfit_name,7,56200,M,N,38,17%,25%,16%,19%,24%,34%,26%,17%,14%,3,5,19,100%
bandit_ps5_outfit,bandit,bandit_ps5_outfit_name,11,50280,M,N,36,14%,16%,10%,8%,4%,0%,0%,6%,14%,2,4,10,105%
bandit_sun_outfit,bandit,bandit_sun_outfit_name,16,37020,M,N,35,9%,15%,15%,13%,4%,5%,0%,6%,7%,2,4,16,105%
nbc_outfit,stalker,nbc_outfit_name,9,53280,M,N,32,9%,15%,15%,13%,12%,28%,0%,6%,7%,3,4,21,105%
scientific_outfit,stalker,scientific_outfit_name,9,58400,M,N,36,13%,26%,15%,18%,15%,31%,21%,12%,15%,3,5,18,100%
specops_merc_outfit,killer,specops_merc_outfit_name,13,49600,M,N,39,20%,46%,8%,4%,4%,0%,0%,19%,23%,2,4,19,100%
wastelander_outfit,stalker,wastelander_outfit_name,4,45000,M,N,39,17%,21%,41%,14%,7%,29%,19%,17%,14%,4,5,12,100%
dolg_scientific_wood_outfit,dolg,dolg_scientific_wood_outfit_name,5,78000,M,N,36,13%,27%,50%,7%,19%,39%,26%,15%,12%,3,5,20,100%
nbc_dolg_outfit,dolg,nbc_dolg_outfit_name,14,59280,M,N,32,9%,21%,10%,6%,12%,28%,0%,17%,19%,3,3,24,105%
merc_outfit,killer,merc_outfit_name,9,38280,M,N,38,13%,21%,3%,6%,3%,2%,0%,12%,16%,2,3,13,105%
ecolog_guard_outfit,ecolog,ecologist_guard_outfit_name,5,52080,M,N,34,12%,25%,31%,12%,8%,8%,0%,17%,11%,2,3,7,107%
cs_scientific_outfit,csky,cs_scientific_outfit_name,10,54100,M,N,36,13%,15%,10%,17%,12%,38%,20%,12%,10%,3,5,19,100%
isg_lcs_outfit,isg,isg_lcs_outfit_name,9,39280,M,N,39,13%,14%,4%,10%,3%,6%,0%,12%,10%,2,3,12,105%
monolith_scientific_light_outfit,monolith,monolith_scientific_light_outfit_name,5,68000,M,N,36,13%,11%,50%,8%,19%,30%,18%,12%,10%,3,5,22,100%
merc_sun_outfit,killer,merc_sun_outfit_name,12,45280,M,N,35,9%,22%,21%,10%,6%,7%,0%,5%,11%,2,3,12,105%
merc_scientific_armored_outfit,killer,merc_scientific_armored_outfit_name,11,72000,M,N,47,17%,23%,35%,5%,16%,29%,12%,12%,14%,3,5,22.700000762939,100%
isg_outfit,isg,isg_outfit_name,10,44280,M,N,36,9%,22%,3%,6%,3%,2%,0%,14%,14%,2,4,10,105%
svoboda_scientific_outfit,freedom,svoboda_scientific_outfit_name,8,61400,M,N,36,13%,25%,16%,19%,16%,28%,20%,14%,14%,3,5,19,100%
ecolog_outfit_white,ecolog,st_ecologist_outfit_white_name,5,102780,M,N,7,9%,12%,67%,36%,18%,39%,55%,23%,3%,4,6,12,100%
specops_outfit,army,specops_outfit_name,12,44600,M,N,39,20%,46%,8%,4%,3%,0%,0%,12%,23%,2,3,16,100%
ecolog_outfit_green,ecolog,st_ecologist_outfit_grn_name,6,121480,M,N,7,9%,18%,76%,27%,33%,39%,23%,12%,14%,4,6,13,100%
trenchcoat_freedom_brown_outfit,freedom,trenchcoat_freedom_brown_outfit_name,15,44670,M,N,32,14%,27%,14%,5%,5%,7%,0%,14%,23%,2,4,15,107%
stalker_tigerstripe_outfit,stalker,stalker_tigerstripe_outfit_name,9,38900,M,N,34,13%,30%,15%,7%,4%,7%,0%,14%,16%,2,3,6,107%
travel_outfit,stalker,travel_outfit_name,6,59700,M,N,38,7%,42%,35%,8%,16%,24%,6%,7%,10%,5,5,18,100%
ecolog_outfit_blue,ecolog,st_ecologist_outfit_blue_name,6,112780,M,N,7,9%,18%,67%,51%,18%,39%,38%,12%,14%,4,6,13,100%
ecolog_outfit_orange,ecolog,st_ecologist_outfit_orange_name,5,96500,M,N,7,10%,18%,57%,27%,16%,37%,23%,12%,5%,5,7,12,100%
svoboda_light_outfit,freedom,svoboda_light_outfit_name,10,44700,M,N,35,9%,23%,10%,3%,16%,5%,0%,12%,10%,2,3,10,105%
dolg_voin_outfit,dolg,dolg_voin_outfit_name,7,51700,M,N,39,25%,24%,35%,9%,6%,0%,0%,17%,17%,2,3,10,105%
nbc_merc_outfit,killer,nbc_merc_outfit_name,13,58280,M,N,32,9%,21%,4%,6%,12%,28%,0%,18%,19%,3,3,27,105%
trenchcoat_brown_outfit,st_data_export_unknown,trenchcoat_brown_outfit_name,6,44670,M,N,32,14%,27%,16%,7%,6%,7%,7%,17%,23%,2,2,6,107%
greh_trenchcoat_outfit,greh,greh_trenchcoat_outfit_name,6,44670,M,N,32,14%,28%,18%,6%,6%,7%,7%,13%,23%,3,3,6,107%
isg_camo_outfit,isg,isg_merc_outfit_name,11,48280,M,N,36,14%,15%,31%,6%,15%,6%,0%,6%,19%,2,3,11,105%
bandit_scientific_outfit,bandit,bandit_scientific_outfit_name,11,58500,M,N,36,13%,26%,13%,23%,18%,26%,18%,12%,15%,3,5,19,100%
merc_scientific_outfit,killer,merc_scientific_outfit_name,10,59600,M,N,36,13%,23%,13%,21%,17%,32%,16%,14%,10%,3,5,21,100%
trenchcoat_dolg_brown_outfit,dolg,trenchcoat_dolg_brown_outfit_name,15,44670,M,N,32,14%,27%,14%,5%,5%,7%,0%,12%,23%,2,2,15,107%
specops_dolg_outfit,dolg,specops_dolg_outfit_name,12,52600,M,N,39,20%,46%,6%,5%,4%,0%,0%,13%,23%,2,2,17,100%
isg_lcs_urban_outfit,isg,isg_lcs_urban_outfit_name,13,45280,M,N,39,13%,21%,4%,7%,2%,2%,0%,17%,19%,2,3,12,100%
renegade_scientific_outfit,renegade,renegade_scientific_outfit_name,6,59000,M,N,36,13%,21%,31%,8%,18%,30%,18%,16%,14%,3,5,20,100%
nbc_freedom_outfit,freedom,nbc_freedom_outfit_name,11,58700,M,N,32,9%,21%,10%,3%,12%,28%,0%,12%,10%,3,5,25,105%
dolg_scout_outfit,dolg,dolg_scout_outfit_name,5,42500,M,N,36,14%,14%,21%,10%,4%,0%,0%,6%,10%,2,4,6,110%
cs_stalker_outfit,csky,cs_stalker_outfit_name,7,39995,M,N,34,12%,25%,31%,10%,10%,6%,0%,14%,10%,2,3,8,107%
greh_armored_camo_outfit,greh,greh_armored_camo_outfit_name,13,46380,M,N,38,17%,21%,25%,14%,4%,8%,0%,12%,19%,3,5,19,100%
dolg_red_outfit,dolg,dolg_red_outfit_name,11,55000,M,N,36,14%,24%,25%,11%,6%,0%,0%,23%,19%,2,2,8,105%
svoboda_heavy_outfit,freedom,svoboda_heavy_outfit_name,16,51300,M,N,39,20%,46%,13%,6%,6%,0%,0%,21%,21%,3,3,20,100%
monolith_outfit,monolith,monolith_outfit_name,8,45120,M,N,35,9%,14%,4%,2%,6%,10%,0%,6%,9%,2,4,10,105%
monolith_scientific_outfit,monolith,monolith_scientific_outfit_name,9,56400,M,N,36,13%,26%,16%,19%,15%,35%,18%,12%,14%,3,5,18,100%
renegademerc_outfit,renegade,renegademerc_outfit_name,10,41340,M,N,38,13%,28%,2%,4%,3%,2%,0%,17%,16%,2,3,11,105%
specops_bandit_outfit,bandit,specops_bandit_outfit_name,13,48600,M,N,39,20%,46%,6%,4%,4%,0%,0%,9%,19%,2,3,18,100%
greh_armored_outfit,greh,greh_armored_outfit_name,10,41280,M,N,38,14%,21%,13%,10%,4%,7%,0%,12%,19%,2,3,13,105%
monolith_nbc_outfit,monolith,monolith_nbc_outfit_name,10,58120,M,N,32,9%,14%,4%,2%,12%,28%,0%,6%,9%,3,5,25,105%
ecolog_outfit_yello,ecolog,st_ecologist_outfit_yello_name,5,106000,M,N,7,9%,12%,57%,25%,25%,64%,23%,14%,3%,4,6,12,100%
stalker_graphite_outfit,stalker,stalker_graphite_outfit_name,6,37000,M,N,34,13%,25%,6%,20%,2%,7%,14%,14%,12%,2,3,6,107%
dolg_scientific_red_outfit,dolg,dolg_scientific_red_outfit_name,5,68000,M,N,36,17%,27%,41%,6%,18%,24%,21%,19%,14%,3,5,20,100%
nomad_outfit,stalker,nomad_outfit_name,5,67000,M,N,39,14%,35%,37%,8%,3%,19%,7%,14%,23%,3,4,14.199999809265,105%
stalker_drought_outfit,stalker,stalker_drought_outfit_name,8,47500,M,N,34,13%,25%,15%,7%,4%,7%,0%,14%,12%,2,3,7,107%
bandit_nbc_outfit,bandit,bandit_nbc_outfit_name,17,56340,M,N,32,9%,15%,15%,13%,12%,28%,0%,6%,7%,3,5,31,105%
dolg_outfit,dolg,dolg_outfit_name,11,46280,M,N,36,14%,18%,10%,6%,3%,0%,0%,17%,19%,2,2,9,105%
dolg_scientific_outfit,dolg,dolg_scientific_outfit_name,10,62400,M,N,36,13%,26%,15%,19%,14%,31%,18%,17%,15%,3,5,20,100%
merc_jackal_outfit,killer,merc_jackal_outfit_name,7,43500,M,N,38,14%,14%,4%,7%,4%,7%,0%,9%,16%,2,3,19,105%
cs_nbc_outfit,csky,cs_nbc_outfit_name,10,53995,M,N,32,9%,15%,31%,10%,12%,28%,0%,14%,10%,3,4,23,105%
stalker_bear_outfit,stalker,stalker_bear_outfit_name,7,36900,M,N,34,13%,25%,45%,2%,4%,7%,0%,14%,12%,2,3,6,107%
