~, St_ui_dbg_spawn_type, Pda_encyclopedia_name, Army, Bandit, Csky, Dolg, Ecolog, Freedom, Greh, Isg, Killer, Monolith, Renegade, Stalker, Zombied
wpn_sks_b,st_data_export_weapon_kind_sniper,st_wpn_sks_b,"st_rank_novice, st_rank_trainee","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_trainee","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_veteran","st_rank_any, st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_toz106_m1,st_data_export_weapon_kind_shotgun,st_wpn_toz106_m1,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_trainee",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_any, st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_vz61,st_data_export_weapon_kind_smg,st_wpn_vz61,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_trainee","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee","st_rank_any, st_rank_novice, st_rank_trainee"
wpn_toz106,st_data_export_weapon_kind_shotgun,st_wpn_toz106,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional",,,,,,,,,,,
wpn_desert_eagle,st_data_export_weapon_kind_pistol,st_wpn_desert_eagle,,,"st_rank_novice",,"st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper",,,
wpn_spas12,st_data_export_weapon_kind_shotgun,st_wpn_spas12_new,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,
wpn_sr25,st_data_export_weapon_kind_sniper,st_wpn_sr25,,,,,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_master, st_rank_legend, st_rank_rg6, st_rank_gauss, st_rank_sniper",,,
wpn_sr1m,st_data_export_weapon_kind_pistol,st_wpn_sr1m,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_sniper","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_any, st_rank_novice, st_rank_trainee"
wpn_m249,st_data_export_weapon_kind_rifle,st_wpn_m249,,,"st_rank_master, st_rank_legend",,"st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_legend",,,
wpn_vintorez_isg,st_data_export_weapon_kind_rifle,st_wpn_vintorez_isg,,,,,,,"st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_legend",,,
wpn_ak105,st_data_export_weapon_kind_rifle,st_wpn_ak105,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_usp_tac_45,st_data_export_weapon_kind_pistol,st_wpn_usp_tac,,,,,,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,,
wpn_ithacam37_mag,st_data_export_weapon_kind_shotgun,st_wpn_ithacam37_extmag,,,"st_rank_novice, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,"st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert",,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_p90gamma,st_data_export_weapon_kind_smg,st_wpn_p90,,,"st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend",,"st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_legend",,,
wpn_m98b,st_data_export_weapon_kind_sniper,st_wpn_m98b,,,"st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_master, st_rank_legend","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_legend",,,
wpn_g36v_rwap,st_data_export_weapon_kind_rifle,st_wpn_g36new,,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_adar2_15,st_data_export_weapon_kind_rifle,st_wpn_adar2_15,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_trainee","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_master, st_rank_legend",,,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_any, st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend"
wpn_korth_custom,st_data_export_weapon_kind_pistol,st_wpn_korth_custom,,,"st_rank_novice",,"st_rank_veteran, st_rank_expert","st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend","st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend, st_rank_gauss, st_rank_rg6, st_rank_sniper",,,
wpn_dvl10,st_data_export_weapon_kind_sniper,st_wpn_dvl10,"st_rank_veteran, st_rank_expert","st_rank_master, st_rank_legend",,"st_rank_veteran, st_rank_expert",,,,"st_rank_novice, st_rank_trainee, st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,,"st_rank_experienced, st_rank_professional, st_rank_veteran, st_rank_expert, st_rank_master, st_rank_legend",,
