~, Pda_encyclopedia_name, St_prop_weight, St_upgr_cost, Ui_mm_repair, St_data_export_single_handed, Ui_inv_accuracy, Ui_inv_handling, Ui_inv_damage, Ui_inv_rate_of_fire, Ui_ammo_count, Ui_inv_wrange, Ui_inv_bspeed, Ui_inv_reli, Ui_inv_recoil, Ui_ammo_types, St_data_export_ammo_types_alt, BR1, BR2, BR3, BR4, BR5, BR6, BR7
wpn_fn57,st_wpn_fn57,0.61,15280,A,Y,74%,82%,23,400,20,600,677,87%,32,5.7x28,,,,25,,40,,
wpn_pb_bas_custom,st_wpn_pb_bas_custom,1.15,8190,A,Y,62%,83%,17,325,8,300,380,90%,42,9x18,,,15,27,,,,
wpn_desert_eagle,st_wpn_desert_eagle,1.897,19680,A,Y,57%,79%,104,110,9,500,461,72%,28,.357 HP,,,,19,,,,
wpn_sr1m,st_wpn_sr1m,0.895,26960,A,Y,77%,82%,26,400,18,400,315,85%,36,9x21,,,,,32,,,
wpn_colt1911_custom,st_wpn_svi,1.075,19260,A,Y,62%,83%,27,250,15,300,354,85%,30,11.43x23,,,,20,,,,
wpn_pm_bas_custom,st_wpn_pm_bas_custom,0.73,6890,A,Y,60%,85%,17,340,8,300,380,90%,42,9x18,9x19,,15,27,,,,
wpn_beretta_modern,st_wpn_beretta,0.95,7120,A,Y,70%,84%,21,330,15,400,475,88%,32,9x19,,,17,,34,,,
wpn_fnx45,st_wpn_fnx45,1.3,15880,A,Y,71%,82%,27,260,15,300,380,85%,31,11.43x23,,,,20,,,,
wpn_gsh18,st_wpn_gsh18,0.58,9680,A,Y,72%,82%,21,280,18,400,485,88%,32,9x19,,,17,,34,,,
wpn_aps_bas_apsabigo,st_wpn_aps_bas_apsabigo,0.995,9380,A,Y,56%,82%,17,650,20,300,380,88%,42,9x18,,,15,27,,,,
wpn_usp,st_wpn_usp,0.88,10960,A,Y,71%,82%,27,240,12,300,341,85%,30,11.43x23,,,,20,,,,
wpn_pmm_bas,st_wpn_pmm_bas,0.76,7580,A,Y,62%,85%,17,245,12,300,380,90%,42,9x18,9x19,,15,27,,,,
wpn_colt1911_alt,st_wpn_colt1911_alt,1.075,11280,A,Y,61%,83%,27,235,7,300,354,85%,30,11.43x23,,,,20,,,,
wpn_korth_custom,st_wpn_korth_custom,1.42,78960,A,Y,80%,82%,33,400,7,400,472,85%,45,11.43x23,,,,20,,,,
wpn_fnp45,st_wpn_fnp45,0.941,14860,A,Y,73%,82%,27,253,15,300,380,85%,30,11.43x23,,,,20,,,,
wpn_sig226,st_wpn_sig226,0.802,14980,A,Y,63%,81%,20,380,15,300,446,88%,30,9x19,,,17,,34,,,
wpn_fort_snag,st_wpn_fort21,1.06,13720,A,Y,80%,86%,21,370,16,400,475,88%,44,9x19,11.43x23,,17,,34,,,
wpn_pb_bas,st_wpn_pb_bas,1.15,6580,A,Y,60%,83%,17,305,8,300,380,90%,32,9x18,,,15,27,,,,
wpn_fnp45_custom,st_wpn_fnp45_custom,0.941,17550,A,Y,74%,82%,27,268,15,300,420,85%,30,11.43x23,,,,20,,,,
wpn_pm_bas,st_wpn_pm_bas,0.73,4890,A,Y,58%,85%,17,315,8,300,380,90%,42,9x18,9x19,,15,27,,,,
wpn_walther_p99,st_wpn_walther_p99,0.694,4890,A,Y,53%,85%,21,260,16,400,465,88%,32,9x19,,,17,,34,,,
wpn_glock17,st_wpn_glock17,0.625,10960,A,Y,77%,82%,21,270,17,400,472,88%,32,9x19,,,17,,34,,,
wpn_pmm,st_wpn_pmm,0.76,7580,A,Y,62%,85%,17,245,12,300,380,90%,42,9x18,9x19,,15,27,,,,
wpn_tt33_modern,st_wpn_tt33_modern,0.854,12350,A,Y,64%,79%,20,240,8,400,551,88%,32,7.62x25,,,,25,,,,
wpn_beretta_modern_deltapoint,st_wpn_beretta,0.95,7120,A,Y,70%,84%,21,330,15,400,475,88%,0,9x19,,,17,,34,,,
wpn_sr1m_gurza_up,st_wpn_sr1m_sr1upgr1,1.09,26960,A,Y,77%,82%,26,400,18,400,315,85%,36,9x21,,,,,32,,,
wpn_usp_tac,st_wpn_usp_tac,0.96,54600,A,Y,73%,84%,20,640,22,300,341,88%,55,9x19,,,17,,34,,,
wpn_beretta_modern_d0cter,st_wpn_beretta,0.95,7120,A,Y,70%,84%,21,330,15,400,475,88%,0,9x19,,,17,,34,,,
wpn_walther_p99_mod9,st_wpn_walther_p99_mod9,0.86,4890,A,Y,53%,85%,21,260,16,400,465,88%,42,9x19,,,17,,34,,,
wpn_colt1911_modern,st_wpn_colt1911_modern,1.075,12380,A,Y,63%,83%,27,250,7,300,354,85%,30,11.43x23,,,,20,,,,
wpn_desert_eagle_nimble,st_wpn_desert_eagle_nimble,1.925,25880,A,Y,61%,79%,104,117,11,500,461,72%,28,.357 HP,,,,19,,,,
wpn_beretta_modern_rmr,st_wpn_beretta,0.95,7120,A,Y,70%,84%,21,330,15,400,475,88%,0,9x19,,,17,,34,,,
wpn_walther_custom,st_wpn_walther_custom,0.694,5680,A,Y,56%,85%,21,285,16,400,465,88%,42,9x19,,,17,,34,,,
wpn_glock17_m1,st_wpn_glock17_m1,0.7,16960,A,Y,77%,82%,21,500,17,400,472,88%,42,9x19,,,17,,34,,,
wpn_sig220_custom,st_wpn_sig220_custom,1.13,15880,A,Y,66%,81%,27,280,7,300,446,85%,30,11.43x23,,,,20,,,,
wpn_korth,st_wpn_korth,1.14,48960,A,Y,80%,82%,32,400,7,400,472,85%,32,11.43x23,,,,20,,,,
wpn_pl15_tan,st_wpn_pl15,0.8,26960,A,Y,80%,82%,21,400,16,400,472,88%,46,9x19,,,17,,34,,,
wpn_sig220,st_wpn_sig220,1.13,12980,A,Y,63%,81%,27,225,7,300,446,85%,30,11.43x23,,,,20,,,,
wpn_pm_bas_actor,st_wpn_pm_bas_actor,0.73,7130,A,Y,62%,85%,17,405,8,300,380,90%,42,9x18,9x19,,15,27,,,,
wpn_hpsa_alt,st_wpn_hpsa_alt,0.97,9960,A,Y,66%,82%,21,290,13,400,472,88%,32,9x19,9x18,,17,,34,,,
wpn_oc33,st_wpn_oc33,1.15,8860,A,Y,67%,81%,17,800,27,300,380,88%,42,9x18,9x19,,15,27,,,,
wpn_pb_custom,st_wpn_pb_custom,1.15,8190,A,Y,62%,83%,17,325,8,300,380,90%,32,9x18,,,15,27,,,,
wpn_fnx45_custom,st_wpn_fnx45_custom,1.3,18650,A,Y,73%,82%,27,290,15,300,380,85%,31,11.43x23,,,,20,,,,
wpn_fort17,st_wpn_fort17,0.68,7860,A,Y,59%,90%,17,350,13,300,380,90%,43,9x18,9x19,,15,27,,,,
wpn_pl15_tan_pl15_scolaz,st_wpn_pl15_pl15_scolaz,0.94,26960,A,Y,81%,82%,21,400,16,400,472,88%,46,9x19,,,17,,34,,,
wpn_pm_custom,st_wpn_pm_custom,0.73,6890,A,Y,60%,85%,17,340,8,300,380,90%,42,9x18,9x19,,15,27,,,,
wpn_colt1911_duty,st_wpn_colt1911_duty,1.075,14580,A,Y,63%,84%,27,275,7,300,354,85%,30,11.43x23,,,,20,,,,
wpn_sig226_226sig_kit,st_wpn_sig226_226sig_kit,0.86,14980,A,Y,63%,81%,20,380,15,300,446,88%,37,9x19,,,17,,34,,,
wpn_glock_modern,st_wpn_glock_modern,0.625,15680,A,Y,76%,82%,21,1200,40,400,472,88%,42,9x19,,,17,,34,,,
wpn_colt1911_merc,st_wpn_colt1911_merc,1.075,14860,A,Y,70%,83%,27,240,7,300,354,85%,30,11.43x23,,,,20,,,,
wpn_sig220_nimble,st_wpn_sig220_nimble,1.13,18560,A,Y,67%,81%,27,244,7,300,446,85%,30,11.43x23,,,,20,,,,
wpn_colt1911_n,st_wpn_colt1911_n,1.075,8560,A,Y,59%,83%,27,230,7,300,354,85%,30,11.43x23,,,,20,,,,
wpn_pm_actor,st_wpn_pm_actor,0.73,7130,A,Y,62%,85%,17,305,8,300,380,90%,42,9x18,9x19,,15,27,,,,
wpn_usp_tac_45,st_wpn_usp_tac,0.96,54600,A,Y,73%,84%,27,640,17,300,341,85%,56,11.43x23,,,,20,,,,
wpn_colt1911_new,st_wpn_colt1911_new,1.075,10480,A,Y,60%,83%,27,232,7,300,354,85%,30,11.43x23,,,,20,,,,
wpn_usp_match,st_wpn_usp_match,1.18,15360,A,Y,73%,84%,27,260,15,300,341,85%,32,11.43x23,,,,20,,,,
wpn_pl15_pl15_scolaz,st_wpn_pl15_pl15_scolaz,0.94,26960,A,Y,81%,82%,21,400,16,400,472,88%,46,9x19,,,17,,34,,,
wpn_usp_custom,st_wpn_usp_custom,0.88,13580,A,Y,74%,82%,27,273,12,300,341,85%,30,11.43x23,,,,20,,,,
wpn_colt1911_camo,st_wpn_coonan357,1.114,13880,A,Y,65%,83%,104,215,6,500,461,86%,26,.357 HP,,,,19,,,,
wpn_tt33,st_wpn_tt33,0.854,9860,A,Y,59%,79%,20,210,8,400,551,88%,32,7.62x25,,,,25,,,,
wpn_sr1m_sr1upgr1,st_wpn_sr1m_sr1upgr1,0.995,26960,A,Y,77%,82%,26,400,18,400,315,85%,36,9x21,,,,,32,,,
wpn_sig220_n,st_wpn_sig220_n,1.13,12980,A,Y,63%,81%,27,225,7,300,446,85%,30,11.43x23,,,,20,,,,
wpn_gsh18_custom,st_wpn_gsh18_custom,0.58,11580,A,Y,74%,82%,21,350,18,400,485,88%,32,9x19,,,17,,34,,,
wpn_aps,st_wpn_aps,1.02,9380,A,Y,56%,82%,17,650,20,300,380,88%,42,9x18,9x19,,15,27,,,,
wpn_sig220_n_u2p2g0r,st_wpn_sig220_n_u2p2g0r,0.86,12980,A,Y,66%,81%,20,377,19,300,446,88%,38,9x19,,,17,,34,,,
wpn_mp412,st_wpn_mp412,0.9,14680,A,Y,88%,70%,104,160,6,500,451,88%,28,.357 HP,,,,19,,,,
wpn_sig220_n_upg220,st_wpn_sig220_n_upg220,0.86,12980,A,Y,66%,81%,27,300,12,300,446,85%,37,11.43x23,,,,20,,,,
wpn_beretta_alt,st_wpn_beretta_alt,0.95,8290,A,Y,69%,84%,21,363,15,400,475,88%,32,9x19,9x18,,17,,34,,,
wpn_pm,st_wpn_pm,0.73,4890,A,Y,58%,85%,17,315,8,300,380,90%,42,9x18,9x19,,15,27,,,,
wpn_colt1911,st_wpn_colt1911,1.075,8560,A,Y,59%,83%,27,230,7,300,354,85%,30,11.43x23,,,,20,,,,
wpn_mp443,st_wpn_grach,0.95,11580,A,Y,74%,84%,21,293,18,400,485,88%,32,9x19,9x18,,17,,34,,,
wpn_fnx45_alt,st_wpn_fnx45_alt,1.3,12850,A,Y,69%,82%,27,250,15,300,380,85%,31,11.43x23,,,,20,,,,
wpn_cz75,st_wpn_cz75,1.12,8750,A,Y,73%,84%,21,258,16,400,492,88%,32,9x19,9x18,,17,,34,,,
wpn_usp_nimble,st_wpn_usp_nimble,1.16,17690,A,Y,75%,84%,23,280,15,300,341,85%,31,11.43x23,,,,20,,,,
wpn_hpsa,st_wpn_hpsa,0.97,8650,A,Y,63%,82%,21,265,13,400,472,88%,32,9x19,9x18,,17,,34,,,
wpn_glock_custom,st_wpn_hs2000,0.625,19680,A,Y,79%,82%,21,280,16,400,472,89%,32,9x19,9x18,,17,,34,,,
wpn_walther,st_wpn_walther,0.694,4890,A,Y,53%,85%,21,260,16,400,465,88%,42,9x19,,,17,,34,,,
wpn_beretta_camo,st_wpn_beretta_px4,0.95,11650,A,Y,73%,84%,21,325,15,400,475,89%,32,9x19,9x18,,17,,34,,,
wpn_glock,st_wpn_glock,0.625,10960,A,Y,77%,82%,21,270,17,400,472,88%,32,9x19,9x18,,17,,34,,,
wpn_pb,st_wpn_pb,1.15,6580,A,Y,60%,83%,17,305,8,300,380,90%,32,9x18,,,15,27,,,,
wpn_eft_rsh12,st_wpn_eft_rsh12,2.2,73500,D,Y,59%,79%,73,150,5,125,224,83%,30,12.7x55,,,,,38,,50,75
wpn_beretta,st_wpn_beretta,0.95,7120,A,Y,67%,84%,21,325,15,400,475,88%,32,9x19,9x18,,17,,34,,,
wpn_pl15,st_wpn_pl15,0.8,26960,A,Y,80%,82%,21,400,16,400,472,88%,46,9x19,,,17,,34,,,
wpn_fort,st_wpn_fort12,0.83,5660,A,Y,63%,85%,17,240,12,300,380,90%,44,9x18,9x19,,15,27,,,,
wpn_aps_bas,st_wpn_aps_bas,1.02,9380,A,Y,56%,82%,17,650,20,300,380,88%,42,9x18,,,15,27,,,,
