~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_9a91,st_wpn_9a91,st_wpn_9a91n_descr,1.80,28860,D,N,82%,82%,48,700,20,600,255,83%,77,ammo-9x39-pab9;ammo-9x39-ap,,0.7,,,,34,,,55
wpn_abakan,st_wpn_abakan,st_wpn_abakan_descr,3.85,35850,C,N,82%,71%,37,600,30,1000,944,88%,60,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_abakan_camo,st_wpn_abakan_camo,st_wpn_abakan_descr,3.85,40860,C,N,83%,71%,37,600,30,1000,944,88%,67,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_abakan_n,st_wpn_abakan_n,st_wpn_abakan_n_descr,3.85,35850,C,N,82%,71%,37,600,30,1000,944,88%,60,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_ace21,st_wpn_ace21,st_wpn_ace21_descr,2.80,31580,C,N,79%,70%,33,700,35,1000,795,86%,55,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.48,,13,29,,,52,
wpn_ace52,st_wpn_ace52,st_wpn_ace52_descr,3.60,38580,D,N,86%,70%,59,620,25,800,876,86%,38,ammo-7.62x51_fmj;ammo-7.62x51_ap,ammo-7.62x54-7n1;ammo-7.62x54-ap;ammo-7.62x54_7n14,1,,,,34,,,62
wpn_adar2_15,st_wpn_adar2_15,st_wpn_adar2_15_descr,2.88,19600,B,N,83%,80%,33,700,30,500,969,89%,34,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.478,,13,29,,,52,
wpn_aek,st_wpn_aek971,st_wpn_aek971_descr,3.40,38950,C,N,83%,77%,37,900,30,1000,923,89%,67,ammo-5.45x39-fmj;ammo-5.45x39-ep;ammo-5.45x39-ap,,0.5,,,27,,,50,
wpn_ak,st_wpn_ak,st_wpn_ak_descr,3.30,22650,C,N,67%,72%,45,600,30,900,600,90%,45,ammo-7.62x39_fmj;ammo-7.62x39_ap,,0.58,,,,30,,,55
wpn_ak101,st_wpn_ak101,st_wpn_ak101_descr,3.60,33850,C,N,77%,76%,35,600,30,1000,1007,91%,63,ammo-5.56x45-fmj;ammo-5.56x45-ss190;ammo-5.56x45-ap,,0.5,,13,29,,,52,
