~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_benelli_m1014,st_wpn_benelli_m1014,st_wpn_benelli_m1014_descr,4.13,63500,C,N,73%,59%,198,350,10,300,349,68%,27,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.8,,,24,,42,,
wpn_bm16,st_wpn_bm16,st_wpn_bm16_descr,1.92,9650,B,N,41%,67%,189,1000,2,250,299,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_bm16_alt,st_wpn_bm16_alt,st_wpn_bm16_descr,1.92,12850,B,N,43%,67%,189,1000,2,250,299,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_bm16_full,st_wpn_bm16_full,st_wpn_bm16_full_descr,3.40,15480,B,N,76%,57%,189,1000,2,250,299,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_bm16_full_alt,st_wpn_bm16_full_alt,st_wpn_bm16_full_descr,3.40,18250,B,N,73%,57%,189,1000,2,250,299,62%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_bm16_full_alt_23,st_wpn_bm16_full_alt_23,st_wpn_bm16_full_alt_23_descr,3.40,29850,B,N,73%,57%,306,1000,2,200,154,42%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.52,,,,,40,54,500
wpn_fort500,st_wpn_fort500,st_wpn_fort500_descr,4.30,17700,B,N,64%,88%,198,86,6,250,329,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37,st_wpn_ithacam37,st_wpn_ithacam37_descr,3.30,18340,B,N,59%,70%,198,88,4,300,329,60%,0,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37_mag,st_wpn_ithacam37_extmag,st_wpn_ithacam37_extmag_descr,3.78,21660,B,N,59%,74%,198,88,7,320,349,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37_sawnoff,st_wpn_ithacam37_sawnoff,st_wpn_ithacam37_sawnoff_descr,2.76,14510,B,N,55%,50%,198,76,4,300,329,60%,0,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37_stakeout,st_wpn_ithacam37_stakeout,st_wpn_ithacam37_stakeout_descr,2.60,13890,B,N,24%,52%,198,76,4,220,299,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ithacam37_stakeout_20x70,st_wpn_ithacam37_stakeout,st_wpn_ithacam37_stakeout_descr,2.60,13890,B,N,76%,52%,135,88,5,220,210,60%,0,ammo_20x70_buck,,0.79,,,,,,,
wpn_ithacam37_trench,st_wpn_ithacam37_trench,st_wpn_ithacam37_trench_descr,3.33,25200,B,N,52%,72%,198,124,5,320,349,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_ks23,st_wpn_ks23,st_wpn_ks23_descr,3.85,32960,B,N,63%,53%,300,84,4,200,154,40%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.5,,,,,40,54,500
wpn_ks23_23_up,st_wpn_ks23_23_up,st_wpn_ks23_23_up_descr,3.53,32960,B,N,63%,53%,282,84,4,200,154,40%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.48,,,,,40,54,500
wpn_ks23_ecolog,st_wpn_ks23_ecolog,st_wpn_ks23_ecolog_descr,4.00,32960,B,N,63%,53%,6,60,1,150,140,40%,25,ammo_23_eco,,0.1,,12,,,,,
wpn_ks23_kaban,st_wpn_ks23_kaban,st_wpn_ks23_kaban_descr,3.50,38950,B,N,63%,53%,282,84,4,200,154,40%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.48,,,,,40,54,500
wpn_ks23_kaban_kab_up,st_wpn_ks23_kaban_kab_up,st_wpn_ks23_kaban_kab_up_descr,3.60,38950,B,N,63%,53%,282,84,4,200,154,40%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.48,,,,,40,54,500
wpn_ksg23,st_wpn_ksg,st_wpn_ksg_descr,3.10,98520,D,N,65%,63%,300,91,11,300,154,40%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,,0.5,,,,,40,54,500
wpn_mossberg590,st_wpn_mossberg590a1,st_wpn_mossberg590a1_descr,3.20,19960,B,N,72%,59%,198,90,9,250,339,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.79,,,24,,42,,
wpn_mossberg590_rail,st_wpn_mossberg590a1_rail,st_wpn_mossberg590a1_rail_descr,3.20,19960,B,N,72%,59%,198,90,9,250,339,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.79,,,24,,42,,
wpn_mossberg590_wood,st_wpn_mossberg590a1_wood,st_wpn_mossberg590a1_wood_descr,3.52,19960,B,N,72%,59%,198,90,9,250,339,60%,0,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.79,,,24,,42,,
wpn_mp133,st_wpn_mp133_bas,st_wpn_mp133_bas_descr,3.00,19960,B,N,69%,59%,198,84,5,250,339,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.79,,,24,,42,,
wpn_mp153,st_wpn_mp153_bas,st_wpn_mp153_bas_descr,3.50,30580,C,N,66%,59%,198,200,5,250,369,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.8,,,24,,42,,
wpn_mp153_m1,st_wpn_mp153_m1,st_wpn_mp153_m1_descr,3.50,40580,C,N,66%,59%,198,200,6,250,369,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.8,,,24,,42,,
wpn_mp155,st_wpn_mp155,st_wpn_mp155_descr,3.50,30580,C,N,66%,59%,198,330,8,300,369,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.8,,,24,,42,,
wpn_protecta,st_wpn_streetsweeper,st_wpn_streetsweeper_descr,4.20,28550,B,N,64%,63%,189,155,12,250,319,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_protecta_aim,st_wpn_streetsweeper_aim,st_wpn_streetsweeper_aim_descr,4.20,33780,B,N,64%,63%,189,150,12,250,319,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_protecta_camo,st_wpn_streetsweeper,st_wpn_streetsweeper_descr,4.20,33850,B,N,59%,63%,189,155,12,500,319,70%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_protecta_custom,st_wpn_streetsweeper,st_wpn_streetsweeper_descr,3.90,30650,B,N,58%,63%,189,168,12,250,319,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_protecta_nimble,st_wpn_streetsweeper_nimble,st_wpn_streetsweeper_nimble_descr,4.00,32680,B,N,57%,63%,189,191,12,500,319,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
wpn_raptr,st_wpn_raptr,st_wpn_raptr_descr,4.30,125660,D,N,63%,59%,198,225,20,300,324,68%,30,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.8,,,24,,42,,
wpn_remington870,st_wpn_remington870,st_wpn_remington870_descr,3.40,23600,B,N,69%,88%,198,86,8,250,329,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_saiga12s,st_wpn_saiga12s,st_wpn_saiga12s_descr,3.81,31680,C,N,69%,77%,171,180,12,300,324,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.68,,,24,,42,,
wpn_saiga12s_isg,st_wpn_saiga12s_isg,st_wpn_saiga12s_isg_descr,3.20,88680,D,N,79%,76%,198,400,12,250,299,68%,30,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.8,,,24,,42,,
wpn_saiga12s_m1,st_wpn_saiga12s_m1,st_wpn_saiga12s_m1_descr,3.81,48680,C,N,69%,77%,198,250,6,250,324,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.788,,,24,,42,,
wpn_saiga12s_m2,st_wpn_saiga12s_m2,st_wpn_saiga12s_m2_descr,3.96,58680,C,N,69%,77%,198,250,8,250,324,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart,,0.788,,,24,,42,,
wpn_spas12,st_wpn_spas12_new,st_wpn_spas12_descr_new,4.13,29390,C,N,67%,59%,198,250,8,250,339,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_spas12_custom,st_wpn_spas12_new,st_wpn_spas12_descr_new,4.13,29390,C,N,67%,59%,198,250,8,250,339,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_spas12_nimble,st_wpn_spas12_new,st_wpn_spas12_descr_new,4.13,29390,C,N,67%,59%,198,250,8,250,339,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.79,,,24,,42,,
wpn_toz106,st_wpn_toz106,st_wpn_toz106_descr,2.50,5300,B,N,76%,65%,144,35,2,200,259,60%,25,ammo_20x70_buck,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,,,,,
wpn_toz106_m1,st_wpn_toz106_m1,st_wpn_toz106_m1_descr,2.50,6300,B,N,76%,65%,144,35,4,200,259,60%,25,ammo_20x70_buck,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,,,,,
wpn_toz34,st_wpn_toz34,st_wpn_toz34_descr,3.20,14800,B,N,76%,55%,198,1000,2,250,369,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,24,,42,,
wpn_toz34_bull,st_wpn_toz34_bull,st_wpn_toz34_bull_descr,3.90,98950,B,N,79%,55%,166,200,2,500,315,60%,25,ammo-12x76-bull,,1,,,,,40,,
wpn_toz34_custom,st_wpn_toz34_custom,st_wpn_toz34_descr,3.20,16680,B,N,71%,55%,198,1200,2,250,369,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,24,,42,,
wpn_toz34_decor,st_wpn_toz34_decor,st_wpn_toz34_descr,3.20,18550,B,N,72%,55%,198,1100,2,250,369,62%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-dart,0.8,,,24,,42,,
wpn_toz34_mark4,st_wpn_toz34_mark4,st_wpn_toz34_mark4_descr,3.20,36860,B,N,75%,55%,198,800,2,250,389,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,ammo-12x76-zhekan;ammo-12x76-dart,0.82,,,24,,42,,
wpn_toz34_mark4_23,st_wpn_toz34_mark4_23,st_wpn_toz34_mark4_23_descr,3.90,98950,B,N,79%,55%,312,200,2,280,169,40%,25,ammo_23x75_shrapnel;ammo_23x75_barrikada,ammo-12x76-zhekan;ammo-12x76-dart,0.53,,,,,40,54,500
wpn_toz34_obrez,st_wpn_toz34_obrez,st_wpn_toz34_obrez_descr,2.10,9860,B,N,47%,55%,189,1200,2,250,299,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_toz34_obrez_custom,st_wpn_toz34_obrez_custom,st_wpn_toz34_obrez_descr,2.10,12690,B,N,48%,55%,189,1200,2,250,299,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_toz34_obrez_decor,st_wpn_toz34_obrez_decor,st_wpn_toz34_obrez_descr,2.10,13880,B,N,50%,55%,189,1100,2,300,329,60%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.77,,,24,,42,,
wpn_usas12,st_wpn_usas12,st_wpn_usas12_descr,6.20,38660,D,N,63%,59%,189,360,20,300,324,68%,25,ammo-12x70-buck;ammo-12x76-zhekan;ammo-12x76-dart;ammo-12x70-buck_self,,0.78,,,24,,42,,
