~,pda_encyclopedia_name,st_data_export_description,st_prop_weight,st_upgr_cost,ui_mm_repair,st_data_export_single_handed,ui_inv_accuracy,ui_inv_handling,ui_inv_damage,ui_inv_rate_of_fire,ui_ammo_count,ui_inv_wrange,ui_inv_bspeed,ui_inv_reli,ui_inv_recoil,ui_ammo_types,st_data_export_ammo_types_alt,st_data_export_hit_power,BR1,BR2,BR3,BR4,BR5,BR6,BR7
wpn_aug_freedom,st_wpn_aug_9mm,st_wpn_aug_9mm_descr,3.35,36110,A,N,65%,86%,21,700,32,400,527,90%,81,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,,0.47,,17,,34,,,
wpn_bizon,st_wpn_bizon,st_wpn_bizon_descr,2.30,18560,A,N,83%,86%,18,650,64,300,420,89%,84,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-7.62x25-p;ammo-7.62x25-ps; ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.46,,15,27,,,,
wpn_kiparis,st_wpn_kiparis,st_wpn_kiparis_descr,1.60,16880,A,N,60%,84%,18,850,30,300,433,91%,99,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.46,,15,27,,,,
wpn_kriss_vector,st_wpn_kriss,st_wpn_kriss_descr,2.78,122520,D,N,70%,84%,27,1100,30,300,420,90%,135,ammo-11.43x23-fmj;ammo-11.43x23-hydro,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,0.55,,,20,,,,
wpn_mp5,st_wpn_mp5,st_wpn_mp5_descr,3.10,20380,A,N,62%,84%,21,800,30,400,527,90%,84,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_mp5_alt,st_wpn_mp5_alt,st_wpn_mp5_descr,3.10,22350,A,N,70%,84%,21,813,30,400,527,91%,84,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_mp5_custom,st_wpn_mp5_custom,st_wpn_mp5_descr,3.10,23680,A,N,71%,84%,21,830,30,400,527,92%,89,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_mp5_nimble,st_wpn_mp5_nimble,st_wpn_mp5_nimble_descr,3.00,28950,C,N,70%,84%,27,730,30,400,372,90%,81,ammo-11.43x23-fmj;ammo-11.43x23-hydro,,0.56,,,20,,,,
wpn_mp5sd,st_wpn_mp5sd,st_wpn_mp5sd_descr,2.97,21880,A,N,72%,84%,21,800,40,400,527,90%,130,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
wpn_mp5sd_custom,st_wpn_mp5sd_custom,st_wpn_mp5sd_descr,2.97,24560,A,N,69%,84%,21,835,40,400,527,93%,130,ammo-9x19-fmj;ammo-9x19-pbp;ammo-9x19-ap,ammo-9x18-fmj;ammo-9x18-pmm;ammo-9x18-ap,0.47,,17,,34,,,
