~,st_data_export_quantity,st_data_export_probability
0kp2,1,1
1p29,1,1
1p59,1,1
1p63,1,1
1p78gs,1,1
1p87,1,1
1pn93,1,1
1pn93n2_1gs,1,1
23_up,1,1
ado,1,0.75
af_camelbak,1,1
af_cooler,1,1
af_frames,1,1
af_freon,1,1
af_grid,1,1
af_kevlar,1,1
af_surge,1,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12.7x55_fmj,6,1
ammo_12x70_buck,8,1
ammo_12x76_zhekan,7,1
ammo_20x70_buck,8,1
ammo_23x75_barrikada,3,1
ammo_23x75_shrapnel,5,1
ammo_357_hp_mag,8,1
ammo_5.45x39_ap,7,1
ammo_5.45x39_ep,6,1
ammo_5.45x39_fmj,8,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.62x39_fmj,5,1
ammo_7.62x54_7h1,4,1
ammo_7.62x54_7h14,4,1
ammo_7.92x33_ap,4,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,7,1
ammo_9x19_ap,7,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,7,1
ammo_9x21_sp10,10,1
ammo_9x39_pab9,10,1
ammo_og-7b,1,1
ammo_pkm_100,10,1
ammo_vog-25,1,1
ammo_vog-30,1,1
batteries_dead,5,1
bolts_pack,2,1
broken_detector,1,1
c79,1,1
charcoal,2,1
compression_bag,1,1
cooking,1,1
detector_geiger,2,1
detector_radio,2,1
detector_simple,2,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
ekp8_02,1,1
ekp8_18,1,1
eot,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
gee36,1,1
grenade_rgd5,1,1
gurza_up,1,1
ied_rpg_new,1,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
kab_up,1,1
kashtan_rmr,1,1
kerosene,2,1
kit_hunt,1,1
kobra,1,1
kp_sr2,1,1
lazup_pl15,1,1
magnifier,1,0.9
okp,1,1
p1x42,1,1
pgo7gs,1,1
pk1,1,1
pk6,1,1
pl15_scolaz,1,1
pritseldob,1,1
ps01,1,1
ps320,1,0.75
pso1m21,1,1
pso2,1,1
rakurs,1,1
shakal,1,1
side,1,1
skeet,1,0.3
sr1upgr1,1,1
sr2_upkit,1,1
sup,1,1
t12,1,0.15
tac30,1,0.75
usp1,1,1
vulcan,1,1
wpn_addon_grenade_launcher,1,1
wpn_addon_grenade_launcher_monolit,1,1
wpn_addon_scope_po4x34,1,1
wpn_addon_scope_pu,1,1
wpn_axe,1,1
wpn_axe3,1,1
wpn_binoc_inv,1,1
wpn_fort17,1,0.88
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_knife4,1,1
wpn_knife5,1,1
wpn_sil_9a91,1,1
wpn_sil_aps,1,1
wpn_sil_ash12,1,1
wpn_sil_atg,1,1
wpn_sil_geks545,1,1
wpn_sil_hex23,1,1
wpn_sil_kek12,1,1
wpn_sil_kzrzp,1,1
wpn_sil_pbs1,1,1
wpn_sil_pbs4,1,1
wpn_sil_pl15,1,1
wpn_sil_rotor,1,1
wpn_sil_salvo,1,1
wpn_sil_sr1m,1,1
wpn_sil_tgp-a,1,1
wpn_sil_tgpv,1,1
wpn_sil_veresk,1,1
wpn_sil_vihr,1,1
