~,st_data_export_price_multiplier
adrenalin,1
af_ah_e1,1
af_ah_e2,1
af_ah_f1,1
af_ah_g1,1
af_ah_g2,1
af_ah_h1,1
af_ah_h2,1
af_ah_o1,1
af_ah_o2,1
af_ah_r1,1
af_ah_r2,1
af_ah_r3,1
af_ah_r4,1
af_ah_r5,1
af_ah_s1,1
af_atom,1.15
af_ball,1
af_baloon,1.15
af_bat,1.15
af_black,1
af_black_angel,1.15
af_black_spray,1.15
af_blood,1.15
af_bracelet,1.15
af_camelbak,1
af_camelbak_up,1
af_cell,1.15
af_chelust,1.15
af_cocoon,1.15
af_compass,1.0
af_cooler,1
af_cooler_up,1
af_cristall,1.15
af_death_lamp,1.15
af_dragon_eye,1.15
af_dummy_battery,1.15
af_dummy_dummy,1.15
af_dummy_glassbeads,1.15
af_ear,1.15
af_electra_flash,1.15
af_electra_moonlight,1.15
af_electra_sparkler,1.15
af_elektron,1.15
af_empty,1.15
af_eye,1.15
af_fire,1.15
af_fire_loop,1.15
af_fireball,1.15
af_fonar,1.15
af_fountain,1.15
af_frames,1
af_frames_up,1
af_freon,1
af_freon_up,1
af_full_empty,1.15
af_fuzz_kolobok,1.15
af_generator,1.15
af_glass,1.15
af_gold_fish,1.15
af_grapes,1.15
af_gravi,1.15
af_grid,1
af_grid_up,1
af_ice,1.15
af_itcher,1.15
af_kevlar,1
af_kevlar_up,1
af_kislushka,1.15
af_kogot,1.15
af_lighthouse,1.15
af_lobster_eyes,1.15
af_medallion,1.15
af_medusa,1.15
af_mincer_meat,1.15
af_moh,1.15
af_monolith,1.0
af_night_star,1.15
af_oasis_heart,1.0
af_peas,1.15
af_pin,1.15
af_plates,1
af_plates_up,1
af_repei,1.15
af_ring,1.15
af_sandstone,1.15
af_serofim,1.15
af_signet,1.15
af_skull_miser,1.15
af_soul,1.15
af_spaika,1.15
af_sponge,1.15
af_star_phantom,1.15
af_sun,1.15
af_surge,1
af_surge_up,1
af_tapeworm,1.15
af_tlf_lost_soul,1
af_tlf_prometheus,1
af_vyvert,1.15
af_zhelch,1.15
akvatab,1
ammo_knife_6,1
analgetic,1
animation_hit_bolt,1
animation_hit_wpn_knife,1
animation_hit_wpn_knife2,1
animation_hit_wpn_knife3,1
animation_hit_wpn_knife4,1
animation_hit_wpn_knife5,1
animation_hit_wpn_knife6,1
animation_hit_wpn_knife7,1
animation_hit_wpn_knife8,1
animation_hit_wpn_knife9,1
antibio_chlor,1
antibio_sulfad,1
antiemetic,1
antirad,1
antirad_cystamine,1
antirad_kalium,1
bandage,1
caffeine,1
cocaine,1
drug_anabiotic,1
drug_antidot,1
drug_booster,1
drug_coagulant,1
drug_psy_blockade,1
drug_radioprotector,1
drug_sleepingpills,1
e_syringe,1
exo_dolg_red_outfit,1
fieldcraft_plate_attch,1
glucose,1
glucose_s,1
hide_bloodsucker,1
hide_boar,1
hide_burer,1
hide_chimera,1
hide_controller,1
hide_flesh,1
hide_lurker,1
hide_pseudodog,1
hide_pseudogiant,1
hide_psy_dog,1
hide_psysucker,1
items_anm_dummy,1
itm_advancedkit,1
