~,st_data_export_price_multiplier
af_ah_e1,1
af_ah_e2,1
af_ah_f1,1
af_ah_g1,1
af_ah_g2,1
af_ah_h1,1
af_ah_h2,1
af_ah_o1,1
af_ah_o2,1
af_ah_r1,1
af_ah_r2,1
af_ah_r3,1
af_ah_r4,1
af_ah_r5,1
af_ah_s1,1
af_baloon,0.3
af_black,1
af_black_spray,0.3
af_blood,0.3
af_bracelet,0.3
af_compass,0.3
af_cristall,0.3
af_dummy_battery,0.3
af_dummy_dummy,0.3
af_dummy_glassbeads,0.3
af_electra_flash,0.3
af_electra_moonlight,0.3
af_electra_sparkler,0.3
af_empty,0.3
af_eye,0.3
af_fire,0.3
af_fireball,0.3
af_full_empty,0.3
af_fuzz_kolobok,0.3
af_glass,0.3
af_gold_fish,0.3
af_gravi,0.3
af_ice,0.3
af_itcher,0.3
af_lobster_eyes,0.3
af_medusa,0.3
af_mincer_meat,0.3
af_night_star,0.3
af_oasis_heart,0.3
af_pin,0.3
af_ring,0.3
af_soul,0.3
af_sponge,0.3
af_tlf_lost_soul,1
af_tlf_prometheus,1
af_vyvert,0.3
ammo_knife_6,1
animation_hit_bolt,1
animation_hit_wpn_knife,1
animation_hit_wpn_knife2,1
animation_hit_wpn_knife3,1
animation_hit_wpn_knife4,1
animation_hit_wpn_knife5,1
animation_hit_wpn_knife6,1
animation_hit_wpn_knife7,1
animation_hit_wpn_knife8,1
animation_hit_wpn_knife9,1
beans,1
beer,1.8
bottle_metal,1.8
bread,1
breadold,1
brewed_coffee,1
chili,1
chocolate,1
chocolate_p,1
cigar,1
cigar1,1
cigar2,1
cigar3,1
cigarettes,1
cigarettes_lucky,1
cigarettes_russian,1
coffee_drink,1
conserva,1
corn,1
drink_crow,1
energy_drink,1
exo_dolg_red_outfit,1
fieldcraft_plate_attch,1
flask,1
greh_patch,3
ground_coffee,1
hand_rolling_tobacco,1
hide_bloodsucker,0.5
hide_boar,0.4
hide_burer,0.4
hide_chimera,0.5
hide_controller,0.5
hide_flesh,0.4
hide_lurker,0.4
hide_pseudodog,0.4
hide_pseudogiant,0.5
hide_psy_dog,0.4
hide_psysucker,0.5
items_anm_dummy,1
itm_tent_bag,1
itm_xcvb_1,1
itm_xcvb_2,1
itm_xcvb_3,1
joint,1
kolbasa,1
marijuana,1
marker,1
meat_bloodsucker,1
meat_bloodsucker_a,1
meat_bloodsucker_b,1
meat_boar,1
meat_boar_a,1
meat_boar_b,1
meat_chimera,1
meat_chimera_a,1
meat_chimera_b,1
meat_dog,1
meat_dog_a,1
meat_dog_b,1
meat_flesh,1
meat_flesh_a,1
meat_flesh_b,1
meat_lurker,1
meat_lurker_a,1
meat_lurker_b,1
meat_pseudodog,1
meat_pseudodog_a,1
meat_pseudodog_b,1
meat_psysucker,1
meat_psysucker_a,1
meat_psysucker_b,1
meat_snork,1
meat_snork_a,1
meat_snork_b,1
meat_tushkano,1
meat_tushkano_a,1
meat_tushkano_b,1
mineral_water,1
mint,1
monolith_shard,1
mre,1
mutant_part_boar_chop,0.4
mutant_part_boar_leg,0.4
mutant_part_brain_burer,1
mutant_part_burer_hand,0.4
mutant_part_cat_claw,0.4
mutant_part_cat_tail,0.4
mutant_part_cat_thyroid,0.4
mutant_part_chimera_claw,0.6
mutant_part_chimera_kogot,0.4
mutant_part_chimera_meat,0.7
mutant_part_controller_glass,0.5
mutant_part_controller_hand,0.5
mutant_part_crow_beak,1
mutant_part_dog_heart,0.4
mutant_part_dog_liver,0.4
mutant_part_dog_meat,0.6
mutant_part_dog_tail,0.4
mutant_part_fang_psevdodog,1
mutant_part_flesh_eye,0.4
mutant_part_flesh_meat,0.6
mutant_part_fracture_hand,0.4
mutant_part_heart_bloodsucker,1
mutant_part_heart_chimera,1
mutant_part_krovosos_jaw,0.5
mutant_part_krovosos_meat,0.6
mutant_part_lurker_eye,0.4
mutant_part_lurker_meat,0.6
mutant_part_lurker_tail,0.4
mutant_part_pseudogigant_eye,0.4
mutant_part_pseudogigant_hand,0.4
mutant_part_psevdodog_meat,0.6
mutant_part_psevdodog_tail,0.4
mutant_part_psysucker_hand,0.5
mutant_part_psysucker_meat,0.6
mutant_part_snork_hand,0.4
mutant_part_snork_leg,0.4
mutant_part_snork_mask,0.4
mutant_part_tushkano_head,0.4
mutant_part_tushkano_meat,0.6
mutant_part_tusk_boar,1
mutant_part_zombi_hand,0.4
nuts,1
powder_poltergeist,1
raisins,1
ration_ru,1
ration_ukr,1
salmon,1
sausage,1
tea,1
tobacco,1
tomato,1
tushonka,1
vodka,1.8
vodka2,1.8
vodka_quality,1.8
water_drink,1
