~,st_data_export_quantity,st_data_export_probability
226sig_kit,1,1
ac10632,1,0.88
acog,1,0.88
af_camelbak,1,1
af_cooler,1,1
af_frames,1,1
af_freon,1,1
af_grid,1,1
af_kevlar,1,1
af_surge,1,1
aim_acro,1,1
aim_low,1,1
aimpoint,1,1
ammo_11.43x23_fmj,8,1
ammo_11.43x23_hydro,8,1
ammo_12x70_buck,8,1
ammo_12x76_zhekan,8,1
ammo_20x70_buck,8,1
ammo_357_hp_mag,6,1
ammo_5.56x45_fmj,2,0.85
ammo_5.7x28_ss190,3,0.85
ammo_5.7x28_ss195,10,1
ammo_7.62x25_p,10,1
ammo_7.62x25_ps,10,1
ammo_7.92x33_ap,6,1
ammo_7.92x33_fmj,2,1
ammo_9x18_ap,8,1
ammo_9x18_fmj,8,1
ammo_9x18_pmm,8,1
ammo_9x19_ap,10,1
ammo_9x19_fmj,8,1
ammo_9x19_pbp,8,1
analgetic,2,1
antibio_chlor,2,1
antibio_sulfad,2,1
antiemetic,1,1
antirad,2,1
antirad_cystamine,1,1
antirad_kalium,2,1
bandage,4,1
batteries_dead,6,1
beadspread,1,1
beans,2,1
beer,3,1
bolts_pack,2,1
box_matches,4,1
bread,3,1
breadold,4,1
broken_detector,1,1
c-more,1,0.88
caffeine,3,1
charcoal,2,1
chili,2,1
chocolate,2,1
cigar,1,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
cigarettes,3,1
cigarettes_lucky,3,1
cigarettes_russian,3,1
cocaine,2,1
compression_bag,1,1
conserva,3,1
cooking,3,1
corn,2,1
cutlery,1,1
d0cter,1,1
detector_geiger,1,1
detector_radio,1,1
detector_simple,1,1
device_flashlight,1,1
device_pda_1,1,1
device_torch_dummy,1,1
drug_antidot,1,1
drug_booster,2,1
drug_coagulant,1,1
drug_psy_blockade,1,1
drug_radioprotector,1,1
drug_sleepingpills,1,1
e0t2,1,1
ekp8_02,1,1
ekp8_18,1,1
energy_drink,3,1
eot,1,0.88
explo_balon_gas,1,1
explo_jerrycan_fuel,1,1
fieldcooker,1,1
flashlight_broken,1,1
flask,3,1
gee36,1,1
grooming,1,1
hand_rolling_tobacco,3,1
hco,1,1
ied_new,5,1
ied_rpg_new,5,1
itm_actor_backpack,1,1
itm_backpack,1,1
itm_sleepbag,1,1
itm_tent,1,1
jgut,1,1
joint,2,1
kerosene,2,1
kit_hunt,1,1
kobra,1,0.88
kolbasa,3,1
marijuana,2,1
meat_bloodsucker,2,1
meat_boar,3,1
meat_chimera,1,1
meat_dog,3,1
meat_flesh,3,1
meat_pseudodog,3,1
meat_snork,1,1
meat_tushkano,3,1
medkit,3,1
medkit_ai1,2,1
medkit_army,2,1
medkit_scientic,2,1
mine_new,5,1
mineral_water,3,1
mint,3,1
mirror,1,1
mod9,1,1
morphine,2,1
nuts,2,1
porn,1,1
ps01,1,0.88
raisins,2,1
romeo4,1,1
romeo8,1,1
rope,1,1
salicidic_acid,2,1
salmon,2,1
sausage,2,1
shovel_mili,1,1
side,1,1
silen98,1,1
stimpack,2,1
stimpack_army,2,1
stimpack_scientic,2,1
synthrope,1,1
tarpaulin,1,1
tobacco,3,1
tomato,2,1
u2p2g0r,1,1
upg220,1,1
vodka,1,1
vodka2,1,1
vodka_quality,1,1
water_drink,3,1
wpn_addon_scope_galil,1,0.88
wpn_addon_scope_zf4,1,1
wpn_axe,1,1
wpn_binoc_inv,1,1
wpn_knife,1,1
wpn_knife2,1,1
wpn_knife3,1,1
wpn_sil_45,1,1
wpn_sil_9mm,1,1
wpn_sil_black_box,1,1
wpn_sil_forester,1,1
wpn_sil_gemtech,1,1
wpn_sil_osp9,1,1
yadylin,2,1
