~,st_data_export_price_multiplier
af_ah_e1,1
af_ah_e2,1
af_ah_f1,1
af_ah_g1,1
af_ah_g2,1
af_ah_h1,1
af_ah_h2,1
af_ah_o1,1
af_ah_o2,1
af_ah_r1,1
af_ah_r2,1
af_ah_r3,1
af_ah_r4,1
af_ah_r5,1
af_ah_s1,1
af_black,1
af_tlf_lost_soul,1
af_tlf_prometheus,1
ammo_knife_6,1
animation_hit_bolt,1
animation_hit_wpn_knife,1
animation_hit_wpn_knife2,1
animation_hit_wpn_knife3,1
animation_hit_wpn_knife4,1
animation_hit_wpn_knife5,1
animation_hit_wpn_knife6,1
animation_hit_wpn_knife7,1
animation_hit_wpn_knife8,1
animation_hit_wpn_knife9,1
armor_repair_fa,1
ball_hammer,1
cleaning_kit_p,1
cleaning_kit_r5,1
cleaning_kit_r7,1
cleaning_kit_s,1
cleaning_kit_u,1
compression_bag,1
cooking,1
duct_tape,1
exo_dolg_red_outfit,1
exo_repair_kit,1
fieldcooker,1
fieldcraft_plate_attch,1
glue_a,1
glue_b,1
glue_e,1
grease,1
gun_oil,1
gun_oil_ru,1
gun_oil_ru_d,1
heavy_repair_kit,1
heavy_sewing_thread,1
helmet_repair_kit,1
items_anm_dummy,1
itm_advancedkit,2.0
itm_ammokit,2.0
itm_artefactskit,1
itm_basickit,2.0
itm_expertkit,2.0
itm_sleepbag,1
itm_tent,1
itm_tent_bag,1
itm_xcvb_1,1
itm_xcvb_2,1
itm_xcvb_3,1
kerosene,1
light_repair_kit,1
marker,1
medium_repair_kit,1
monolith_shard,1
partskit_tool,1
powder_poltergeist,1
ramrod_tool,1
rasp_tool,1
sewing_kit_a,1
sewing_kit_b,1
sewing_kit_h,1
sewing_thread,1
sharpening_stones,1
solvent,1
steel_wool,1
toolkit_p,1
toolkit_r5,1
toolkit_r7,1
toolkit_s,1
upgr_o_1_armor,1
upgr_o_1_arty,1
upgr_o_1_bleed,1
upgr_o_1_burn,1
upgr_o_1_carry,1
upgr_o_1_chem,1
upgr_o_1_damage,1
upgr_o_1_durability,1
upgr_o_1_health,1
upgr_o_1_magical,1
upgr_o_1_physical,1
upgr_o_1_power,1
upgr_o_1_psi,1
upgr_o_1_rad,1
upgr_o_1_run,1
upgr_o_1_shock,1
upgr_o_1_utility,1
upgr_o_1_weight,1
upgr_o_2_armor,1
upgr_o_2_arty,1
upgr_o_2_bleed,1
upgr_o_2_burn,1
upgr_o_2_carry,1
upgr_o_2_chem,1
upgr_o_2_damage,1
upgr_o_2_durability,1
upgr_o_2_health,1
upgr_o_2_magical,1
upgr_o_2_physical,1
upgr_o_2_power,1
upgr_o_2_psi,1
upgr_o_2_rad,1
upgr_o_2_run,1
upgr_o_2_shock,1
upgr_o_2_utility,1
upgr_o_2_weight,1
upgr_o_3_armor,1
upgr_o_3_arty,1
upgr_o_3_bleed,1
upgr_o_3_burn,1
upgr_o_3_carry,1
upgr_o_3_chem,1
upgr_o_3_damage,1
upgr_o_3_durability,1
upgr_o_3_health,1
upgr_o_3_magical,1
upgr_o_3_physical,1
upgr_o_3_power,1
upgr_o_3_psi,1
upgr_o_3_rad,1
upgr_o_3_run,1
upgr_o_3_shock,1
upgr_o_3_utility,1
upgr_o_3_weight,1
upgr_w_1_calibre,1
upgr_w_1_dispersion,1
upgr_w_1_external,1
upgr_w_1_firemode,1
upgr_w_1_grenade_mount,1
upgr_w_1_inertion,1
upgr_w_1_internal,1
upgr_w_1_magazine,1
upgr_w_1_muffle,1
upgr_w_1_optical,1
upgr_w_1_recoil,1
upgr_w_1_reliability,1
upgr_w_1_rpm,1
upgr_w_1_scope,1
upgr_w_1_scope_mount,1
upgr_w_1_speed,1
upgr_w_1_weight,1
upgr_w_2_calibre,1
upgr_w_2_dispersion,1
upgr_w_2_external,1
upgr_w_2_firemode,1
upgr_w_2_grenade_mount,1
upgr_w_2_inertion,1
upgr_w_2_internal,1
upgr_w_2_magazine,1
upgr_w_2_muffle,1
upgr_w_2_optical,1
upgr_w_2_recoil,1
upgr_w_2_reliability,1
upgr_w_2_rpm,1
upgr_w_2_scope,1
upgr_w_2_scope_mount,1
upgr_w_2_speed,1
upgr_w_2_weight,1
upgr_w_3_calibre,1
upgr_w_3_dispersion,1
upgr_w_3_external,1
upgr_w_3_firemode,1
upgr_w_3_grenade_mount,1
upgr_w_3_inertion,1
upgr_w_3_internal,1
upgr_w_3_magazine,1
upgr_w_3_muffle,1
upgr_w_3_optical,1
upgr_w_3_recoil,1
upgr_w_3_reliability,1
upgr_w_3_rpm,1
upgr_w_3_scope,1
upgr_w_3_scope_mount,1
upgr_w_3_speed,1
upgr_w_3_weight,1
