~,st_data_export_quantity,st_data_export_probability
armor_repair_fa,2,1
ball_hammer,14,1
boots,4,1
cleaning_kit_p,3,1
cleaning_kit_r5,3,1
cleaning_kit_r7,3,1
cleaning_kit_s,3,1
cooking,1,1
duct_tape,5,1
flashlight_broken,4,1
gloves,4,1
glue_a,3,1
glue_b,3,1
glue_e,3,1
grease,5,1
grooming,5,1
gun_oil,8,1
gun_oil_ru,8,1
gun_oil_ru_d,8,1
heavy_sewing_thread,5,1
kerosene,2,1
leatherman_tool,2,1
light_repair_kit,2,1
medium_repair_kit,1,1
prt_i_fasteners,20,1
radio2,4,1
ramrod_tool,10,1
rasp_tool,10,1
recipe_advanced_1,1,1
recipe_advanced_2,1,1
recipe_advanced_3,1,1
recipe_basic_1,1,1
recipe_basic_2,1,1
recipe_basic_3,1,1
recipe_expert_1,1,1
recipe_expert_2,1,1
recipe_expert_3,1,1
sewing_kit_a,3,1
sewing_kit_b,3,1
sewing_kit_h,3,1
sewing_thread,10,1
sharpening_stones,3,1
solvent,8,1
steel_wool,6,1
swiss_knife,4,1
synthrope,4,1
toolkit_p,2,1
toolkit_r5,1,1
toolkit_s,2,1
upgr_o_1_magical,1,0.30
upgr_o_1_physical,1,0.30
upgr_o_1_utility,1,0.30
upgr_o_2_magical,1,0.15
upgr_o_2_physical,1,0.15
upgr_o_2_utility,1,0.15
upgr_o_3_magical,1,0.05
upgr_o_3_physical,1,0.05
upgr_o_3_utility,1,0.05
upgr_w_1_external,1,0.35
upgr_w_1_internal,1,0.35
upgr_w_1_optical,1,0.35
upgr_w_2_external,1,0.20
upgr_w_2_internal,1,0.20
upgr_w_2_optical,1,0.20
upgr_w_3_external,1,0.05
upgr_w_3_internal,1,0.05
upgr_w_3_optical,1,0.05
