~,st_data_export_quantity,st_data_export_probability
adrenalin,2,0.7
aim_acro,1,1
akvatab,2,0.7
analgetic,2,0.7
antibio_chlor,2,0.7
antibio_sulfad,2,0.7
antiemetic,2,0.7
antirad,2,0.7
antirad_cystamine,2,0.7
antirad_kalium,2,0.7
armor_repair_fa,1,0.7
ball_hammer,3,1
bandage,3,0.7
caffeine,2,0.7
cleaning_kit_p,1,0.7
cleaning_kit_r5,1,0.7
cleaning_kit_r7,1,0.7
cleaning_kit_s,1,0.7
cocaine,2,0.7
drug_anabiotic,2,0.7
drug_antidot,2,0.7
drug_booster,2,0.7
drug_coagulant,2,0.7
drug_psy_blockade,2,0.7
drug_radioprotector,2,0.7
drug_sleepingpills,2,0.7
duct_tape,3,1
gee36,1,1
glucose,2,0.7
glucose_s,2,0.7
glue_a,1,0.7
glue_b,1,0.7
glue_e,1,0.7
grease,3,1
grooming,3,1
gun_oil,1,0.7
gun_oil_ru,1,0.7
gun_oil_ru_d,1,0.7
hco,1,1
heavy_sewing_thread,1,0.7
helmet_repair_kit,1,0.7
jgut,2,0.7
kerosene,1,1
kit_hunt,1,1
leatherman_tool,1,0.7
light_repair_kit,1,0.7
medkit,2,0.7
medkit_ai1,1,0.7
medkit_army,1,0.7
morphine,2,0.7
protein,2,0.7
ramrod_tool,1,0.7
rasp_tool,1,0.7
recipe_advanced_1,1,1
recipe_advanced_2,1,1
recipe_advanced_3,1,1
recipe_basic_1,1,1
recipe_basic_2,1,1
recipe_basic_3,1,1
recipe_expert_1,1,1
recipe_expert_2,1,1
recipe_expert_3,1,1
romeo4,1,1
romeo8,1,1
salicidic_acid,2,0.7
sewing_kit_a,1,0.7
sewing_kit_b,1,0.7
sewing_kit_h,1,0.7
sewing_thread,3,0.7
sharpening_stones,3,1
side,1,1
solvent,1,0.7
steel_wool,4,1
stimpack,2,0.7
swiss_knife,4,1
tetanus,2,0.7
toolkit_p,1,0.7
upgr_o_1_magical,1,0.30
upgr_o_1_physical,1,0.30
upgr_o_1_utility,1,0.30
upgr_o_2_magical,1,0.15
upgr_o_2_physical,1,0.15
upgr_o_2_utility,1,0.15
upgr_o_3_magical,1,0.05
upgr_o_3_physical,1,0.05
upgr_o_3_utility,1,0.05
upgr_w_1_external,1,0.35
upgr_w_1_internal,1,0.35
upgr_w_1_optical,1,0.35
upgr_w_2_external,1,0.20
upgr_w_2_internal,1,0.20
upgr_w_2_optical,1,0.20
upgr_w_3_external,1,0.05
upgr_w_3_internal,1,0.05
upgr_w_3_optical,1,0.05
yadylin,2,0.7
