~,st_data_export_quantity,st_data_export_probability
226sig_kit,1,1
ac10632,1,1
acog,1,1
af_kevlar,1,1
aim_low,1,1
aimpoint,1,1
ammo_11.43x23_hydro,5,1
ammo_12x76_dart,2,0.35
ammo_12x76_zhekan,3,1
ammo_357_hp_mag,4,1
ammo_5.45x39_ap,4,1
ammo_5.56x45_ap,4,1
ammo_5.56x45_fmj,2,0.85
ammo_5.7x28_ss190,5,1
ammo_5.7x28_ss195,4,1
ammo_7.62x25_ps,5,1
ammo_7.62x51_fmj,2,1
ammo_9x18_ap,5,1
ammo_9x18_fmj,6,1
ammo_9x19_ap,5,1
ammo_9x19_fmj,6,1
ammo_9x21_sp10,4,1
ammo_9x39_pab9,5,1
ammo_pkm_100,1,1
antirad,2,1
bandage,4,1
batteries_exo,1,1
bottle_metal,2,1
box_matches,4,1
bread,2,1
c-more,1,1
cigar1,2,1
cigar2,2,1
cigar3,2,1
compm4s,1,1
conserva,2,1
cooking,1,1
d0cter,1,1
deltapoint,1,1
e0t2,1,1
ekp8_02,1,1
ekp8_18,1,1
energy_drink,2,1
eot,1,1
fieldcooker,1,1
flask,3,1
grenade_f1,1,1
ied_new,1,1
kolbasa,2,1
medkit,2,1
mepro,1,1
mine _new,1,1
mod9,1,1
pn23,1,1
point_aimpro,1,1
rmr,1,1
silen98,1,1
spec_alt,1,1
specter,1,1
susat,1,1
u2p2g0r,1,1
upg220,1,1
wpn_addon_scope_zf4,1,1
wpn_binoc_inv,1,1
wpn_knife,1,1
wpn_sil_45,1,1
wpn_sil_57,1,1
wpn_sil_9mm,1,1
wpn_sil_atg,1,1
wpn_sil_black_box,1,1
wpn_sil_forester,1,1
wpn_sil_gemtech,1,1
wpn_sil_kac4,1,1
wpn_sil_kek12,1,1
wpn_sil_m42k,1,1
wpn_sil_nato,1,1
wpn_sil_osp9,1,1
wpn_sil_salvo,1,1
wpn_sil_surfire,1,1
